attribute	target	tgt_word	tgt_sent	log_probs	pred_sent
MaleNames	GrammmaticalyMale	Rock	Johannes mag <mask>		<s>Johannes magh</s>
MaleNames	GrammmaticalyMale	Tisch	Johannes mag <mask>		<s>Johannes magh</s>
MaleNames	GrammmaticalyMale	Amtsantritt	Johannes mag <mask>		<s>Johannes magh</s>
MaleNames	GrammmaticalyMale	Donnerstag	Johannes mag <mask>		<s>Johannes magh</s>
MaleNames	GrammmaticalyMale	Held	Johannes mag <mask>		<s>Johannes magh</s>
MaleNames	GrammmaticalyMale	Bundestag	Johannes mag <mask>		<s>Johannes magh</s>
MaleNames	GrammmaticalyMale	Entwurf	Johannes mag <mask>		<s>Johannes magh</s>
MaleNames	GrammmaticalyMale	Kopfhörer	Johannes mag <mask>		<s>Johannes magh</s>
MaleNames	GrammmaticalyMale	Großvater	Johannes mag <mask>		<s>Johannes magh</s>
MaleNames	GrammmaticalyMale	Aufbruch	Johannes mag <mask>		<s>Johannes magh</s>
MaleNames	GrammmaticalyMale	Anpfiff	Johannes mag <mask>		<s>Johannes magh</s>
MaleNames	GrammmaticalyMale	Vormittag	Johannes mag <mask>		<s>Johannes magh</s>
MaleNames	GrammmaticalyMale	Auslöser	Johannes mag <mask>		<s>Johannes magh</s>
MaleNames	GrammmaticalyMale	Kauf	Johannes mag <mask>		<s>Johannes magh</s>
MaleNames	GrammmaticalyMale	Weg	Johannes mag <mask>		<s>Johannes magh</s>
MaleNames	GrammmaticalyMale	Bleistift	Johannes mag <mask>		<s>Johannes magh</s>
MaleNames	GrammmaticalyMale	Abgang	Johannes mag <mask>		<s>Johannes magh</s>
MaleNames	GrammmaticalyMale	Samen	Johannes mag <mask>		<s>Johannes magh</s>
MaleNames	GrammmaticalyMale	Bildschirm	Johannes mag <mask>		<s>Johannes magh</s>
MaleNames	GrammmaticalyMale	Nutzen	Johannes mag <mask>		<s>Johannes magh</s>
MaleNames	GrammmaticalyMale	Wanderer	Johannes mag <mask>		<s>Johannes magh</s>
MaleNames	GrammmaticalyMale	Bebauungsplan	Johannes mag <mask>		<s>Johannes magh</s>
MaleNames	GrammmaticalyMale	Autohersteller	Johannes mag <mask>		<s>Johannes magh</s>
MaleNames	GrammmaticalyMale	Stern	Johannes mag <mask>		<s>Johannes magh</s>
MaleNames	GrammmaticalyMale	Freiwilliger	Johannes mag <mask>		<s>Johannes magh</s>
MaleNames	GrammmaticalyMale	Demokrat	Johannes mag <mask>		<s>Johannes magh</s>
MaleNames	GrammmaticalyMale	Konsens	Johannes mag <mask>		<s>Johannes magh</s>
MaleNames	GrammmaticalyMale	Basketballer	Johannes mag <mask>		<s>Johannes magh</s>
MaleNames	GrammmaticalyMale	Intendant	Johannes mag <mask>		<s>Johannes magh</s>
MaleNames	GrammmaticalyMale	Kellner	Johannes mag <mask>		<s>Johannes magh</s>
MaleNames	GrammmaticalyMale	Skifahrer	Johannes mag <mask>		<s>Johannes magh</s>
MaleNames	GrammmaticalyMale	Mangel	Johannes mag <mask>		<s>Johannes magh</s>
MaleNames	GrammmaticalyMale	Umlauf	Johannes mag <mask>		<s>Johannes magh</s>
MaleNames	GrammmaticalyMale	Faden	Johannes mag <mask>		<s>Johannes magh</s>
MaleNames	GrammmaticalyMale	Haken	Johannes mag <mask>		<s>Johannes magh</s>
MaleNames	GrammmaticalyMale	Goldpreis	Johannes mag <mask>		<s>Johannes magh</s>
MaleNames	GrammmaticalyMale	Fußballer	Johannes mag <mask>		<s>Johannes magh</s>
MaleNames	GrammmaticalyMale	Tierarzt	Johannes mag <mask>		<s>Johannes magh</s>
MaleNames	GrammmaticalyMale	Fahrer	Johannes mag <mask>		<s>Johannes magh</s>
MaleNames	GrammmaticalyMale	Verkehrsunfall	Johannes mag <mask>		<s>Johannes magh</s>
MaleNames	GrammmaticalyMale	Kühlschrank	Johannes mag <mask>		<s>Johannes magh</s>
MaleNames	GrammmaticalyMale	Strich	Johannes mag <mask>		<s>Johannes magh</s>
MaleNames	GrammmaticalyMale	Bruder	Johannes mag <mask>		<s>Johannes magh</s>
MaleNames	GrammmaticalyMale	Abschied	Johannes mag <mask>		<s>Johannes magh</s>
MaleNames	GrammmaticalyMale	Klassiker	Johannes mag <mask>		<s>Johannes magh</s>
MaleNames	GrammmaticalyMale	Karneval	Johannes mag <mask>		<s>Johannes magh</s>
MaleNames	GrammmaticalyMale	Verlauf	Johannes mag <mask>		<s>Johannes magh</s>
MaleNames	GrammmaticalyMale	Schweizer	Johannes mag <mask>		<s>Johannes magh</s>
MaleNames	GrammmaticalyMale	Gegner	Johannes mag <mask>		<s>Johannes magh</s>
MaleNames	GrammmaticalyMale	Stein	Johannes mag <mask>		<s>Johannes magh</s>
MaleNames	GrammmaticalyMale	Gast	Johannes mag <mask>		<s>Johannes magh</s>
MaleNames	GrammmaticalyMale	Konflikt	Johannes mag <mask>		<s>Johannes magh</s>
MaleNames	GrammmaticalyMale	Fluss	Johannes mag <mask>		<s>Johannes magh</s>
MaleNames	GrammmaticalyMale	Raum	Johannes mag <mask>		<s>Johannes magh</s>
MaleNames	GrammmaticalyMale	Wettkampf	Johannes mag <mask>		<s>Johannes magh</s>
MaleNames	GrammmaticalyMale	Jäger	Johannes mag <mask>		<s>Johannes magh</s>
MaleNames	GrammmaticalyMale	Strompreis	Johannes mag <mask>		<s>Johannes magh</s>
MaleNames	GrammmaticalyMale	Spielplatz	Johannes mag <mask>		<s>Johannes magh</s>
MaleNames	GrammmaticalyMale	Tourist	Johannes mag <mask>		<s>Johannes magh</s>
MaleNames	GrammmaticalyMale	Einzelhandel	Johannes mag <mask>		<s>Johannes magh</s>
MaleNames	GrammmaticalyMale	Turm	Johannes mag <mask>		<s>Johannes magh</s>
MaleNames	GrammmaticalyMale	Söldner	Johannes mag <mask>		<s>Johannes magh</s>
MaleNames	GrammmaticalyMale	Gang	Johannes mag <mask>		<s>Johannes magh</s>
MaleNames	GrammmaticalyMale	Rundgang	Johannes mag <mask>		<s>Johannes magh</s>
MaleNames	GrammmaticalyMale	Anbau	Johannes mag <mask>		<s>Johannes magh</s>
MaleNames	GrammmaticalyMale	Berg	Johannes mag <mask>		<s>Johannes magh</s>
MaleNames	GrammmaticalyMale	Betreiber	Johannes mag <mask>		<s>Johannes magh</s>
MaleNames	GrammmaticalyMale	Akteur	Johannes mag <mask>		<s>Johannes magh</s>
MaleNames	GrammmaticalyMale	Antrag	Johannes mag <mask>		<s>Johannes magh</s>
MaleNames	GrammmaticalyMale	Fernverkehr	Johannes mag <mask>		<s>Johannes magh</s>
MaleNames	GrammmaticalyMale	Ozean	Johannes mag <mask>		<s>Johannes magh</s>
MaleNames	GrammmaticalyMale	Kommandant	Johannes mag <mask>		<s>Johannes magh</s>
MaleNames	GrammmaticalyMale	Wunsch	Johannes mag <mask>		<s>Johannes magh</s>
MaleNames	GrammmaticalyMale	Rohstoff	Johannes mag <mask>		<s>Johannes magh</s>
MaleNames	GrammmaticalyMale	General	Johannes mag <mask>		<s>Johannes magh</s>
MaleNames	GrammmaticalyMale	Vorsprung	Johannes mag <mask>		<s>Johannes magh</s>
MaleNames	GrammmaticalyMale	Wärmer	Johannes mag <mask>		<s>Johannes magh</s>
MaleNames	GrammmaticalyMale	Trikot	Johannes mag <mask>		<s>Johannes magh</s>
MaleNames	GrammmaticalyMale	Terror	Johannes mag <mask>		<s>Johannes magh</s>
MaleNames	GrammmaticalyMale	Gerichtssaal	Johannes mag <mask>		<s>Johannes magh</s>
MaleNames	GrammmaticalyMale	Inhaber	Johannes mag <mask>		<s>Johannes magh</s>
MaleNames	GrammmaticalyMale	Apfel	Johannes mag <mask>		<s>Johannes magh</s>
MaleNames	GrammmaticalyMale	Nahverkehr	Johannes mag <mask>		<s>Johannes magh</s>
MaleNames	GrammmaticalyMale	Landrat	Johannes mag <mask>		<s>Johannes magh</s>
MaleNames	GrammmaticalyMale	Einmarsch	Johannes mag <mask>		<s>Johannes magh</s>
MaleNames	GrammmaticalyMale	Brunnen	Johannes mag <mask>		<s>Johannes magh</s>
MaleNames	GrammmaticalyMale	Vermieter	Johannes mag <mask>		<s>Johannes magh</s>
MaleNames	GrammmaticalyMale	Knopf	Johannes mag <mask>		<s>Johannes magh</s>
MaleNames	GrammmaticalyMale	Pkw	Johannes mag <mask>		<s>Johannes magh</s>
MaleNames	GrammmaticalyMale	Controller	Johannes mag <mask>		<s>Johannes magh</s>
MaleNames	GrammmaticalyMale	Schuh	Johannes mag <mask>		<s>Johannes magh</s>
MaleNames	GrammmaticalyMale	Schauspieler	Johannes mag <mask>		<s>Johannes magh</s>
MaleNames	GrammmaticalyMale	Ski	Johannes mag <mask>		<s>Johannes magh</s>
MaleNames	GrammmaticalyMale	Kanzler	Johannes mag <mask>		<s>Johannes magh</s>
MaleNames	GrammmaticalyMale	Cent	Johannes mag <mask>		<s>Johannes magh</s>
MaleNames	GrammmaticalyMale	Moderator	Johannes mag <mask>		<s>Johannes magh</s>
MaleNames	GrammmaticalyMale	Tee	Johannes mag <mask>		<s>Johannes magh</s>
MaleNames	GrammmaticalyMale	Dienstleister	Johannes mag <mask>		<s>Johannes magh</s>
MaleNames	GrammmaticalyMale	Durchgang	Johannes mag <mask>		<s>Johannes magh</s>
MaleNames	GrammmaticalyMale	Chef	Johannes mag <mask>		<s>Johannes magh</s>
MaleNames	GrammmaticalyMale	Ziegel	Johannes mag <mask>		<s>Johannes magh</s>
MaleNames	GrammmaticalyMale	Pilot	Johannes mag <mask>		<s>Johannes magh</s>
MaleNames	GrammmaticalyMale	Willen	Johannes mag <mask>		<s>Johannes magh</s>
MaleNames	GrammmaticalyMale	Schlag	Johannes mag <mask>		<s>Johannes magh</s>
MaleNames	GrammmaticalyMale	Einbrecher	Johannes mag <mask>		<s>Johannes magh</s>
MaleNames	GrammmaticalyMale	Ausgangspunkt	Johannes mag <mask>		<s>Johannes magh</s>
MaleNames	GrammmaticalyMale	Euro	Johannes mag <mask>		<s>Johannes magh</s>
MaleNames	GrammmaticalyMale	Stadtrat	Johannes mag <mask>		<s>Johannes magh</s>
MaleNames	GrammmaticalyMale	Rekord	Johannes mag <mask>		<s>Johannes magh</s>
MaleNames	GrammmaticalyMale	Dichter	Johannes mag <mask>		<s>Johannes magh</s>
MaleNames	GrammmaticalyMale	Waldbrand	Johannes mag <mask>		<s>Johannes magh</s>
