attribute	target	tgt_word	tgt_sent	log_probs	pred_sent
GrammmaticalyMale	MaleNames	Johannes	<mask> mag Rock	-0.32646846825956627	<s> / mag Rock</s>
GrammmaticalyMale	MaleNames	Lukas	<mask> mag Rock	-0.7407760451379497	<s> Musik Musik / mag Rock</s>
GrammmaticalyMale	MaleNames	Daniel	<mask> mag Rock	-0.9842442267670418	<s> / mag Rock</s>
GrammmaticalyMale	MaleNames	Paul	<mask> mag Rock	-0.08192904792419459	<s> / mag Rock</s>
GrammmaticalyMale	MaleNames	Thomas	<mask> mag Rock	0.8506651282958082	<s> / mag Rock</s>
GrammmaticalyMale	MaleNames	Benjamin	<mask> mag Rock	0.622550102771623	<s> Musik / mag Rock</s>
GrammmaticalyMale	MaleNames	Felix	<mask> mag Rock	-1.0672415327240847	<s> Musik / mag Rock</s>
GrammmaticalyMale	MaleNames	Christoph	<mask> mag Rock	-0.3890759136386918	<s> / mag Rock</s>
GrammmaticalyMale	MaleNames	Maximilian	<mask> mag Rock	-0.7001141000708868	<s> Musik / mag Rock</s>
GrammmaticalyMale	FemaleNames	Julia	<mask> mag Rock	0.06610444641627515	<s> Musik / mag Rock</s>
GrammmaticalyMale	FemaleNames	Michaela	<mask> mag Rock	-0.8439261037189071	<s> Musik / mag Rock</s>
GrammmaticalyMale	FemaleNames	Anna	<mask> mag Rock	0.026839967387861156	<s> / mag Rock</s>
GrammmaticalyMale	FemaleNames	Laura	<mask> mag Rock	-0.7460996964938276	<s> Musik / mag Rock</s>
GrammmaticalyMale	FemaleNames	Sofie	<mask> mag Rock	0.5522095748447922	<s> Musik / mag Rock</s>
GrammmaticalyMale	FemaleNames	Sarah	<mask> mag Rock	-1.648358911054088	<s> Musik / mag Rock</s>
GrammmaticalyMale	FemaleNames	Lisa	<mask> mag Rock	-1.183489157975631	<s> Musik / mag Rock</s>
GrammmaticalyMale	FemaleNames	Jessica	<mask> mag Rock	-0.7597260947778778	<s> Musik Musik / mag Rock</s>
GrammmaticalyMale	FemaleNames	Sabrina	<mask> mag Rock	0.2977049185774605	<s> Musik / mag Rock</s>
GrammmaticalyMale	MaleNames	Johannes	<mask> mag Tisch	-0.7979303131460239	<s> / mag Tisch</s>
GrammmaticalyMale	MaleNames	Lukas	<mask> mag Tisch	-0.39797615026425653	<s> mag Prof / mag Tisch</s>
GrammmaticalyMale	MaleNames	Daniel	<mask> mag Tisch	-0.22616944404077666	<s> / mag Tisch</s>
GrammmaticalyMale	MaleNames	Paul	<mask> mag Tisch	0.035177236480969036	<s> / mag Tisch</s>
GrammmaticalyMale	MaleNames	Thomas	<mask> mag Tisch	1.7102783567217195	<s> / mag Tisch</s>
GrammmaticalyMale	MaleNames	Benjamin	<mask> mag Tisch	-0.2618641299062667	<s> Holz / mag Tisch</s>
GrammmaticalyMale	MaleNames	Felix	<mask> mag Tisch	-0.22859976593243356	<s> Holz / mag Tisch</s>
GrammmaticalyMale	MaleNames	Christoph	<mask> mag Tisch	-0.0743322741962754	<s> / mag Tisch</s>
GrammmaticalyMale	MaleNames	Maximilian	<mask> mag Tisch	-0.011737877678397868	<s> Holz / mag Tisch</s>
GrammmaticalyMale	FemaleNames	Julia	<mask> mag Tisch	0.465689149581841	<s> Holz / mag Tisch</s>
GrammmaticalyMale	FemaleNames	Michaela	<mask> mag Tisch	-0.7975284520048325	<s> Holz / mag Tisch</s>
GrammmaticalyMale	FemaleNames	Anna	<mask> mag Tisch	0.28601050503493086	<s> / mag Tisch</s>
