attribute	target	tgt_word	tgt_sent	log_probs	pred_sent
MaleNames	GrammmaticalyMale	sabotage	Nicolas aime <mask>	-2.2108192109563816	<s> Nicolas aime le</s>
MaleNames	GrammmaticalyMale	levier	Nicolas aime <mask>	-0.267181918454276	<s> Nicolas aime le</s>
MaleNames	GrammmaticalyMale	combustible	Nicolas aime <mask>	-1.2383650060078262	<s> Nicolas aime le</s>
MaleNames	GrammmaticalyMale	soleil	Nicolas aime <mask>	-1.061652475636537	<s> Nicolas aime le</s>
MaleNames	GrammmaticalyMale	homme	Nicolas aime <mask>	-1.0822684037584576	<s> Nicolas aime le</s>
MaleNames	GrammmaticalyMale	danseur	Nicolas aime <mask>	0.4775474410105135	<s> Nicolas aime le</s>
MaleNames	GrammmaticalyMale	siècle	Nicolas aime <mask>	-2.5896295630637947	<s> Nicolas aime le</s>
MaleNames	GrammmaticalyMale	poids	Nicolas aime <mask>	-2.446525858688836	<s> Nicolas aime le</s>
MaleNames	GrammmaticalyMale	vieux	Nicolas aime <mask>	-1.4384863746112564	<s> Nicolas aime le</s>
MaleNames	GrammmaticalyMale	bureau	Nicolas aime <mask>	-0.42895350948951966	<s> Nicolas aime le</s>
MaleNames	GrammmaticalyMale	otage	Nicolas aime <mask>	-0.2594893684525621	<s> Nicolas aime le</s>
MaleNames	GrammmaticalyMale	descendant	Nicolas aime <mask>	-2.207471203554971	<s> Nicolas aime le</s>
MaleNames	GrammmaticalyMale	toit	Nicolas aime <mask>	-1.5027305226619527	<s> Nicolas aime le</s>
MaleNames	GrammmaticalyMale	accès	Nicolas aime <mask>	-0.9303056100548526	<s> Nicolas aime le</s>
MaleNames	GrammmaticalyMale	procureur	Nicolas aime <mask>	-1.2466224609656917	<s> Nicolas aime le</s>
MaleNames	GrammmaticalyMale	bouclier	Nicolas aime <mask>	-0.831754233352994	<s> Nicolas aime le</s>
MaleNames	GrammmaticalyMale	règlement	Nicolas aime <mask>	-0.7402270161519192	<s> Nicolas aime le</s>
MaleNames	GrammmaticalyMale	puits	Nicolas aime <mask>	-2.3150686179188247	<s> Nicolas aime le</s>
MaleNames	GrammmaticalyMale	marchand	Nicolas aime <mask>	-0.5287382495998162	<s> Nicolas aime le</s>
MaleNames	GrammmaticalyMale	ciel	Nicolas aime <mask>	-0.9098390509208826	<s> Nicolas aime le</s>
MaleNames	GrammmaticalyMale	pétrolier	Nicolas aime <mask>	-2.227302773683334	<s> Nicolas aime le</s>
MaleNames	GrammmaticalyMale	futur	Nicolas aime <mask>	-0.9843991241310424	<s> Nicolas aime le</s>
MaleNames	GrammmaticalyMale	jésus	Nicolas aime <mask>	-1.3822448625760106	<s> Nicolas aime le</s>
MaleNames	GrammmaticalyMale	lithium	Nicolas aime <mask>	-0.9483948906931033	<s> Nicolas aime le</s>
MaleNames	GrammmaticalyMale	ravage	Nicolas aime <mask>	-1.999080050053403	<s> Nicolas aime le</s>
MaleNames	GrammmaticalyMale	couteau	Nicolas aime <mask>	-1.3909859978652	<s> Nicolas aime le</s>
MaleNames	GrammmaticalyMale	carnaval	Nicolas aime <mask>	0.009833201334252624	<s> Nicolas aime le</s>
MaleNames	GrammmaticalyMale	mur	Nicolas aime <mask>	-2.2273466894986025	<s> Nicolas aime le</s>
MaleNames	GrammmaticalyMale	pourcentage	Nicolas aime <mask>	-2.103857848652606	<s> Nicolas aime le</s>
MaleNames	GrammmaticalyMale	virage	Nicolas aime <mask>	-1.8570820856307122	<s> Nicolas aime le</s>
MaleNames	GrammmaticalyMale	chèque	Nicolas aime <mask>	-0.8269343447218238	<s> Nicolas aime le</s>
MaleNames	GrammmaticalyMale	arbre	Nicolas aime <mask>	-0.7045883394360865	<s> Nicolas aime le</s>
