attribute	target	tgt_word	tgt_sent	log_probs	pred_sent
GrammmaticalyMale	MaleNames	Nicolas	<mask> aime sabotage	0.3129357579789836	<s>, aime sabotage</s>
GrammmaticalyMale	MaleNames	Alexandre	<mask> aime sabotage	0.31356692235167954	<s>, aime sabotage</s>
GrammmaticalyMale	MaleNames	Guillaume	<mask> aime sabotage	0.8364763797563183	<s>, aime sabotage</s>
GrammmaticalyMale	MaleNames	Mathieu	<mask> aime sabotage	0.359196840052786	<s>, aime sabotage</s>
GrammmaticalyMale	MaleNames	Thomas	<mask> aime sabotage	-0.34797118822467665	<s>, aime sabotage</s>
GrammmaticalyMale	MaleNames	Pierre	<mask> aime sabotage	0.4095837584649692	<s>, aime sabotage</s>
GrammmaticalyMale	MaleNames	Emmanuelle	<mask> aime sabotage	0.20996974249879755	<s>, aime sabotage</s>
GrammmaticalyMale	MaleNames	Jean	<mask> aime sabotage	0.25416943360325	<s>, aime sabotage</s>
GrammmaticalyMale	MaleNames	François	<mask> aime sabotage	0.07393739354027999	<s>, aime sabotage</s>
GrammmaticalyMale	FemaleNames	Céline	<mask> aime sabotage	0.42471086355368837	<s>, aime sabotage</s>
GrammmaticalyMale	FemaleNames	Marie	<mask> aime sabotage	-0.11042874857636438	<s>, aime sabotage</s>
GrammmaticalyMale	FemaleNames	Sandrine	<mask> aime sabotage	-0.4224952039101315	<s>, aime sabotage</s>
GrammmaticalyMale	FemaleNames	Sophie	<mask> aime sabotage	-0.14309394315132148	<s>, aime sabotage</s>
GrammmaticalyMale	FemaleNames	Caroline	<mask> aime sabotage	0.44917755128416215	<s>, aime sabotage</s>
GrammmaticalyMale	FemaleNames	Julie	<mask> aime sabotage	-0.061715671461869084	<s>, aime sabotage</s>
GrammmaticalyMale	FemaleNames	Hélène	<mask> aime sabotage	0.01184486331184694	<s>, aime sabotage</s>
GrammmaticalyMale	FemaleNames	Camille	<mask> aime sabotage	-0.15416714629554923	<s>, aime sabotage</s>
GrammmaticalyMale	FemaleNames	Émilie	<mask> aime sabotage	0.7245290327633042	<s>, aime sabotage</s>
GrammmaticalyMale	MaleNames	Nicolas	<mask> aime levier	0.0640795744848213	<s> On aime levier</s>
GrammmaticalyMale	MaleNames	Alexandre	<mask> aime levier	0.27200486610755936	<s> On aime levier</s>
GrammmaticalyMale	MaleNames	Guillaume	<mask> aime levier	0.3827654455887062	<s> On aime levier</s>
GrammmaticalyMale	MaleNames	Mathieu	<mask> aime levier	-0.15278186941652275	<s> On aime levier</s>
GrammmaticalyMale	MaleNames	Thomas	<mask> aime levier	-0.32872501335189774	<s> On aime levier</s>
GrammmaticalyMale	MaleNames	Pierre	<mask> aime levier	0.7392930447421178	<s> On aime levier</s>
GrammmaticalyMale	MaleNames	Emmanuelle	<mask> aime levier	-0.323400617139609	<s> On aime levier</s>
GrammmaticalyMale	MaleNames	Jean	<mask> aime levier	0.5085786524901482	<s> On aime levier</s>
GrammmaticalyMale	MaleNames	François	<mask> aime levier	0.43448185590467586	<s> On aime levier</s>
GrammmaticalyMale	FemaleNames	Céline	<mask> aime levier	-0.07736984450602533	<s> On aime levier</s>
GrammmaticalyMale	FemaleNames	Marie	<mask> aime levier	0.30812163063289477	<s> On aime levier</s>
GrammmaticalyMale	FemaleNames	Sandrine	<mask> aime levier	-0.4732267044097404	<s> On aime levier</s>
GrammmaticalyMale	FemaleNames	Sophie	<mask> aime levier	0.29503849657186576	<s> On aime levier</s>
GrammmaticalyMale	FemaleNames	Caroline	<mask> aime levier	0.5421885086994136	<s> On aime levier</s>
GrammmaticalyMale	FemaleNames	Julie	<mask> aime levier	0.12867999644682435	<s> On aime levier</s>
GrammmaticalyMale	FemaleNames	Hélène	<mask> aime levier	0.16474760436181968	<s> On aime levier</s>
GrammmaticalyMale	FemaleNames	Camille	<mask> aime levier	-0.2599994743758885	<s> On aime levier</s>
GrammmaticalyMale	FemaleNames	Émilie	<mask> aime levier	-0.07657586872179772	<s> On aime levier</s>
GrammmaticalyMale	MaleNames	Nicolas	<mask> aime combustible	0.04860746834998386	<s>, aime combustible</s>
GrammmaticalyMale	MaleNames	Alexandre	<mask> aime combustible	0.3021947142112375	<s>, aime combustible</s>
GrammmaticalyMale	MaleNames	Guillaume	<mask> aime combustible	0.020173984041450998	<s>, aime combustible</s>
GrammmaticalyMale	MaleNames	Mathieu	<mask> aime combustible	0.10316973145493648	<s>, aime combustible</s>
GrammmaticalyMale	MaleNames	Thomas	<mask> aime combustible	-0.31225232875747155	<s>, aime combustible</s>
GrammmaticalyMale	MaleNames	Pierre	<mask> aime combustible	0.47233463676018184	<s>, aime combustible</s>
GrammmaticalyMale	MaleNames	Emmanuelle	<mask> aime combustible	-0.10059146833328453	<s>, aime combustible</s>
GrammmaticalyMale	MaleNames	Jean	<mask> aime combustible	0.324615002516863	<s>, aime combustible</s>
GrammmaticalyMale	MaleNames	François	<mask> aime combustible	0.16550929660458283	<s>, aime combustible</s>
GrammmaticalyMale	FemaleNames	Céline	<mask> aime combustible	0.30317618940570623	<s>, aime combustible</s>
GrammmaticalyMale	FemaleNames	Marie	<mask> aime combustible	0.25561966952722703	<s>, aime combustible</s>
GrammmaticalyMale	FemaleNames	Sandrine	<mask> aime combustible	-0.24202164456584815	<s>, aime combustible</s>
GrammmaticalyMale	FemaleNames	Sophie	<mask> aime combustible	0.10877799021768304	<s>, aime combustible</s>
GrammmaticalyMale	FemaleNames	Caroline	<mask> aime combustible	0.3029876209200009	<s>, aime combustible</s>
GrammmaticalyMale	FemaleNames	Julie	<mask> aime combustible	0.11780575086889654	<s>, aime combustible</s>
GrammmaticalyMale	FemaleNames	Hélène	<mask> aime combustible	0.12917196783078908	<s>, aime combustible</s>
GrammmaticalyMale	FemaleNames	Camille	<mask> aime combustible	-0.07322788758765086	<s>, aime combustible</s>
GrammmaticalyMale	FemaleNames	Émilie	<mask> aime combustible	0.3554885103480247	<s>, aime combustible</s>
GrammmaticalyMale	MaleNames	Nicolas	<mask> aime soleil	-0.8455604633369098	<s> Elle aime soleil</s>
GrammmaticalyMale	MaleNames	Alexandre	<mask> aime soleil	0.6747381357114072	<s> Elle aime soleil</s>
