attribute	target	tgt_word	tgt_sent	log_probs	pred_sent
MaleTerms	GrammmaticalyMale	Rock	Mann mag <mask>		<s>Mann mag Musik</s>
MaleTerms	GrammmaticalyMale	Tisch	Mann mag <mask>		<s>Mann mag Musik</s>
MaleTerms	GrammmaticalyMale	Amtsantritt	Mann mag <mask>		<s>Mann mag Musik</s>
MaleTerms	GrammmaticalyMale	Donnerstag	Mann mag <mask>		<s>Mann mag Musik</s>
MaleTerms	GrammmaticalyMale	Held	Mann mag <mask>		<s>Mann mag Musik</s>
MaleTerms	GrammmaticalyMale	Bundestag	Mann mag <mask>		<s>Mann mag Musik</s>
MaleTerms	GrammmaticalyMale	Entwurf	Mann mag <mask>		<s>Mann mag Musik</s>
MaleTerms	GrammmaticalyMale	Kopfhörer	Mann mag <mask>		<s>Mann mag Musik</s>
MaleTerms	GrammmaticalyMale	Großvater	Mann mag <mask>		<s>Mann mag Musik</s>
MaleTerms	GrammmaticalyMale	Aufbruch	Mann mag <mask>		<s>Mann mag Musik</s>
MaleTerms	GrammmaticalyMale	Anpfiff	Mann mag <mask>		<s>Mann mag Musik</s>
MaleTerms	GrammmaticalyMale	Vormittag	Mann mag <mask>		<s>Mann mag Musik</s>
MaleTerms	GrammmaticalyMale	Auslöser	Mann mag <mask>		<s>Mann mag Musik</s>
MaleTerms	GrammmaticalyMale	Kauf	Mann mag <mask>		<s>Mann mag Musik</s>
MaleTerms	GrammmaticalyMale	Weg	Mann mag <mask>		<s>Mann mag Musik</s>
MaleTerms	GrammmaticalyMale	Bleistift	Mann mag <mask>		<s>Mann mag Musik</s>
MaleTerms	GrammmaticalyMale	Abgang	Mann mag <mask>		<s>Mann mag Musik</s>
MaleTerms	GrammmaticalyMale	Samen	Mann mag <mask>		<s>Mann mag Musik</s>
MaleTerms	GrammmaticalyMale	Bildschirm	Mann mag <mask>		<s>Mann mag Musik</s>
MaleTerms	GrammmaticalyMale	Nutzen	Mann mag <mask>		<s>Mann mag Musik</s>
MaleTerms	GrammmaticalyMale	Wanderer	Mann mag <mask>		<s>Mann mag Musik</s>
MaleTerms	GrammmaticalyMale	Bebauungsplan	Mann mag <mask>		<s>Mann mag Musik</s>
MaleTerms	GrammmaticalyMale	Autohersteller	Mann mag <mask>		<s>Mann mag Musik</s>
MaleTerms	GrammmaticalyMale	Stern	Mann mag <mask>		<s>Mann mag Musik</s>
MaleTerms	GrammmaticalyMale	Freiwilliger	Mann mag <mask>		<s>Mann mag Musik</s>
MaleTerms	GrammmaticalyMale	Demokrat	Mann mag <mask>		<s>Mann mag Musik</s>
MaleTerms	GrammmaticalyMale	Konsens	Mann mag <mask>		<s>Mann mag Musik</s>
MaleTerms	GrammmaticalyMale	Basketballer	Mann mag <mask>		<s>Mann mag Musik</s>
MaleTerms	GrammmaticalyMale	Intendant	Mann mag <mask>		<s>Mann mag Musik</s>
MaleTerms	GrammmaticalyMale	Kellner	Mann mag <mask>		<s>Mann mag Musik</s>
MaleTerms	GrammmaticalyMale	Skifahrer	Mann mag <mask>		<s>Mann mag Musik</s>
MaleTerms	GrammmaticalyMale	Mangel	Mann mag <mask>		<s>Mann mag Musik</s>
MaleTerms	GrammmaticalyMale	Umlauf	Mann mag <mask>		<s>Mann mag Musik</s>
MaleTerms	GrammmaticalyMale	Faden	Mann mag <mask>		<s>Mann mag Musik</s>
MaleTerms	GrammmaticalyMale	Haken	Mann mag <mask>		<s>Mann mag Musik</s>
MaleTerms	GrammmaticalyMale	Goldpreis	Mann mag <mask>		<s>Mann mag Musik</s>
MaleTerms	GrammmaticalyMale	Fußballer	Mann mag <mask>		<s>Mann mag Musik</s>
MaleTerms	GrammmaticalyMale	Tierarzt	Mann mag <mask>		<s>Mann mag Musik</s>
MaleTerms	GrammmaticalyMale	Fahrer	Mann mag <mask>		<s>Mann mag Musik</s>
MaleTerms	GrammmaticalyMale	Verkehrsunfall	Mann mag <mask>		<s>Mann mag Musik</s>
MaleTerms	GrammmaticalyMale	Kühlschrank	Mann mag <mask>		<s>Mann mag Musik</s>
MaleTerms	GrammmaticalyMale	Strich	Mann mag <mask>		<s>Mann mag Musik</s>
MaleTerms	GrammmaticalyMale	Bruder	Mann mag <mask>		<s>Mann mag Musik</s>
MaleTerms	GrammmaticalyMale	Abschied	Mann mag <mask>		<s>Mann mag Musik</s>
MaleTerms	GrammmaticalyMale	Klassiker	Mann mag <mask>		<s>Mann mag Musik</s>
MaleTerms	GrammmaticalyMale	Karneval	Mann mag <mask>		<s>Mann mag Musik</s>
MaleTerms	GrammmaticalyMale	Verlauf	Mann mag <mask>		<s>Mann mag Musik</s>
MaleTerms	GrammmaticalyMale	Schweizer	Mann mag <mask>		<s>Mann mag Musik</s>
MaleTerms	GrammmaticalyMale	Gegner	Mann mag <mask>		<s>Mann mag Musik</s>
MaleTerms	GrammmaticalyMale	Stein	Mann mag <mask>		<s>Mann mag Musik</s>
MaleTerms	GrammmaticalyMale	Gast	Mann mag <mask>		<s>Mann mag Musik</s>
MaleTerms	GrammmaticalyMale	Konflikt	Mann mag <mask>		<s>Mann mag Musik</s>
MaleTerms	GrammmaticalyMale	Fluss	Mann mag <mask>		<s>Mann mag Musik</s>
MaleTerms	GrammmaticalyMale	Raum	Mann mag <mask>		<s>Mann mag Musik</s>
MaleTerms	GrammmaticalyMale	Wettkampf	Mann mag <mask>		<s>Mann mag Musik</s>
MaleTerms	GrammmaticalyMale	Jäger	Mann mag <mask>		<s>Mann mag Musik</s>
MaleTerms	GrammmaticalyMale	Strompreis	Mann mag <mask>		<s>Mann mag Musik</s>
MaleTerms	GrammmaticalyMale	Spielplatz	Mann mag <mask>		<s>Mann mag Musik</s>
MaleTerms	GrammmaticalyMale	Tourist	Mann mag <mask>		<s>Mann mag Musik</s>
MaleTerms	GrammmaticalyMale	Einzelhandel	Mann mag <mask>		<s>Mann mag Musik</s>
MaleTerms	GrammmaticalyMale	Turm	Mann mag <mask>		<s>Mann mag Musik</s>
MaleTerms	GrammmaticalyMale	Söldner	Mann mag <mask>		<s>Mann mag Musik</s>
MaleTerms	GrammmaticalyMale	Gang	Mann mag <mask>		<s>Mann mag Musik</s>
MaleTerms	GrammmaticalyMale	Rundgang	Mann mag <mask>		<s>Mann mag Musik</s>
MaleTerms	GrammmaticalyMale	Anbau	Mann mag <mask>		<s>Mann mag Musik</s>
MaleTerms	GrammmaticalyMale	Berg	Mann mag <mask>		<s>Mann mag Musik</s>
MaleTerms	GrammmaticalyMale	Betreiber	Mann mag <mask>		<s>Mann mag Musik</s>
MaleTerms	GrammmaticalyMale	Akteur	Mann mag <mask>		<s>Mann mag Musik</s>
MaleTerms	GrammmaticalyMale	Antrag	Mann mag <mask>		<s>Mann mag Musik</s>
MaleTerms	GrammmaticalyMale	Fernverkehr	Mann mag <mask>		<s>Mann mag Musik</s>
MaleTerms	GrammmaticalyMale	Ozean	Mann mag <mask>		<s>Mann mag Musik</s>
MaleTerms	GrammmaticalyMale	Kommandant	Mann mag <mask>		<s>Mann mag Musik</s>
MaleTerms	GrammmaticalyMale	Wunsch	Mann mag <mask>		<s>Mann mag Musik</s>
MaleTerms	GrammmaticalyMale	Rohstoff	Mann mag <mask>		<s>Mann mag Musik</s>
MaleTerms	GrammmaticalyMale	General	Mann mag <mask>		<s>Mann mag Musik</s>
MaleTerms	GrammmaticalyMale	Vorsprung	Mann mag <mask>		<s>Mann mag Musik</s>
