attribute	target	tgt_word	tgt_sent	log_probs	pred_sent
GrammmaticalyMale	MaleNames	Johannes	<mask> mag Rock	0.2932453394649001	<s> Musik mag Rock</s>
GrammmaticalyMale	MaleNames	Lukas	<mask> mag Rock	-0.32435561083459225	<s> Musik Musik Musik mag Rock</s>
GrammmaticalyMale	MaleNames	Daniel	<mask> mag Rock	-0.0955391151346036	<s> Musik mag Rock</s>
GrammmaticalyMale	MaleNames	Paul	<mask> mag Rock	-0.1607579513249518	<s> Musik mag Rock</s>
GrammmaticalyMale	MaleNames	Thomas	<mask> mag Rock	0.17268927178777568	<s> Musik mag Rock</s>
GrammmaticalyMale	MaleNames	Benjamin	<mask> mag Rock	0.6220520362401202	<s> Musik Musik mag Rock</s>
GrammmaticalyMale	MaleNames	Felix	<mask> mag Rock	-0.36798462569795026	<s> Musik Musik mag Rock</s>
GrammmaticalyMale	MaleNames	Christoph	<mask> mag Rock	-0.05320810846737511	<s> Musik mag Rock</s>
GrammmaticalyMale	MaleNames	Maximilian	<mask> mag Rock	-0.00610337660461985	<s> Musik Musik mag Rock</s>
GrammmaticalyMale	FemaleNames	Julia	<mask> mag Rock	-0.1985684901568623	<s> Musik Musik mag Rock</s>
GrammmaticalyMale	FemaleNames	Michaela	<mask> mag Rock	-0.3770695585829249	<s> Musik Musik mag Rock</s>
GrammmaticalyMale	FemaleNames	Anna	<mask> mag Rock	-0.014517618813906584	<s> Musik mag Rock</s>
GrammmaticalyMale	FemaleNames	Laura	<mask> mag Rock	-0.044131223006296585	<s> Musik Musik mag Rock</s>
GrammmaticalyMale	FemaleNames	Sofie	<mask> mag Rock	0.8609946935131435	<s> Musik Musik mag Rock</s>
GrammmaticalyMale	FemaleNames	Sarah	<mask> mag Rock	-0.44062884325052076	<s> Musik Musik mag Rock</s>
GrammmaticalyMale	FemaleNames	Lisa	<mask> mag Rock	-0.3719123016540551	<s> Musik Musik mag Rock</s>
GrammmaticalyMale	FemaleNames	Jessica	<mask> mag Rock	-0.7241324319428378	<s> Musik Musik Musik mag Rock</s>
GrammmaticalyMale	FemaleNames	Sabrina	<mask> mag Rock	0.15570201848723925	<s> Musik Musik mag Rock</s>
GrammmaticalyMale	MaleNames	Johannes	<mask> mag Tisch	-0.6279315056752683	<s> Musik mag Tisch</s>
GrammmaticalyMale	MaleNames	Lukas	<mask> mag Tisch	0.026598483396033882	<s> Holz Musik / mag Tisch</s>
GrammmaticalyMale	MaleNames	Daniel	<mask> mag Tisch	0.46892700848335767	<s> Musik mag Tisch</s>
GrammmaticalyMale	MaleNames	Paul	<mask> mag Tisch	-0.22370549544107377	<s> Musik mag Tisch</s>
GrammmaticalyMale	MaleNames	Thomas	<mask> mag Tisch	0.4000624981407303	<s> Musik mag Tisch</s>
GrammmaticalyMale	MaleNames	Benjamin	<mask> mag Tisch	-0.24297658652852372	<s> Musik / mag Tisch</s>
GrammmaticalyMale	MaleNames	Felix	<mask> mag Tisch	-0.15046992695875067	<s> Musik / mag Tisch</s>
GrammmaticalyMale	MaleNames	Christoph	<mask> mag Tisch	-0.13659571014995658	<s> Musik mag Tisch</s>
GrammmaticalyMale	MaleNames	Maximilian	<mask> mag Tisch	0.2760443713778813	<s> Musik / mag Tisch</s>
GrammmaticalyMale	FemaleNames	Julia	<mask> mag Tisch	-0.06820027898978802	<s> Musik / mag Tisch</s>
GrammmaticalyMale	FemaleNames	Michaela	<mask> mag Tisch	-0.25555232930186894	<s> Musik / mag Tisch</s>
GrammmaticalyMale	FemaleNames	Anna	<mask> mag Tisch	-0.084169903640089	<s> Musik mag Tisch</s>
GrammmaticalyMale	FemaleNames	Laura	<mask> mag Tisch	-0.22782612525414853	<s> Musik / mag Tisch</s>
GrammmaticalyMale	FemaleNames	Sofie	<mask> mag Tisch	0.5965939834617361	<s> Musik / mag Tisch</s>
GrammmaticalyMale	FemaleNames	Sarah	<mask> mag Tisch	-0.711733809499494	<s> Musik / mag Tisch</s>
GrammmaticalyMale	FemaleNames	Lisa	<mask> mag Tisch	0.1843394052585068	<s> Musik / mag Tisch</s>
GrammmaticalyMale	FemaleNames	Jessica	<mask> mag Tisch	-0.4219967438884236	<s> Holz Musik / mag Tisch</s>
GrammmaticalyMale	FemaleNames	Sabrina	<mask> mag Tisch	0.016033203044375915	<s> Musik / mag Tisch</s>
GrammmaticalyMale	MaleNames	Johannes	<mask> mag Amtsantritt	0.0017964481495360155	<s> / mag Amtsantritt</s>
GrammmaticalyMale	MaleNames	Lukas	<mask> mag Amtsantritt	-0.5301645050796164	<s> / / / mag Amtsantritt</s>
GrammmaticalyMale	MaleNames	Daniel	<mask> mag Amtsantritt	0.43412916620551667	<s> / mag Amtsantritt</s>
GrammmaticalyMale	MaleNames	Paul	<mask> mag Amtsantritt	0.06171850099320151	<s> / mag Amtsantritt</s>
GrammmaticalyMale	MaleNames	Thomas	<mask> mag Amtsantritt	0.0972131599803617	<s> / mag Amtsantritt</s>
GrammmaticalyMale	MaleNames	Benjamin	<mask> mag Amtsantritt	0.7231638621005251	<s> / / mag Amtsantritt</s>
GrammmaticalyMale	MaleNames	Felix	<mask> mag Amtsantritt	-1.356091134839906	<s> / / mag Amtsantritt</s>
GrammmaticalyMale	MaleNames	Christoph	<mask> mag Amtsantritt	-0.415578320175807	<s> / mag Amtsantritt</s>
GrammmaticalyMale	MaleNames	Maximilian	<mask> mag Amtsantritt	-0.7876263759751363	<s> / / mag Amtsantritt</s>
GrammmaticalyMale	FemaleNames	Julia	<mask> mag Amtsantritt	-0.4108972722084354	<s> / / mag Amtsantritt</s>
GrammmaticalyMale	FemaleNames	Michaela	<mask> mag Amtsantritt	0.042044438585411494	<s> / / mag Amtsantritt</s>
GrammmaticalyMale	FemaleNames	Anna	<mask> mag Amtsantritt	-0.8457835098316778	<s> / mag Amtsantritt</s>
GrammmaticalyMale	FemaleNames	Laura	<mask> mag Amtsantritt	-0.32099603958390854	<s> / / mag Amtsantritt</s>
