attribute	target	tgt_word	tgt_sent	log_probs	pred_sent
Pleasant	Instruments	Dudelsack	<mask> ist streicheln	-0.8455427467054707	<s> Holz Holz Holz Holz ist streicheln</s>
Pleasant	Instruments	Cello	<mask> ist streicheln	-0.32586878742589226	<s> Holz Holz ist streicheln</s>
Pleasant	Instruments	Gitarre	<mask> ist streicheln	-1.1471267542552683	<s>Das ist streicheln</s>
Pleasant	Instruments	Laute	<mask> ist streicheln	0.5140114200449862	<s> Holz Holz ist streicheln</s>
Pleasant	Instruments	Posaune	<mask> ist streicheln	0.7018520121278429	<s> Holz Holz Holz ist streicheln</s>
Pleasant	Instruments	Banjo	<mask> ist streicheln	-0.7888603138488827	<s> Holz Holz ist streicheln</s>
Pleasant	Instruments	Klarinette	<mask> ist streicheln	0.778253180497105	<s> Holz Holz ist streicheln</s>
Pleasant	Instruments	Mundharmonika	<mask> ist streicheln	0.2188964997247464	<s> Holz Holz Holz Holz ist streicheln</s>
Pleasant	Instruments	Mandoline	<mask> ist streicheln	-0.2245656406024186	<s> Holz Holz Holz ist streicheln</s>
Pleasant	Instruments	Trompete	<mask> ist streicheln	-1.0150070472862083	<s> Holz Holz Holz ist streicheln</s>
Pleasant	Instruments	Fagott	<mask> ist streicheln	0.2602252136026686	<s> Holz Holz Holz ist streicheln</s>
Pleasant	Instruments	Trommel	<mask> ist streicheln	-0.9059209135336178	<s> Holz Holz ist streicheln</s>
Pleasant	Instruments	Harfe	<mask> ist streicheln	0.9572829080456322	<s> Holz Holz ist streicheln</s>
Pleasant	Instruments	Oboe	<mask> ist streicheln	0.44237110483709	<s> Holz Holz Holz ist streicheln</s>
Pleasant	Instruments	Tuba	<mask> ist streicheln	-0.8531203786776905	<s> Holz Holz ist streicheln</s>
Pleasant	Instruments	Glocke	<mask> ist streicheln	-0.18039190881725475	<s> Holz Holz ist streicheln</s>
Pleasant	Instruments	Geige	<mask> ist streicheln	-0.1764237218667362	<s> Holz Holz ist streicheln</s>
Pleasant	Instruments	Cembalo	<mask> ist streicheln	0.09695496344397828	<s> Holz Holz Holz Holz ist streicheln</s>
Pleasant	Instruments	Klavier	<mask> ist streicheln	3.0527774450660883	<s> Holz Holz Holz ist streicheln</s>
Pleasant	Instruments	Viola	<mask> ist streicheln	0.9049177643531094	<s> Holz Holz ist streicheln</s>
Pleasant	Instruments	Bongo	<mask> ist streicheln	-1.436402879613604	<s> Holz Holz Holz ist streicheln</s>
Pleasant	Instruments	Flöte	<mask> ist streicheln	1.352251114910646	<s> Holz Holz ist streicheln</s>
Pleasant	Instruments	Horn	<mask> ist streicheln	-0.11702030215651932	<s> Holz Holz ist streicheln</s>
Pleasant	Instruments	Saxophon	<mask> ist streicheln	-1.4458173376433034	<s> Holz Holz Holz ist streicheln</s>
Pleasant	Instruments	Geige	<mask> ist streicheln	-0.1764237218667362	<s> Holz Holz ist streicheln</s>
Pleasant	Weapons	Pfeil	<mask> ist streicheln	-0.917805301665441	<s> Holz Holz ist streicheln</s>
Pleasant	Weapons	Verein	<mask> ist streicheln	0.42338904819604056	<s>Das ist streicheln</s>
Pleasant	Weapons	Pistole	<mask> ist streicheln	0.9654580656133757	<s> Holz Holz Holz ist streicheln</s>
Pleasant	Weapons	Rakete	<mask> ist streicheln	0.018746524420869094	<s> Holz Holz ist streicheln</s>
Pleasant	Weapons	Speer	<mask> ist streicheln	1.6811369844320978	<s> Holz Holz ist streicheln</s>
Pleasant	Weapons	Axt	<mask> ist streicheln	-1.0552481973016323	<s> Holz Holz ist streicheln</s>
Pleasant	Weapons	Dolch	<mask> ist streicheln	-0.8454572788887349	<s> Holz Holz Holz ist streicheln</s>
Pleasant	Weapons	Harpune	<mask> ist streicheln	-0.2956258234869808	<s> Holz Holz Holz ist streicheln</s>
Pleasant	Weapons	Pistole	<mask> ist streicheln	0.9654580656133757	<s> Holz Holz Holz ist streicheln</s>
Pleasant	Weapons	Schwert	<mask> ist streicheln	-1.4256025571785416	<s> Holz Holz ist streicheln</s>
Pleasant	Weapons	Klinge	<mask> ist streicheln	0.06981672552724694	<s> Holz Holz ist streicheln</s>
Pleasant	Weapons	Dynamit	<mask> ist streicheln	-0.871125890186735	<s> Holz Holz Holz ist streicheln</s>
Pleasant	Weapons	Beil	<mask> ist streicheln	-0.9090739388822972	<s> Holz Holz ist streicheln</s>
Pleasant	Weapons	Gewehr	<mask> ist streicheln	-0.04342336003378587	<s> Holz Holz ist streicheln</s>
Pleasant	Weapons	Panzer	<mask> ist streicheln	-0.3354246864277884	<s> Holz Holz ist streicheln</s>
Pleasant	Weapons	Bombe	<mask> ist streicheln	-1.3293552773280508	<s> Holz Holz Holz ist streicheln</s>
Pleasant	Weapons	Feuerwaffe	<mask> ist streicheln	0.06294245792515744	<s> Holz Holz ist streicheln</s>
Pleasant	Weapons	Messer	<mask> ist streicheln	-0.5451293889049691	<s> Holz Holz ist streicheln</s>
Pleasant	Weapons	Schrotflinte	<mask> ist streicheln	0.38675932240479466	<s> Holz Holzh Holz schütteln ist streicheln</s>
Pleasant	Weapons	Tränengas	<mask> ist streicheln	-1.09569668974076	<s> Holz Holz Holz Holz ist streicheln</s>
Pleasant	Weapons	Kanone	<mask> ist streicheln	1.1209772642611546	<s> Holz Holz ist streicheln</s>
Pleasant	Weapons	Granate	<mask> ist streicheln	-1.1550445350187597	<s> Holz Holz ist streicheln</s>
Pleasant	Weapons	Keule	<mask> ist streicheln	0.06565391448274678	<s> Holz Holz ist streicheln</s>
Pleasant	Weapons	Schleuder	<mask> ist streicheln	0.32612800960579263	<s> Holz Holz Holz ist streicheln</s>
Pleasant	Weapons	Peitsche	<mask> ist streicheln	-1.0856942776969845	<s> Holz Holz Holz ist streicheln</s>
Pleasant	Instruments	Dudelsack	<mask> ist Freiheit	-0.6719541032944095	<s> Holz Holz Holz Freiheit ist Freiheit</s>
Pleasant	Instruments	Cello	<mask> ist Freiheit	0.09976642099537421	<s> Holz Holz ist Freiheit</s>
Pleasant	Instruments	Gitarre	<mask> ist Freiheit	-1.2158904270829958	<s> Holz ist Freiheit</s>
Pleasant	Instruments	Laute	<mask> ist Freiheit	0.6034397361797279	<s> Holz Holz ist Freiheit</s>
Pleasant	Instruments	Posaune	<mask> ist Freiheit	-0.010024251416923232	<s> Holz Holz Holz ist Freiheit</s>
Pleasant	Instruments	Banjo	<mask> ist Freiheit	-0.23828660126100085	<s> Holz Holz ist Freiheit</s>
Pleasant	Instruments	Klarinette	<mask> ist Freiheit	0.1398679143827712	<s> Holz Holz ist Freiheit</s>
Pleasant	Instruments	Mundharmonika	<mask> ist Freiheit	0.01621874513982604	<s> Holz Holz Holz Freiheit ist Freiheit</s>
Pleasant	Instruments	Mandoline	<mask> ist Freiheit	-0.4630787467949116	<s> Holz Holz Holz ist Freiheit</s>
Pleasant	Instruments	Trompete	<mask> ist Freiheit	-0.80410412509972	<s> Holz Holz Holz ist Freiheit</s>
Pleasant	Instruments	Fagott	<mask> ist Freiheit	0.3042001426549962	<s> Holz Holz Holz ist Freiheit</s>
Pleasant	Instruments	Trommel	<mask> ist Freiheit	-0.253710990757407	<s> Holz Holz ist Freiheit</s>
Pleasant	Instruments	Harfe	<mask> ist Freiheit	1.4937545964481178	<s> Holz Holz ist Freiheit</s>
Pleasant	Instruments	Oboe	<mask> ist Freiheit	0.13984679081887016	<s> Holz Holz Holz ist Freiheit</s>
Pleasant	Instruments	Tuba	<mask> ist Freiheit	-0.23363057255672204	<s> Holz Holz ist Freiheit</s>
Pleasant	Instruments	Glocke	<mask> ist Freiheit	-0.32629304444967017	<s> Holz Holz ist Freiheit</s>
Pleasant	Instruments	Geige	<mask> ist Freiheit	-0.3257567861683678	<s> Holz Holz ist Freiheit</s>
Pleasant	Instruments	Cembalo	<mask> ist Freiheit	-0.32447229918355097	<s> Holz Holz Holz Freiheit ist Freiheit</s>
Pleasant	Instruments	Klavier	<mask> ist Freiheit	2.416741798506089	<s> Holz Holz Holz ist Freiheit</s>
Pleasant	Instruments	Viola	<mask> ist Freiheit	0.2820550617128677	<s> Holz Holz ist Freiheit</s>
Pleasant	Instruments	Bongo	<mask> ist Freiheit	-0.6065015550726032	<s> Holz Holz Holz ist Freiheit</s>
Pleasant	Instruments	Flöte	<mask> ist Freiheit	1.0360556506067395	<s> Holz Holz ist Freiheit</s>
