attribute	target	tgt_word	tgt_sent	log_probs	pred_sent
Pleasant	Flowers	Aster	<mask> ist streicheln	-0.5362651200026671	<s> Musik Musik ist streicheln</s>
Pleasant	Flowers	Kleeblatt	<mask> ist streicheln	-0.0608127517114547	<s> Holz Musik / ist streicheln</s>
Pleasant	Flowers	Hyazinthe	<mask> ist streicheln	0.4133515211506635	<s> Holz Musik Musik / ist streicheln</s>
Pleasant	Flowers	Ringelblume	<mask> ist streicheln	0.35582163287717566	<s> Holz Musik Musik / ist streicheln</s>
Pleasant	Flowers	Mohn	<mask> ist streicheln	-0.5612624030059126	<s> Musik Musik ist streicheln</s>
Pleasant	Flowers	Azalee	<mask> ist streicheln	0.01848645811833564	<s> Holz Musik / ist streicheln</s>
Pleasant	Flowers	Krokus	<mask> ist streicheln	0.11785790734253698	<s> Holz Musik / ist streicheln</s>
Pleasant	Flowers	Iris	<mask> ist streicheln	-0.6851623492696074	<s> Musik Musik ist streicheln</s>
Pleasant	Flowers	Orchidee	<mask> ist streicheln	-0.36413755921164503	<s> Holz Musik / ist streicheln</s>
Pleasant	Flowers	Rose	<mask> ist streicheln	-0.5688938802050729	<s> Musik Musik ist streicheln</s>
Pleasant	Flowers	Glockenblume	<mask> ist streicheln	1.1907096203752074	<s> Holz Musik / ist streicheln</s>
Pleasant	Flowers	Narzisse	<mask> ist streicheln	-0.5095865954181056	<s> Holz Musik / ist streicheln</s>
Pleasant	Flowers	lila	<mask> ist streicheln	-0.5225975369410121	<s> Musik Musik ist streicheln</s>
Pleasant	Flowers	Stiefmütterchen	<mask> ist streicheln	-0.051861499611662726	<s> Holz Musik Musik / ist streicheln</s>
Pleasant	Flowers	Tulpe	<mask> ist streicheln	-0.5639734255307444	<s> Holz Musik / ist streicheln</s>
Pleasant	Flowers	Butterblume	<mask> ist streicheln	1.2273028797360295	<s> Holz Musik / ist streicheln</s>
Pleasant	Flowers	Gänseblümchen	<mask> ist streicheln	0.03838470395649533	<s> Holz Holz Holz Musik / ist streicheln</s>
Pleasant	Flowers	Lilie	<mask> ist streicheln	-0.528652513095254	<s> Musik Musik ist streicheln</s>
Pleasant	Flowers	Pfingstrose	<mask> ist streicheln	0.7181002868884281	<s> Holz Musik / ist streicheln</s>
Pleasant	Flowers	violett	<mask> ist streicheln	0.4560471057427111	<s> Holz Musik / ist streicheln</s>
Pleasant	Flowers	Nelke	<mask> ist streicheln	1.0067825490803206	<s> Holz Musik / ist streicheln</s>
Pleasant	Flowers	Gladiole	<mask> ist streicheln	0.5284159578150498	<s> Holz Musik Musik / ist streicheln</s>
Pleasant	Flowers	Magnolie	<mask> ist streicheln	0.20259120179627152	<s> Holz Musik / ist streicheln</s>
Pleasant	Flowers	Petunie	<mask> ist streicheln	-0.4042733252903353	<s> Holz Musik / ist streicheln</s>
Pleasant	Flowers	Zinnie	<mask> ist streicheln	-0.39292602051782655	<s> Holz Musik / ist streicheln</s>
Pleasant	Insects	Ameise	<mask> ist streicheln	-0.05337881960500472	<s> Musik Musik ist streicheln</s>
Pleasant	Insects	Raupe	<mask> ist streicheln	0.4259314153601871	<s> Holz Musik / ist streicheln</s>
Pleasant	Insects	Floh	<mask> ist streicheln	0.2920496459359427	<s> Musik Musik ist streicheln</s>
Pleasant	Insects	Heuschrecke	<mask> ist streicheln	1.1635821105461388	<s> Holz Musik Musik / ist streicheln</s>
Pleasant	Insects	Spinne	<mask> ist streicheln	0.7781034886626099	<s> Musik Musik ist streicheln</s>
Pleasant	Insects	Bettwanze	<mask> ist streicheln	-1.4307941305695466	<s> Holz Musik / ist streicheln</s>
