attribute	target	tgt_word	tgt_sent	log_probs	pred_sent
MaleNames	Math	mathématiques	Nicolas aime <mask>	-1.2221295440735766e-06	<s> Nicolas aime,</s>
MaleNames	Math	algèbre	Nicolas aime <mask>	-4.871585256093806e-07	<s> Nicolas aime,</s>
MaleNames	Math	géométrie	Nicolas aime <mask>	-2.837212564769101e-06	<s> Nicolas aime,</s>
MaleNames	Math	calcul	Nicolas aime <mask>	-7.8799096519181e-07	<s> Nicolas aime,</s>
MaleNames	Math	équations	Nicolas aime <mask>	-7.000549106083753e-07	<s> Nicolas aime,</s>
MaleNames	Math	calcul	Nicolas aime <mask>	-7.8799096519181e-07	<s> Nicolas aime,</s>
MaleNames	Math	Nombres	Nicolas aime <mask>	2.4683542133107486e-06	<s> Nicolas aime,</s>
MaleNames	Math	ajout	Nicolas aime <mask>	-1.8370949191069937e-06	<s> Nicolas aime,</s>
MaleNames	Arts	poésie	Nicolas aime <mask>	-1.850693112327653e-06	<s> Nicolas aime,</s>
MaleNames	Arts	art	Nicolas aime <mask>	-1.838319278750254e-06	<s> Nicolas aime,</s>
MaleNames	Arts	danse	Nicolas aime <mask>	1.847721168554174e-06	<s> Nicolas aime,</s>
MaleNames	Arts	littérature	Nicolas aime <mask>	-8.709069610906513e-07	<s> Nicolas aime,</s>
MaleNames	Arts	roman	Nicolas aime <mask>	-1.324565842836022e-06	<s> Nicolas aime,</s>
MaleNames	Arts	symphonie	Nicolas aime <mask>	-2.8139530989750073e-06	<s> Nicolas aime,</s>
MaleNames	Arts	drame	Nicolas aime <mask>	-5.125580567939995e-07	<s> Nicolas aime,</s>
MaleNames	Arts	sculpture	Nicolas aime <mask>	2.5891997657908197e-07	<s> Nicolas aime,</s>
MaleNames	Math	mathématiques	Alexandre aime <mask>	-7.777186279405939e-07	<s> Alexandre aime,</s>
MaleNames	Math	algèbre	Alexandre aime <mask>	-4.871585256093806e-07	<s> Alexandre aime,</s>
MaleNames	Math	géométrie	Alexandre aime <mask>	-2.2067201880000122e-06	<s> Alexandre aime,</s>
MaleNames	Math	calcul	Alexandre aime <mask>	-7.8799096519181e-07	<s> Alexandre aime,</s>
MaleNames	Math	équations	Alexandre aime <mask>	-9.62575628406757e-07	<s> Alexandre aime,</s>
MaleNames	Math	calcul	Alexandre aime <mask>	-7.8799096519181e-07	<s> Alexandre aime,</s>
MaleNames	Math	Nombres	Alexandre aime <mask>	3.382557931432199e-06	<s> Alexandre aime,</s>
MaleNames	Math	ajout	Alexandre aime <mask>	-1.3778208729038545e-06	<s> Alexandre aime,</s>
MaleNames	Arts	poésie	Alexandre aime <mask>	-1.3324986956470285e-06	<s> Alexandre aime,</s>
MaleNames	Arts	art	Alexandre aime <mask>	-1.7301827570274657e-06	<s> Alexandre aime,</s>
MaleNames	Arts	danse	Alexandre aime <mask>	1.4781772079247108e-06	<s> Alexandre aime,</s>
MaleNames	Arts	littérature	Alexandre aime <mask>	-1.3547444894345809e-06	<s> Alexandre aime,</s>
MaleNames	Arts	roman	Alexandre aime <mask>	-7.568945524853624e-07	<s> Alexandre aime,</s>
MaleNames	Arts	symphonie	Alexandre aime <mask>	-2.321510735063316e-06	<s> Alexandre aime,</s>
MaleNames	Arts	drame	Alexandre aime <mask>	-5.857806577980491e-07	<s> Alexandre aime,</s>
MaleNames	Arts	sculpture	Alexandre aime <mask>	-1.726133549635923e-07	<s> Alexandre aime,</s>
MaleNames	Math	mathématiques	Guillaume aime <mask>	-1.2221295440735766e-06	<s> Guillaume aime,</s>
MaleNames	Math	algèbre	Guillaume aime <mask>	-9.743172885423058e-07	<s> Guillaume aime,</s>
MaleNames	Math	géométrie	Guillaume aime <mask>	-2.3328186315743873e-06	<s> Guillaume aime,</s>
MaleNames	Math	calcul	Guillaume aime <mask>	1.3133176705279596e-07	<s> Guillaume aime,</s>
MaleNames	Math	équations	Guillaume aime <mask>	-1.1375894785226383e-06	<s> Guillaume aime,</s>
MaleNames	Math	calcul	Guillaume aime <mask>	1.3133176705279596e-07	<s> Guillaume aime,</s>
MaleNames	Math	Nombres	Guillaume aime <mask>	1.4627291582635057e-06	<s> Guillaume aime,</s>
MaleNames	Math	ajout	Guillaume aime <mask>	-1.8370949191069937e-06	<s> Guillaume aime,</s>
MaleNames	Arts	poésie	Guillaume aime <mask>	-1.3324986956470285e-06	<s> Guillaume aime,</s>
MaleNames	Arts	art	Guillaume aime <mask>	-1.2976367871823696e-06	<s> Guillaume aime,</s>
MaleNames	Arts	danse	Guillaume aime <mask>	9.238610110362767e-07	<s> Guillaume aime,</s>
MaleNames	Arts	littérature	Guillaume aime <mask>	-8.709069610906513e-07	<s> Guillaume aime,</s>
MaleNames	Arts	roman	Guillaume aime <mask>	-2.8383539006042065e-07	<s> Guillaume aime,</s>
MaleNames	Arts	symphonie	Guillaume aime <mask>	-2.3918596293625126e-06	<s> Guillaume aime,</s>
MaleNames	Arts	drame	Guillaume aime <mask>	-9.518937431305358e-07	<s> Guillaume aime,</s>
MaleNames	Arts	sculpture	Guillaume aime <mask>	-8.630667375737487e-08	<s> Guillaume aime,</s>
MaleNames	Math	mathématiques	Mathieu aime <mask>	-1.3332323039108588e-06	<s> Mathieu aime,</s>
MaleNames	Math	algèbre	Mathieu aime <mask>	-8.768855169698261e-07	<s> Mathieu aime,</s>
MaleNames	Math	géométrie	Mathieu aime <mask>	-2.7741633092481695e-06	<s> Mathieu aime,</s>
MaleNames	Math	calcul	Mathieu aime <mask>	-9.193228530919708e-07	<s> Mathieu aime,</s>
MaleNames	Math	équations	Mathieu aime <mask>	-7.875618088096959e-07	<s> Mathieu aime,</s>
MaleNames	Math	calcul	Mathieu aime <mask>	-9.193228530919708e-07	<s> Mathieu aime,</s>
MaleNames	Math	Nombres	Mathieu aime <mask>	2.376933795731162e-06	<s> Mathieu aime,</s>
MaleNames	Math	ajout	Mathieu aime <mask>	-1.951913463588257e-06	<s> Mathieu aime,</s>
MaleNames	Arts	poésie	Mathieu aime <mask>	-9.623599909134077e-07	<s> Mathieu aime,</s>
MaleNames	Arts	art	Mathieu aime <mask>	-1.4057732620201265e-06	<s> Mathieu aime,</s>
MaleNames	Arts	danse	Mathieu aime <mask>	1.7553351911440532e-06	<s> Mathieu aime,</s>
MaleNames	Arts	littérature	Mathieu aime <mask>	-8.709069610906513e-07	<s> Mathieu aime,</s>
MaleNames	Arts	roman	Mathieu aime <mask>	-4.730590281539972e-07	<s> Mathieu aime,</s>
MaleNames	Arts	symphonie	Mathieu aime <mask>	-1.9697663379128397e-06	<s> Mathieu aime,</s>
MaleNames	Arts	drame	Mathieu aime <mask>	-1.0983390148388093e-06	<s> Mathieu aime,</s>
MaleNames	Arts	sculpture	Mathieu aime <mask>	-1.726133549635923e-07	<s> Mathieu aime,</s>
MaleNames	Math	mathématiques	Thomas aime <mask>	-1.2221295440735766e-06	<s> Thomas aime,</s>
MaleNames	Math	algèbre	Thomas aime <mask>	-7.794537548902955e-07	<s> Thomas aime,</s>
MaleNames	Math	géométrie	Thomas aime <mask>	-2.269769407855109e-06	<s> Thomas aime,</s>
MaleNames	Math	calcul	Thomas aime <mask>	-3.28329493314199e-07	<s> Thomas aime,</s>
MaleNames	Math	équations	Thomas aime <mask>	-1.0500825495804554e-06	<s> Thomas aime,</s>
MaleNames	Math	calcul	Thomas aime <mask>	-3.28329493314199e-07	<s> Thomas aime,</s>
MaleNames	Math	Nombres	Thomas aime <mask>	1.5541496596421402e-06	<s> Thomas aime,</s>
MaleNames	Math	ajout	Thomas aime <mask>	-1.3778208729038545e-06	<s> Thomas aime,</s>
MaleNames	Arts	poésie	Thomas aime <mask>	-1.3324986956470285e-06	<s> Thomas aime,</s>
MaleNames	Arts	art	Thomas aime <mask>	-1.7301827570274657e-06	<s> Thomas aime,</s>
MaleNames	Arts	danse	Thomas aime <mask>	9.238610110362767e-07	<s> Thomas aime,</s>
MaleNames	Arts	littérature	Thomas aime <mask>	-8.709069610906513e-07	<s> Thomas aime,</s>
MaleNames	Arts	roman	Thomas aime <mask>	-7.568945524853624e-07	<s> Thomas aime,</s>
MaleNames	Arts	symphonie	Thomas aime <mask>	-1.9697663379128397e-06	<s> Thomas aime,</s>
MaleNames	Arts	drame	Thomas aime <mask>	-5.125580567939995e-07	<s> Thomas aime,</s>
MaleNames	Arts	sculpture	Thomas aime <mask>	0.0	<s> Thomas aime,</s>
MaleNames	Math	mathématiques	Pierre aime <mask>	-2.2220526056560174e-07	<s> Pierre aime,</s>
MaleNames	Math	algèbre	Pierre aime <mask>	-1.9486338176494166e-07	<s> Pierre aime,</s>
MaleNames	Math	géométrie	Pierre aime <mask>	-1.8284249527927854e-06	<s> Pierre aime,</s>
MaleNames	Math	calcul	Pierre aime <mask>	1.3133176705279596e-07	<s> Pierre aime,</s>
MaleNames	Math	équations	Pierre aime <mask>	-8.750683705272792e-08	<s> Pierre aime,</s>
MaleNames	Math	calcul	Pierre aime <mask>	1.3133176705279596e-07	<s> Pierre aime,</s>
MaleNames	Math	Nombres	Pierre aime <mask>	6.399442699807575e-07	<s> Pierre aime,</s>
MaleNames	Math	ajout	Pierre aime <mask>	0.0	<s> Pierre aime,</s>
MaleNames	Arts	poésie	Pierre aime <mask>	-4.4416603456172303e-07	<s> Pierre aime,</s>
MaleNames	Arts	art	Pierre aime <mask>	-1.2976367871823696e-06	<s> Pierre aime,</s>
MaleNames	Arts	danse	Pierre aime <mask>	9.238610110362767e-07	<s> Pierre aime,</s>
MaleNames	Arts	littérature	Pierre aime <mask>	-2.903022360881214e-07	<s> Pierre aime,</s>
MaleNames	Arts	roman	Pierre aime <mask>	-3.7844720457599964e-07	<s> Pierre aime,</s>
MaleNames	Arts	symphonie	Pierre aime <mask>	-4.924412207025026e-07	<s> Pierre aime,</s>
MaleNames	Arts	drame	Pierre aime <mask>	5.125577940783726e-07	<s> Pierre aime,</s>
MaleNames	Arts	sculpture	Pierre aime <mask>	-2.589200436186536e-07	<s> Pierre aime,</s>
MaleNames	Math	mathématiques	Emmanuelle aime <mask>	-6.666159298223936e-07	<s> Emmanuelle aime,</s>
MaleNames	Math	algèbre	Emmanuelle aime <mask>	-7.794537548902955e-07	<s> Emmanuelle aime,</s>
