attribute	target	tgt_word	tgt_sent	log_probs	pred_sent
Pleasant	Instruments	cornemuse	<mask> est caresse	-0.37482862030125985	<s> l'elle est caresse</s>
Pleasant	Instruments	violoncelle	<mask> est caresse	-2.800616552271608	<s> Elle est caresse</s>
Pleasant	Instruments	guitare	<mask> est caresse	-1.4433284876067227	<s> Elle est caresse</s>
Pleasant	Instruments	luth	<mask> est caresse	0.6203116318124325	<s>'elle est caresse</s>
Pleasant	Instruments	trombone	<mask> est caresse	-0.5074045285687783	<s> l'elle est caresse</s>
Pleasant	Instruments	banjo	<mask> est caresse	-0.2938662777325618	<s>'elle est caresse</s>
Pleasant	Instruments	clarinette	<mask> est caresse	1.4412383137022968	<s> l'elle est caresse</s>
Pleasant	Instruments	harmonica	<mask> est caresse	-0.6067693479716385	<s> l'elle est caresse</s>
Pleasant	Instruments	mandoline	<mask> est caresse	1.0935543411581945	<s> l'elle est caresse</s>
Pleasant	Instruments	trompette	<mask> est caresse	-1.9516951150485462	<s> Elle est caresse</s>
Pleasant	Instruments	basson	<mask> est caresse	0.17083876846116236	<s>'elle est caresse</s>
Pleasant	Instruments	tambour	<mask> est caresse	0.038334737936774985	<s> Elle est caresse</s>
Pleasant	Instruments	harpe	<mask> est caresse	0.11107604092980794	<s>'elle est caresse</s>
Pleasant	Instruments	hautbois	<mask> est caresse	-0.806981983059471	<s>'elle est caresse</s>
Pleasant	Instruments	tuba	<mask> est caresse	-0.9676092452075263	<s>'elle est caresse</s>
Pleasant	Instruments	cloche	<mask> est caresse	-2.1523952538196696	<s> Elle est caresse</s>
Pleasant	Instruments	violon	<mask> est caresse	-2.8799878803522727	<s> Elle est caresse</s>
Pleasant	Instruments	clavecin	<mask> est caresse	-0.8546517736318774	<s> l'elle est caresse</s>
Pleasant	Instruments	piano	<mask> est caresse	-0.9079788213143127	<s> Elle est caresse</s>
Pleasant	Instruments	alto	<mask> est caresse	0.08753009020227655	<s>'elle est caresse</s>
Pleasant	Instruments	bongo	<mask> est caresse	-2.043971470452259	<s>'elle est caresse</s>
Pleasant	Instruments	flûte	<mask> est caresse	-1.4383600403167973	<s> Elle est caresse</s>
Pleasant	Instruments	corne	<mask> est caresse	2.2357514234659592	<s> Elle est caresse</s>
Pleasant	Instruments	saxophone	<mask> est caresse	-2.0927404171604214	<s> Elle est caresse</s>
Pleasant	Instruments	violon	<mask> est caresse	-2.8799878803522727	<s> Elle est caresse</s>
Pleasant	Weapons	flèche	<mask> est caresse	-0.5026548391948977	<s> Elle est caresse</s>
Pleasant	Weapons	club	<mask> est caresse	-3.502970509878325	<s> Elle est caresse</s>
Pleasant	Weapons	pistolet	<mask> est caresse	-2.2978356312691397	<s> Elle est caresse</s>
Pleasant	Weapons	missile	<mask> est caresse	-0.0519731687308305	<s> Elle est caresse</s>
Pleasant	Weapons	lance	<mask> est caresse	-1.3408526080407857	<s> Elle est caresse</s>
Pleasant	Weapons	hache	<mask> est caresse	-2.0343375133809873	<s> Elle est caresse</s>
Pleasant	Weapons	dague	<mask> est caresse	-0.3303162715956786	<s>'elle est caresse</s>
Pleasant	Weapons	harpon	<mask> est caresse	0.3400515827882689	<s>'elle est caresse</s>
Pleasant	Weapons	pistolet	<mask> est caresse	-2.2978356312691397	<s> Elle est caresse</s>
Pleasant	Weapons	épée	<mask> est caresse	-1.1669608328351306	<s> Elle est caresse</s>
Pleasant	Weapons	lame	<mask> est caresse	-0.12342755844408693	<s> Elle est caresse</s>
Pleasant	Weapons	dynamiter	<mask> est caresse	-1.1994511611998668	<s> l'elle est caresse</s>
Pleasant	Weapons	hachette	<mask> est caresse	1.135807655198562	<s>'elle est caresse</s>
Pleasant	Weapons	fusil	<mask> est caresse	-3.07354016539128	<s> Elle est caresse</s>
Pleasant	Weapons	réservoir	<mask> est caresse	-2.7743731094380735	<s> Elle est caresse</s>
Pleasant	Weapons	bombe	<mask> est caresse	-1.4382655352662463	<s> Elle est caresse</s>
Pleasant	Weapons	arme à feu	<mask> est caresse	-0.36184934134189856	<s> l'elle est caresse</s>
Pleasant	Weapons	couteau	<mask> est caresse	-1.1239462360218533	<s> Elle est caresse</s>
Pleasant	Weapons	fusil à pompe	<mask> est caresse	-0.509169593775074	<s> l'elle est caresse</s>
Pleasant	Weapons	gaz lacrymogène	<mask> est caresse	1.4626373126806655	<s>'--', est caresse</s>
Pleasant	Weapons	canon	<mask> est caresse	-0.7572249116467143	<s> Elle est caresse</s>
Pleasant	Weapons	grenade	<mask> est caresse	0.18190117508333756	<s> Elle est caresse</s>
Pleasant	Weapons	masse	<mask> est caresse	-1.437101706462659	<s> Elle est caresse</s>
Pleasant	Weapons	Lance-pierres	<mask> est caresse	-0.2935730144478964	<s>' l'elle est caresse</s>
Pleasant	Weapons	fouet	<mask> est caresse	-2.2870194234313406	<s> Elle est caresse</s>
Pleasant	Instruments	cornemuse	<mask> est liberté	-2.6803157594861813	<s> L'homme est liberté</s>
Pleasant	Instruments	violoncelle	<mask> est liberté	-1.2035132863572113	<s> Tout est liberté</s>
Pleasant	Instruments	guitare	<mask> est liberté	-1.767902851871215	<s> Tout est liberté</s>
Pleasant	Instruments	luth	<mask> est liberté	-0.5269281583014194	<s>'Tout est liberté</s>
Pleasant	Instruments	trombone	<mask> est liberté	-3.2698301858316743	<s> L'homme est liberté</s>
Pleasant	Instruments	banjo	<mask> est liberté	-2.0983202553624967	<s>'Tout est liberté</s>
Pleasant	Instruments	clarinette	<mask> est liberté	-2.0372695849911766	<s> L'homme est liberté</s>
Pleasant	Instruments	harmonica	<mask> est liberté	-4.181988745394128	<s> L'homme est liberté</s>
Pleasant	Instruments	mandoline	<mask> est liberté	-2.505977495930977	<s> L'homme est liberté</s>
Pleasant	Instruments	trompette	<mask> est liberté	-2.266639664200048	<s> Tout est liberté</s>
Pleasant	Instruments	basson	<mask> est liberté	-0.5778247625610111	<s>'Tout est liberté</s>
Pleasant	Instruments	tambour	<mask> est liberté	-0.1368700014004994	<s> Tout est liberté</s>
Pleasant	Instruments	harpe	<mask> est liberté	-1.9925645813126047	<s>'Tout est liberté</s>
Pleasant	Instruments	hautbois	<mask> est liberté	-2.7244291389836297	<s>'Tout est liberté</s>
Pleasant	Instruments	tuba	<mask> est liberté	-2.2969925123187442	<s>'Tout est liberté</s>
Pleasant	Instruments	cloche	<mask> est liberté	-3.118453939384815	<s> Tout est liberté</s>
Pleasant	Instruments	violon	<mask> est liberté	-1.200739590532428	<s> Tout est liberté</s>
Pleasant	Instruments	clavecin	<mask> est liberté	-1.4624731275600664	<s> L'homme est liberté</s>
Pleasant	Instruments	piano	<mask> est liberté	-3.138404550643335	<s> Tout est liberté</s>
Pleasant	Instruments	alto	<mask> est liberté	-0.5487919974684613	<s>'Tout est liberté</s>
Pleasant	Instruments	bongo	<mask> est liberté	-2.5057322820233687	<s>'Tout est liberté</s>
Pleasant	Instruments	flûte	<mask> est liberté	-1.7633305693144508	<s> Tout est liberté</s>
Pleasant	Instruments	corne	<mask> est liberté	-0.4199739623464147	<s> Tout est liberté</s>
Pleasant	Instruments	saxophone	<mask> est liberté	-2.2576870383803778	<s> Tout est liberté</s>
Pleasant	Instruments	violon	<mask> est liberté	-1.200739590532428	<s> Tout est liberté</s>
Pleasant	Weapons	flèche	<mask> est liberté	-1.6646881358267758	<s> Tout est liberté</s>
Pleasant	Weapons	club	<mask> est liberté	-0.955133110213526	<s> Tout est liberté</s>
Pleasant	Weapons	pistolet	<mask> est liberté	-3.1650185098882164	<s> Tout est liberté</s>
Pleasant	Weapons	missile	<mask> est liberté	-1.0548305249759058	<s> Tout est liberté</s>
Pleasant	Weapons	lance	<mask> est liberté	-1.8190648262097588	<s> Tout est liberté</s>
Pleasant	Weapons	hache	<mask> est liberté	-1.7583174802923247	<s> Tout est liberté</s>
Pleasant	Weapons	dague	<mask> est liberté	-1.5174447616745286	<s>'Tout est liberté</s>
Pleasant	Weapons	harpon	<mask> est liberté	-1.7958188335564431	<s>'Tout est liberté</s>
Pleasant	Weapons	pistolet	<mask> est liberté	-3.1650185098882164	<s> Tout est liberté</s>
Pleasant	Weapons	épée	<mask> est liberté	-2.6869957664342548	<s> Tout est liberté</s>
Pleasant	Weapons	lame	<mask> est liberté	0.009095668619720554	<s> Tout est liberté</s>
Pleasant	Weapons	dynamiter	<mask> est liberté	-1.6830301608843532	<s> L'homme est liberté</s>
Pleasant	Weapons	hachette	<mask> est liberté	-1.1471098965616933	<s>'Tout est liberté</s>
Pleasant	Weapons	fusil	<mask> est liberté	-1.4848604057180814	<s> Tout est liberté</s>
Pleasant	Weapons	réservoir	<mask> est liberté	-2.2676986744423506	<s> Tout est liberté</s>
Pleasant	Weapons	bombe	<mask> est liberté	-1.764781384178309	<s> Tout est liberté</s>
Pleasant	Weapons	arme à feu	<mask> est liberté	-2.6613127913094106	<s> L'homme est liberté</s>
Pleasant	Weapons	couteau	<mask> est liberté	-3.3276438855025527	<s> Tout est liberté</s>
Pleasant	Weapons	fusil à pompe	<mask> est liberté	-1.3373219256174724	<s> L'homme est liberté</s>
Pleasant	Weapons	gaz lacrymogène	<mask> est liberté	1.4290674420438225	<s>', l'isme est liberté</s>
Pleasant	Weapons	canon	<mask> est liberté	0.13134121072202437	<s> Tout est liberté</s>
Pleasant	Weapons	grenade	<mask> est liberté	-2.678882485684217	<s> Tout est liberté</s>
Pleasant	Weapons	masse	<mask> est liberté	-1.7647396608246695	<s> Tout est liberté</s>
Pleasant	Weapons	Lance-pierres	<mask> est liberté	-0.8274188113428067	<s>' l'homme est liberté</s>
Pleasant	Weapons	fouet	<mask> est liberté	-2.27138420208143	<s> Tout est liberté</s>
Pleasant	Instruments	cornemuse	<mask> est santé	-1.2035692036190555	<s> L'il est santé</s>
Pleasant	Instruments	violoncelle	<mask> est santé	-0.08870491128748914	<s> Tout est santé</s>
Pleasant	Instruments	guitare	<mask> est santé	-1.460613893169745	<s> Tout est santé</s>
Pleasant	Instruments	luth	<mask> est santé	0.6220381550809034	<s>'il est santé</s>
Pleasant	Instruments	trombone	<mask> est santé	-1.0078031060427572	<s> L'il est santé</s>
Pleasant	Instruments	banjo	<mask> est santé	-0.2481334893525809	<s>'il est santé</s>
Pleasant	Instruments	clarinette	<mask> est santé	-0.10243649623592885	<s> L'il est santé</s>
Pleasant	Instruments	harmonica	<mask> est santé	-1.2628521611799786	<s> L'il est santé</s>
Pleasant	Instruments	mandoline	<mask> est santé	-0.8019548459013269	<s> L'il est santé</s>
Pleasant	Instruments	trompette	<mask> est santé	-0.9792125394836677	<s> Tout est santé</s>
Pleasant	Instruments	basson	<mask> est santé	-0.062174264757971096	<s>'il est santé</s>
Pleasant	Instruments	tambour	<mask> est santé	-0.3222980674118524	<s> Tout est santé</s>
Pleasant	Instruments	harpe	<mask> est santé	-0.9518064061157191	<s>'il est santé</s>
Pleasant	Instruments	hautbois	<mask> est santé	-0.2421011049368919	<s>'il est santé</s>
Pleasant	Instruments	tuba	<mask> est santé	-0.36586122429327933	<s>'il est santé</s>
Pleasant	Instruments	cloche	<mask> est santé	-2.9114151740991447	<s> Tout est santé</s>
