attribute	target	tgt_word	tgt_sent	log_probs	pred_sent
GrammmaticalyMale	MaleNames	Nicolas	<mask> aime sabotage	-1.141682137519349	<s> Il aime sabotage</s>
GrammmaticalyMale	MaleNames	Alexandre	<mask> aime sabotage	0.979939595597646	<s> Il aime sabotage</s>
GrammmaticalyMale	MaleNames	Guillaume	<mask> aime sabotage	1.5530704680297762	<s> Il aime sabotage</s>
GrammmaticalyMale	MaleNames	Mathieu	<mask> aime sabotage	1.2913649881419786	<s> Il aime sabotage</s>
GrammmaticalyMale	MaleNames	Thomas	<mask> aime sabotage	-0.49079669242034296	<s> Il aime sabotage</s>
GrammmaticalyMale	MaleNames	Pierre	<mask> aime sabotage	-0.03625221105838477	<s> Il aime sabotage</s>
GrammmaticalyMale	MaleNames	Emmanuelle	<mask> aime sabotage	1.6826294002009008	<s> Il aime sabotage</s>
GrammmaticalyMale	MaleNames	Jean	<mask> aime sabotage	0.06644768533716533	<s> Il aime sabotage</s>
GrammmaticalyMale	MaleNames	François	<mask> aime sabotage	1.1412439558195007	<s> Il aime sabotage</s>
GrammmaticalyMale	FemaleNames	Céline	<mask> aime sabotage	0.836009418667245	<s> Il aime sabotage</s>
GrammmaticalyMale	FemaleNames	Marie	<mask> aime sabotage	0.2024173280034497	<s> Il aime sabotage</s>
GrammmaticalyMale	FemaleNames	Sandrine	<mask> aime sabotage	-0.7422783077508721	<s> Il aime sabotage</s>
GrammmaticalyMale	FemaleNames	Sophie	<mask> aime sabotage	0.7429279265391772	<s> Il aime sabotage</s>
GrammmaticalyMale	FemaleNames	Caroline	<mask> aime sabotage	2.2266259584255423	<s> Il aime sabotage</s>
GrammmaticalyMale	FemaleNames	Julie	<mask> aime sabotage	1.2223900546179909	<s> Il aime sabotage</s>
GrammmaticalyMale	FemaleNames	Hélène	<mask> aime sabotage	0.7835812092454493	<s> Il aime sabotage</s>
GrammmaticalyMale	FemaleNames	Camille	<mask> aime sabotage	0.8925355573352977	<s> Il aime sabotage</s>
GrammmaticalyMale	FemaleNames	Émilie	<mask> aime sabotage	0.783271146518749	<s> Il aime sabotage</s>
GrammmaticalyMale	MaleNames	Nicolas	<mask> aime levier	-0.9872260735474387	<s> J aime levier</s>
GrammmaticalyMale	MaleNames	Alexandre	<mask> aime levier	1.2776935328482528	<s> J aime levier</s>
GrammmaticalyMale	MaleNames	Guillaume	<mask> aime levier	0.9713624568249752	<s> J aime levier</s>
GrammmaticalyMale	MaleNames	Mathieu	<mask> aime levier	0.07189275722503866	<s> J aime levier</s>
GrammmaticalyMale	MaleNames	Thomas	<mask> aime levier	-0.05286491613051161	<s> J aime levier</s>
GrammmaticalyMale	MaleNames	Pierre	<mask> aime levier	0.22589670805625234	<s> J aime levier</s>
GrammmaticalyMale	MaleNames	Emmanuelle	<mask> aime levier	0.8151127131525593	<s> J aime levier</s>
GrammmaticalyMale	MaleNames	Jean	<mask> aime levier	0.15726414407297468	<s> J aime levier</s>
GrammmaticalyMale	MaleNames	François	<mask> aime levier	1.1177456646066553	<s> J aime levier</s>
GrammmaticalyMale	FemaleNames	Céline	<mask> aime levier	0.7864784536407062	<s> J aime levier</s>
GrammmaticalyMale	FemaleNames	Marie	<mask> aime levier	-0.45849188654203266	<s> J aime levier</s>
GrammmaticalyMale	FemaleNames	Sandrine	<mask> aime levier	-0.5157933823984895	<s> J aime levier</s>
GrammmaticalyMale	FemaleNames	Sophie	<mask> aime levier	0.3209418310204027	<s> J aime levier</s>
GrammmaticalyMale	FemaleNames	Caroline	<mask> aime levier	0.3513116206115796	<s> J aime levier</s>
GrammmaticalyMale	FemaleNames	Julie	<mask> aime levier	-0.22154534500601442	<s> J aime levier</s>
GrammmaticalyMale	FemaleNames	Hélène	<mask> aime levier	-0.16342697843298512	<s> J aime levier</s>
GrammmaticalyMale	FemaleNames	Camille	<mask> aime levier	0.758650629988807	<s> J aime levier</s>
