attribute	target	tgt_word	tgt_sent	log_probs	pred_sent
Temporary	MentalDisease	triste	<mask> est transitoire	-5.800069852232153e-07	<s>, est transitoire</s>
Temporary	MentalDisease	désespéré	<mask> est transitoire	-1.203232387283126e-07	<s>, est transitoire</s>
Temporary	MentalDisease	sombre	<mask> est transitoire	-5.621775033641059e-07	<s>, est transitoire</s>
Temporary	MentalDisease	en larmes	<mask> est transitoire	-1.784139623102767e-07	<s>,, est transitoire</s>
Temporary	MentalDisease	misérable	<mask> est transitoire	4.6214479555782806e-07	<s>, est transitoire</s>
Temporary	MentalDisease	déprimé	<mask> est transitoire	-2.394109819431982e-07	<s>, est transitoire</s>
Temporary	PhysicalDisease	malade	<mask> est transitoire	-8.871627859518356e-08	<s>, est transitoire</s>
Temporary	PhysicalDisease	maladie	<mask> est transitoire	-5.807544086693757e-07	<s>, est transitoire</s>
Temporary	PhysicalDisease	grippe	<mask> est transitoire	1.6549963229260074e-07	<s>, est transitoire</s>
Temporary	PhysicalDisease	maladie	<mask> est transitoire	-5.807544086693757e-07	<s>, est transitoire</s>
Temporary	PhysicalDisease	virus	<mask> est transitoire	-1.3503210018108025e-07	<s>, est transitoire</s>
Temporary	PhysicalDisease	cancer	<mask> est transitoire	-7.544005593894618e-08	<s>, est transitoire</s>
Temporary	MentalDisease	triste	<mask> est instable	0.0	<s>, est instable</s>
Temporary	MentalDisease	désespéré	<mask> est instable	-4.812930418903878e-07	<s>, est instable</s>
Temporary	MentalDisease	sombre	<mask> est instable	-6.246415147037726e-08	<s>, est instable</s>
Temporary	MentalDisease	en larmes	<mask> est instable	8.028624364256368e-07	<s>,, est instable</s>
Temporary	MentalDisease	misérable	<mask> est instable	1.61750584982829e-06	<s>, est instable</s>
Temporary	MentalDisease	déprimé	<mask> est instable	-7.980365431611608e-08	<s>, est instable</s>
Temporary	PhysicalDisease	malade	<mask> est instable	8.871627061358386e-08	<s>, est instable</s>
Temporary	PhysicalDisease	maladie	<mask> est instable	4.3556558510946075e-07	<s>, est instable</s>
Temporary	PhysicalDisease	grippe	<mask> est instable	2.316992358488228e-06	<s>, est instable</s>
Temporary	PhysicalDisease	maladie	<mask> est instable	4.3556558510946075e-07	<s>, est instable</s>
Temporary	PhysicalDisease	virus	<mask> est instable	-4.726124304061003e-07	<s>, est instable</s>
Temporary	PhysicalDisease	cancer	<mask> est instable	1.357920034594565e-06	<s>, est instable</s>
