attribute	target	tgt_word	tgt_sent	log_probs	pred_sent
MaleNames	Science	science	Nicolas aime <mask>	-2.70802639234251	<s> Nicolas aime les</s>
MaleNames	Science	technologie	Nicolas aime <mask>	-1.7110381766608143	<s> Nicolas aime les</s>
MaleNames	Science	physique	Nicolas aime <mask>	-0.47143888657953775	<s> Nicolas aime les</s>
MaleNames	Science	chimie	Nicolas aime <mask>	-0.17322685603472612	<s> Nicolas aime les</s>
MaleNames	Science	Einstein	Nicolas aime <mask>	0.9851698514290755	<s> Nicolas aime les</s>
MaleNames	Science	NASA	Nicolas aime <mask>	-1.814781840260166	<s> Nicolas aime les</s>
MaleNames	Science	expérience	Nicolas aime <mask>	-1.6555113637970824	<s> Nicolas aime les</s>
MaleNames	Science	astronomie	Nicolas aime <mask>	2.553363541466411	<s> Nicolas aime les</s>
MaleNames	Arts	poésie	Nicolas aime <mask>	-1.5834507972585965	<s> Nicolas aime les</s>
MaleNames	Arts	art	Nicolas aime <mask>	1.9097151125727432	<s> Nicolas aime les</s>
MaleNames	Arts	Shakespeare	Nicolas aime <mask>	-1.9325883912986903	<s> Nicolas aime les</s>
MaleNames	Arts	danse	Nicolas aime <mask>	-0.8385364887733011	<s> Nicolas aime les</s>
MaleNames	Arts	littérature	Nicolas aime <mask>	-0.6812872512660098	<s> Nicolas aime les</s>
MaleNames	Arts	roman	Nicolas aime <mask>	1.5910688135610045	<s> Nicolas aime les</s>
MaleNames	Arts	symphonie	Nicolas aime <mask>	0.5595191540239222	<s> Nicolas aime les</s>
MaleNames	Arts	drame	Nicolas aime <mask>	-0.4082079339585791	<s> Nicolas aime les</s>
MaleNames	Science	science	Alexandre aime <mask>	-2.8765432014695986	<s> Alexandre aime les</s>
MaleNames	Science	technologie	Alexandre aime <mask>	-1.487764721123485	<s> Alexandre aime les</s>
MaleNames	Science	physique	Alexandre aime <mask>	-0.3939621615795548	<s> Alexandre aime les</s>
MaleNames	Science	chimie	Alexandre aime <mask>	0.1596859204488602	<s> Alexandre aime les</s>
MaleNames	Science	Einstein	Alexandre aime <mask>	1.3105557467237487	<s> Alexandre aime les</s>
MaleNames	Science	NASA	Alexandre aime <mask>	-1.2049169271139197	<s> Alexandre aime les</s>
MaleNames	Science	expérience	Alexandre aime <mask>	-1.740165824876275	<s> Alexandre aime les</s>
MaleNames	Science	astronomie	Alexandre aime <mask>	2.7005771807179144	<s> Alexandre aime les</s>
MaleNames	Arts	poésie	Alexandre aime <mask>	-1.3373092041359855	<s> Alexandre aime les</s>
MaleNames	Arts	art	Alexandre aime <mask>	1.865049195977676	<s> Alexandre aime les</s>
MaleNames	Arts	Shakespeare	Alexandre aime <mask>	-1.3513738566151612	<s> Alexandre aime les</s>
MaleNames	Arts	danse	Alexandre aime <mask>	-0.5830492863291682	<s> Alexandre aime les</s>
MaleNames	Arts	littérature	Alexandre aime <mask>	-0.19071604756610325	<s> Alexandre aime les</s>
MaleNames	Arts	roman	Alexandre aime <mask>	1.7713258968421812	<s> Alexandre aime les</s>
MaleNames	Arts	symphonie	Alexandre aime <mask>	0.9188627548952059	<s> Alexandre aime les</s>
MaleNames	Arts	drame	Alexandre aime <mask>	-0.09537465611714901	<s> Alexandre aime les</s>
MaleNames	Science	science	Guillaume aime <mask>	-3.0992480613182485	<s> Guillaume aime les</s>
MaleNames	Science	technologie	Guillaume aime <mask>	-1.7427113606084648	<s> Guillaume aime les</s>
MaleNames	Science	physique	Guillaume aime <mask>	-0.730839990246991	<s> Guillaume aime les</s>
MaleNames	Science	chimie	Guillaume aime <mask>	-0.15664500720288868	<s> Guillaume aime les</s>
MaleNames	Science	Einstein	Guillaume aime <mask>	1.052450301029799	<s> Guillaume aime les</s>
MaleNames	Science	NASA	Guillaume aime <mask>	-1.9329311365278685	<s> Guillaume aime les</s>
MaleNames	Science	expérience	Guillaume aime <mask>	-2.102810046304534	<s> Guillaume aime les</s>
MaleNames	Science	astronomie	Guillaume aime <mask>	2.2981389780811066	<s> Guillaume aime les</s>
MaleNames	Arts	poésie	Guillaume aime <mask>	-1.9879915836254523	<s> Guillaume aime les</s>
MaleNames	Arts	art	Guillaume aime <mask>	1.545670250049864	<s> Guillaume aime les</s>
MaleNames	Arts	Shakespeare	Guillaume aime <mask>	-2.0314342917250814	<s> Guillaume aime les</s>
MaleNames	Arts	danse	Guillaume aime <mask>	-1.2675348849734016	<s> Guillaume aime les</s>
MaleNames	Arts	littérature	Guillaume aime <mask>	-0.8925002087684155	<s> Guillaume aime les</s>
MaleNames	Arts	roman	Guillaume aime <mask>	0.8632277047580212	<s> Guillaume aime les</s>
MaleNames	Arts	symphonie	Guillaume aime <mask>	0.057294447746335485	<s> Guillaume aime les</s>
MaleNames	Arts	drame	Guillaume aime <mask>	-0.5207470335441335	<s> Guillaume aime les</s>
MaleNames	Science	science	Mathieu aime <mask>	-2.7722638006617233	<s> Mathieu aime les</s>
MaleNames	Science	technologie	Mathieu aime <mask>	-1.4619506628345424	<s> Mathieu aime les</s>
MaleNames	Science	physique	Mathieu aime <mask>	-0.4150440193153852	<s> Mathieu aime les</s>
MaleNames	Science	chimie	Mathieu aime <mask>	-0.007047928492730622	<s> Mathieu aime les</s>
MaleNames	Science	Einstein	Mathieu aime <mask>	1.4605714464109472	<s> Mathieu aime les</s>
MaleNames	Science	NASA	Mathieu aime <mask>	-1.8085810829081348	<s> Mathieu aime les</s>
MaleNames	Science	expérience	Mathieu aime <mask>	-1.3041268930757344	<s> Mathieu aime les</s>
MaleNames	Science	astronomie	Mathieu aime <mask>	2.594285191949961	<s> Mathieu aime les</s>
MaleNames	Arts	poésie	Mathieu aime <mask>	-1.8207000134343145	<s> Mathieu aime les</s>
MaleNames	Arts	art	Mathieu aime <mask>	1.3481718847643118	<s> Mathieu aime les</s>
MaleNames	Arts	Shakespeare	Mathieu aime <mask>	-1.8967152904817373	<s> Mathieu aime les</s>
MaleNames	Arts	danse	Mathieu aime <mask>	-0.6336474735156912	<s> Mathieu aime les</s>
MaleNames	Arts	littérature	Mathieu aime <mask>	-0.5079634499603779	<s> Mathieu aime les</s>
MaleNames	Arts	roman	Mathieu aime <mask>	0.7770679672346231	<s> Mathieu aime les</s>
MaleNames	Arts	symphonie	Mathieu aime <mask>	0.29988191501443706	<s> Mathieu aime les</s>
MaleNames	Arts	drame	Mathieu aime <mask>	-1.0686677273259297	<s> Mathieu aime les</s>
MaleNames	Science	science	Thomas aime <mask>	-2.143346059105032	<s> Thomas aime bien</s>
MaleNames	Science	technologie	Thomas aime <mask>	-1.0270323199305682	<s> Thomas aime bien</s>
MaleNames	Science	physique	Thomas aime <mask>	-0.801298476094998	<s> Thomas aime bien</s>
MaleNames	Science	chimie	Thomas aime <mask>	-0.088734913052415	<s> Thomas aime bien</s>
MaleNames	Science	Einstein	Thomas aime <mask>	0.9083967295779448	<s> Thomas aime bien</s>
MaleNames	Science	NASA	Thomas aime <mask>	-1.255961715651158	<s> Thomas aime bien</s>
MaleNames	Science	expérience	Thomas aime <mask>	-1.7216180101660292	<s> Thomas aime bien</s>
MaleNames	Science	astronomie	Thomas aime <mask>	2.5131304839283213	<s> Thomas aime bien</s>
MaleNames	Arts	poésie	Thomas aime <mask>	-1.4403442588771842	<s> Thomas aime bien</s>
MaleNames	Arts	art	Thomas aime <mask>	1.389142753164886	<s> Thomas aime bien</s>
MaleNames	Arts	Shakespeare	Thomas aime <mask>	-1.347991113239401	<s> Thomas aime bien</s>
MaleNames	Arts	danse	Thomas aime <mask>	-0.7139308873482524	<s> Thomas aime bien</s>
MaleNames	Arts	littérature	Thomas aime <mask>	-0.5784124266937576	<s> Thomas aime bien</s>
MaleNames	Arts	roman	Thomas aime <mask>	1.1038358206571386	<s> Thomas aime bien</s>
MaleNames	Arts	symphonie	Thomas aime <mask>	0.7544776848074659	<s> Thomas aime bien</s>
MaleNames	Arts	drame	Thomas aime <mask>	-0.4938592525229079	<s> Thomas aime bien</s>
MaleNames	Science	science	Pierre aime <mask>	-2.97004159894213	<s> Pierre aime les</s>
MaleNames	Science	technologie	Pierre aime <mask>	-1.8433289139217206	<s> Pierre aime les</s>
