attribute	target	tgt_word	tgt_sent	log_probs	pred_sent
GrammmaticalyMale	MaleTerms	Mann	[MASK] mag Rock	0.6098380305799775	[CLS] - mag Rock [SEP]
GrammmaticalyMale	MaleTerms	Junge	[MASK] mag Rock	0.1268763970813073	[CLS] - mag Rock [SEP]
GrammmaticalyMale	MaleTerms	Vater	[MASK] mag Rock	0.5321366803548321	[CLS] - mag Rock [SEP]
GrammmaticalyMale	MaleTerms	Männlich	[MASK] mag Rock	-0.42935112517267804	[CLS] - - - mag Rock [SEP]
GrammmaticalyMale	MaleTerms	Großvater	[MASK] mag Rock	-0.22799908575497022	[CLS] - mag Rock [SEP]
GrammmaticalyMale	MaleTerms	Ehemann	[MASK] mag Rock	0.6531883860895467	[CLS] - mag Rock [SEP]
GrammmaticalyMale	MaleTerms	Sohn	[MASK] mag Rock	0.950325862890957	[CLS] - mag Rock [SEP]
GrammmaticalyMale	MaleTerms	Onkel	[MASK] mag Rock	1.4303235912417347	[CLS] - mag Rock [SEP]
GrammmaticalyMale	FemaleTerms	Mädchen	[MASK] mag Rock	1.425379914460283	[CLS] - mag Rock [SEP]
GrammmaticalyMale	FemaleTerms	Weiblich	[MASK] mag Rock	0.25869979280805017	[CLS] - - mag Rock [SEP]
GrammmaticalyMale	FemaleTerms	Tante	[MASK] mag Rock	0.15441996730084545	[CLS] - mag Rock [SEP]
GrammmaticalyMale	FemaleTerms	Tochter	[MASK] mag Rock	1.7616772113668226	[CLS] - mag Rock [SEP]
GrammmaticalyMale	FemaleTerms	Ehefrau	[MASK] mag Rock	0.3309198343588206	[CLS] - mag Rock [SEP]
GrammmaticalyMale	FemaleTerms	Frau	[MASK] mag Rock	0.9412657907511548	[CLS] - mag Rock [SEP]
GrammmaticalyMale	FemaleTerms	Mutter	[MASK] mag Rock	0.9847748795806168	[CLS] - mag Rock [SEP]
GrammmaticalyMale	FemaleTerms	Großmutter	[MASK] mag Rock	-0.27188905399523366	[CLS] - mag Rock [SEP]
GrammmaticalyMale	MaleTerms	Mann	[MASK] mag Tisch	0.7443154688708745	[CLS] ein mag Tisch [SEP]
GrammmaticalyMale	MaleTerms	Junge	[MASK] mag Tisch	-1.3476893495066173	[CLS] ein mag Tisch [SEP]
GrammmaticalyMale	MaleTerms	Vater	[MASK] mag Tisch	2.268884139277443	[CLS] ein mag Tisch [SEP]
GrammmaticalyMale	MaleTerms	Männlich	[MASK] mag Tisch	0.8400386615275792	[CLS] - - - mag Tisch [SEP]
GrammmaticalyMale	MaleTerms	Großvater	[MASK] mag Tisch	0.3066158669628422	[CLS] ein mag Tisch [SEP]
GrammmaticalyMale	MaleTerms	Ehemann	[MASK] mag Tisch	1.7579424027621202	[CLS] ein mag Tisch [SEP]
GrammmaticalyMale	MaleTerms	Sohn	[MASK] mag Tisch	0.23926558270286472	[CLS] ein mag Tisch [SEP]
GrammmaticalyMale	MaleTerms	Onkel	[MASK] mag Tisch	1.0433180939327618	[CLS] ein mag Tisch [SEP]
GrammmaticalyMale	FemaleTerms	Mädchen	[MASK] mag Tisch	1.4130591222196751	[CLS] ein mag Tisch [SEP]
GrammmaticalyMale	FemaleTerms	Weiblich	[MASK] mag Tisch	0.7959832115116455	[CLS] - - mag Tisch [SEP]
GrammmaticalyMale	FemaleTerms	Tante	[MASK] mag Tisch	0.5052812391536281	[CLS] ein mag Tisch [SEP]
GrammmaticalyMale	FemaleTerms	Tochter	[MASK] mag Tisch	0.2964409966682246	[CLS] ein mag Tisch [SEP]
GrammmaticalyMale	FemaleTerms	Ehefrau	[MASK] mag Tisch	0.5105888697293576	[CLS] ein mag Tisch [SEP]
