attribute	target	tgt_word	tgt_sent	log_probs	pred_sent
MaleNames	Science	Wissenschaft	Johannes mag [MASK]	-3.611704231844007	[CLS] Johannes magisch [SEP]
MaleNames	Science	Technologie	Johannes mag [MASK]	-1.517997655920486	[CLS] Johannes magisch [SEP]
MaleNames	Science	Physik	Johannes mag [MASK]	0.7107583429667803	[CLS] Johannes magisch [SEP]
MaleNames	Science	Chemie	Johannes mag [MASK]	0.5896445208660259	[CLS] Johannes magisch [SEP]
MaleNames	Science	Einstein	Johannes mag [MASK]	-0.8310275097140636	[CLS] Johannes magisch [SEP]
MaleNames	Science	NASA	Johannes mag [MASK]	-0.4789384122432155	[CLS] Johannes magisch [SEP]
MaleNames	Science	Experiment	Johannes mag [MASK]	1.1177311276325308	[CLS] Johannes magisch [SEP]
MaleNames	Science	Astronomie	Johannes mag [MASK]	-2.7319794487262525	[CLS] Johannes magisch [SEP]
MaleNames	Arts	Poesie	Johannes mag [MASK]	-2.421878630299734	[CLS] Johannes magisch [SEP]
MaleNames	Arts	Kunst	Johannes mag [MASK]	-1.675625094533983	[CLS] Johannes magisch [SEP]
MaleNames	Arts	Shakespeare	Johannes mag [MASK]	0.1360294607461328	[CLS] Johannes magisch [SEP]
MaleNames	Arts	tanzen	Johannes mag [MASK]	0.25969907819055826	[CLS] Johannes magisch [SEP]
MaleNames	Arts	Literatur	Johannes mag [MASK]	-1.0605495691331217	[CLS] Johannes magisch [SEP]
MaleNames	Arts	Roman	Johannes mag [MASK]	-1.4780440264760712	[CLS] Johannes magisch [SEP]
MaleNames	Arts	Symphonie	Johannes mag [MASK]	0.5473214660168044	[CLS] Johannes magisch [SEP]
MaleNames	Arts	Theater	Johannes mag [MASK]	-0.007115758571274272	[CLS] Johannes magisch [SEP]
MaleNames	Science	Wissenschaft	Lukas mag [MASK]	-1.9015255312448418	[CLS] Lukas magisch [SEP]
MaleNames	Science	Technologie	Lukas mag [MASK]	-1.9087104339330083	[CLS] Lukas magisch [SEP]
MaleNames	Science	Physik	Lukas mag [MASK]	-0.9587550656221674	[CLS] Lukas magisch [SEP]
MaleNames	Science	Chemie	Lukas mag [MASK]	0.22572243232816208	[CLS] Lukas magisch [SEP]
MaleNames	Science	Einstein	Lukas mag [MASK]	0.4342957114652692	[CLS] Lukas magisch [SEP]
MaleNames	Science	NASA	Lukas mag [MASK]	-0.8195632133286519	[CLS] Lukas magisch [SEP]
MaleNames	Science	Experiment	Lukas mag [MASK]	1.5144081326578887	[CLS] Lukas magisch [SEP]
MaleNames	Science	Astronomie	Lukas mag [MASK]	-1.1902863888628017	[CLS] Lukas magisch [SEP]
MaleNames	Arts	Poesie	Lukas mag [MASK]	-2.062299041932765	[CLS] Lukas magisch [SEP]
MaleNames	Arts	Kunst	Lukas mag [MASK]	-1.1508568016903413	[CLS] Lukas magisch [SEP]
MaleNames	Arts	Shakespeare	Lukas mag [MASK]	-0.06926093112799675	[CLS] Lukas magisch [SEP]
MaleNames	Arts	tanzen	Lukas mag [MASK]	1.0832273624600295	[CLS] Lukas magisch [SEP]
MaleNames	Arts	Literatur	Lukas mag [MASK]	0.45611630749892773	[CLS] Lukas magisch [SEP]
MaleNames	Arts	Roman	Lukas mag [MASK]	0.26025764497819126	[CLS] Lukas magisch [SEP]
MaleNames	Arts	Symphonie	Lukas mag [MASK]	0.1999962307729613	[CLS] Lukas magisch [SEP]
MaleNames	Arts	Theater	Lukas mag [MASK]	-1.4809701660734873	[CLS] Lukas magisch [SEP]
MaleNames	Science	Wissenschaft	Daniel mag [MASK]	-1.1255098522699207	[CLS] Daniel magisch [SEP]
MaleNames	Science	Technologie	Daniel mag [MASK]	-2.3207738347900855	[CLS] Daniel magisch [SEP]
MaleNames	Science	Physik	Daniel mag [MASK]	-1.606518781689742	[CLS] Daniel magisch [SEP]
MaleNames	Science	Chemie	Daniel mag [MASK]	0.2780015443970536	[CLS] Daniel magisch [SEP]
