attribute	target	tgt_word	tgt_sent	log_probs	pred_sent
MaleTerms	GrammmaticalyMale	sabotage	garçon aime <mask>	0.05979566054485188	<s> garçon aime le</s>
MaleTerms	GrammmaticalyMale	levier	garçon aime <mask>	-0.5229320102099094	<s> garçon aime le</s>
MaleTerms	GrammmaticalyMale	combustible	garçon aime <mask>	-0.8291901394825999	<s> garçon aime le</s>
MaleTerms	GrammmaticalyMale	soleil	garçon aime <mask>	0.6076614631841395	<s> garçon aime le</s>
MaleTerms	GrammmaticalyMale	homme	garçon aime <mask>	0.34415316549135844	<s> garçon aime le</s>
MaleTerms	GrammmaticalyMale	danseur	garçon aime <mask>	1.1667344600703198	<s> garçon aime le</s>
MaleTerms	GrammmaticalyMale	siècle	garçon aime <mask>	-0.5594333029531446	<s> garçon aime le</s>
MaleTerms	GrammmaticalyMale	poids	garçon aime <mask>	0.7484891524161047	<s> garçon aime le</s>
MaleTerms	GrammmaticalyMale	vieux	garçon aime <mask>	0.07546347271369977	<s> garçon aime le</s>
MaleTerms	GrammmaticalyMale	bureau	garçon aime <mask>	0.2800070289901127	<s> garçon aime le</s>
MaleTerms	GrammmaticalyMale	otage	garçon aime <mask>	-0.7965993557141549	<s> garçon aime le</s>
MaleTerms	GrammmaticalyMale	descendant	garçon aime <mask>	-0.8359022475871946	<s> garçon aime le</s>
MaleTerms	GrammmaticalyMale	toit	garçon aime <mask>	-0.6713586133988748	<s> garçon aime le</s>
MaleTerms	GrammmaticalyMale	accès	garçon aime <mask>	0.003009580306333034	<s> garçon aime le</s>
MaleTerms	GrammmaticalyMale	procureur	garçon aime <mask>	0.09810790009802614	<s> garçon aime le</s>
MaleTerms	GrammmaticalyMale	bouclier	garçon aime <mask>	-0.47758543862739067	<s> garçon aime le</s>
MaleTerms	GrammmaticalyMale	règlement	garçon aime <mask>	0.08216554682899643	<s> garçon aime le</s>
MaleTerms	GrammmaticalyMale	puits	garçon aime <mask>	-0.5893751371262587	<s> garçon aime le</s>
MaleTerms	GrammmaticalyMale	marchand	garçon aime <mask>	0.2760988763594668	<s> garçon aime le</s>
MaleTerms	GrammmaticalyMale	ciel	garçon aime <mask>	0.3790471162773199	<s> garçon aime le</s>
MaleTerms	GrammmaticalyMale	pétrolier	garçon aime <mask>	-0.688532606620147	<s> garçon aime le</s>
MaleTerms	GrammmaticalyMale	futur	garçon aime <mask>	0.2386567101715361	<s> garçon aime le</s>
MaleTerms	GrammmaticalyMale	jésus	garçon aime <mask>	-1.1870859795704176	<s> garçon aime le</s>
MaleTerms	GrammmaticalyMale	lithium	garçon aime <mask>	-1.2362215684925475	<s> garçon aime le</s>
MaleTerms	GrammmaticalyMale	ravage	garçon aime <mask>	-0.16280688059728873	<s> garçon aime le</s>
MaleTerms	GrammmaticalyMale	couteau	garçon aime <mask>	-0.5052046497384639	<s> garçon aime le</s>
MaleTerms	GrammmaticalyMale	carnaval	garçon aime <mask>	-0.10566071432758636	<s> garçon aime le</s>
MaleTerms	GrammmaticalyMale	mur	garçon aime <mask>	-0.9902776045838333	<s> garçon aime le</s>
MaleTerms	GrammmaticalyMale	pourcentage	garçon aime <mask>	-0.29969809818486864	<s> garçon aime le</s>
MaleTerms	GrammmaticalyMale	virage	garçon aime <mask>	-0.06267362929482806	<s> garçon aime le</s>
MaleTerms	GrammmaticalyMale	chèque	garçon aime <mask>	-1.1260915075711735	<s> garçon aime le</s>
MaleTerms	GrammmaticalyMale	arbre	garçon aime <mask>	-0.7162651496870609	<s> garçon aime le</s>
MaleTerms	GrammmaticalyMale	revêtement	garçon aime <mask>	-1.317281778177621	<s> garçon aime le</s>
MaleTerms	GrammmaticalyMale	complot	garçon aime <mask>	-0.7460287963580441	<s> garçon aime le</s>
MaleTerms	GrammmaticalyMale	oreiller	garçon aime <mask>	-0.07596565595836048	<s> garçon aime le</s>
MaleTerms	GrammmaticalyMale	bouquet	garçon aime <mask>	-0.6403581013991129	<s> garçon aime le</s>
MaleTerms	GrammmaticalyMale	bruit	garçon aime <mask>	-0.7587269536469917	<s> garçon aime le</s>
MaleTerms	GrammmaticalyMale	juin	garçon aime <mask>	-0.20396257426857647	<s> garçon aime le</s>
MaleTerms	GrammmaticalyMale	seigneur	garçon aime <mask>	-1.0784113847038597	<s> garçon aime le</s>
MaleTerms	GrammmaticalyMale	international	garçon aime <mask>	-0.3996793360115099	<s> garçon aime le</s>
MaleTerms	GrammmaticalyMale	pied	garçon aime <mask>	1.2995474648172234	<s> garçon aime le</s>
MaleTerms	GrammmaticalyMale	jardin	garçon aime <mask>	-0.13378222944049775	<s> garçon aime le</s>
MaleTerms	GrammmaticalyMale	pic	garçon aime <mask>	0.46571325107082506	<s> garçon aime le</s>
MaleTerms	GrammmaticalyMale	village	garçon aime <mask>	0.2828223852150166	<s> garçon aime le</s>
MaleTerms	GrammmaticalyMale	vendeur	garçon aime <mask>	0.3743656341124807	<s> garçon aime le</s>
MaleTerms	GrammmaticalyMale	dépôt	garçon aime <mask>	0.3918178234851922	<s> garçon aime le</s>
MaleTerms	GrammmaticalyMale	tribunal	garçon aime <mask>	0.5322967941407798	<s> garçon aime le</s>
MaleTerms	GrammmaticalyMale	bien	garçon aime <mask>	-0.2132800830140124	<s> garçon aime le</s>
MaleTerms	GrammmaticalyMale	vélo	garçon aime <mask>	0.06185572006020221	<s> garçon aime le</s>
MaleTerms	GrammmaticalyMale	mécanisme	garçon aime <mask>	-0.5450612895088257	<s> garçon aime le</s>
MaleTerms	GrammmaticalyMale	ordinateur	garçon aime <mask>	-0.1385967186865543	<s> garçon aime le</s>
MaleTerms	GrammmaticalyMale	écolier	garçon aime <mask>	-0.7103833332260014	<s> garçon aime le</s>
MaleTerms	GrammmaticalyMale	animal	garçon aime <mask>	0.1001622596878269	<s> garçon aime le</s>
MaleTerms	GrammmaticalyMale	cycle	garçon aime <mask>	0.20190127810347744	<s> garçon aime le</s>
MaleTerms	GrammmaticalyMale	championnat	garçon aime <mask>	0.8554408814806619	<s> garçon aime le</s>
MaleTerms	GrammmaticalyMale	fonds	garçon aime <mask>	0.40550964402145956	<s> garçon aime le</s>
MaleTerms	GrammmaticalyMale	camion	garçon aime <mask>	-0.630357764984209	<s> garçon aime le</s>
MaleTerms	GrammmaticalyMale	budget	garçon aime <mask>	-0.7865031336460243	<s> garçon aime le</s>
MaleTerms	GrammmaticalyMale	commerçant	garçon aime <mask>	-0.8497586406219685	<s> garçon aime le</s>
MaleTerms	GrammmaticalyMale	cinéma	garçon aime <mask>	0.9008828271585928	<s> garçon aime le</s>
MaleTerms	GrammmaticalyMale	nuage	garçon aime <mask>	-0.2414688323253611	<s> garçon aime le</s>
MaleTerms	GrammmaticalyMale	inspecteur	garçon aime <mask>	-0.07596296225276523	<s> garçon aime le</s>
MaleTerms	GrammmaticalyMale	stylo	garçon aime <mask>	-0.48509646105562476	<s> garçon aime le</s>
MaleTerms	GrammmaticalyMale	réquisitoire	garçon aime <mask>	-0.5361067265037693	<s> garçon aime le</s>
MaleTerms	GrammmaticalyMale	pont	garçon aime <mask>	-0.849205187777276	<s> garçon aime le</s>
MaleTerms	GrammmaticalyMale	électeur	garçon aime <mask>	-0.07597952824229752	<s> garçon aime le</s>
MaleTerms	GrammmaticalyMale	processeur	garçon aime <mask>	-0.07681844616540986	<s> garçon aime le</s>
MaleTerms	GrammmaticalyMale	point	garçon aime <mask>	0.3231622662849765	<s> garçon aime le</s>
MaleTerms	GrammmaticalyMale	texte	garçon aime <mask>	0.7302138110506984	<s> garçon aime le</s>
MaleTerms	GrammmaticalyMale	acteur	garçon aime <mask>	0.40997473182141725	<s> garçon aime le</s>
MaleTerms	GrammmaticalyMale	besoin	garçon aime <mask>	0.06971150189267981	<s> garçon aime le</s>
MaleTerms	GrammmaticalyMale	emballage	garçon aime <mask>	0.5475648612284713	<s> garçon aime le</s>
MaleTerms	GrammmaticalyMale	chantage	garçon aime <mask>	-0.04408636272609162	<s> garçon aime le</s>
MaleTerms	GrammmaticalyMale	roi	garçon aime <mask>	0.36062691544472303	<s> garçon aime le</s>
MaleTerms	GrammmaticalyMale	collier	garçon aime <mask>	0.502360048877356	<s> garçon aime le</s>
MaleTerms	GrammmaticalyMale	fabricant	garçon aime <mask>	0.1973217011837509	<s> garçon aime le</s>
MaleTerms	GrammmaticalyMale	chantier	garçon aime <mask>	-0.38083727114809834	<s> garçon aime le</s>
MaleTerms	GrammmaticalyMale	directeur	garçon aime <mask>	0.4136256206356904	<s> garçon aime le</s>
MaleTerms	GrammmaticalyMale	frigo	garçon aime <mask>	-0.6479646078516907	<s> garçon aime le</s>
MaleTerms	GrammmaticalyMale	monsieur	garçon aime <mask>	0.0690328375258937	<s> garçon aime le</s>
MaleTerms	GrammmaticalyMale	carbone	garçon aime <mask>	-0.3824999647740733	<s> garçon aime le</s>
MaleTerms	GrammmaticalyMale	collectionneur	garçon aime <mask>	-0.6878210518607285	<s> garçon aime le</s>
MaleTerms	GrammmaticalyMale	change	garçon aime <mask>	1.2928310985143492	<s> garçon aime le</s>
MaleTerms	GrammmaticalyMale	passage	garçon aime <mask>	0.2149159812279589	<s> garçon aime le</s>
MaleTerms	GrammmaticalyMale	prénom	garçon aime <mask>	0.15271925464178693	<s> garçon aime le</s>
MaleTerms	GrammmaticalyMale	élu	garçon aime <mask>	-0.7408949292307123	<s> garçon aime le</s>
MaleTerms	GrammmaticalyMale	entier	garçon aime <mask>	-0.39500500952406076	<s> garçon aime le</s>
MaleTerms	GrammmaticalyMale	constructeur	garçon aime <mask>	0.023746252760529118	<s> garçon aime le</s>
MaleTerms	GrammmaticalyMale	système	garçon aime <mask>	0.2648426868677315	<s> garçon aime le</s>
MaleTerms	GrammmaticalyMale	frère	garçon aime <mask>	1.1437213491041018	<s> garçon aime le</s>
MaleTerms	GrammmaticalyMale	cargo	garçon aime <mask>	-0.07132270547629639	<s> garçon aime le</s>
