attribute	target	tgt_word	tgt_sent	log_probs	pred_sent
MaleNames	GrammmaticalyMale	sabotage	Nicolas aime <mask>	1.3814813483915065	<s> Nicolas aime,</s>
MaleNames	GrammmaticalyMale	levier	Nicolas aime <mask>	-0.972772045235497	<s> Nicolas aime,</s>
MaleNames	GrammmaticalyMale	combustible	Nicolas aime <mask>	0.04397448371944005	<s> Nicolas aime,</s>
MaleNames	GrammmaticalyMale	soleil	Nicolas aime <mask>	-0.47467630064349364	<s> Nicolas aime,</s>
MaleNames	GrammmaticalyMale	homme	Nicolas aime <mask>	-0.15658084194264096	<s> Nicolas aime,</s>
MaleNames	GrammmaticalyMale	danseur	Nicolas aime <mask>	-0.22053422901798572	<s> Nicolas aime,</s>
MaleNames	GrammmaticalyMale	siècle	Nicolas aime <mask>	1.5835257210709541	<s> Nicolas aime,</s>
MaleNames	GrammmaticalyMale	poids	Nicolas aime <mask>	-1.3141664368901784	<s> Nicolas aime,</s>
MaleNames	GrammmaticalyMale	vieux	Nicolas aime <mask>	0.9556767073369327	<s> Nicolas aime,</s>
MaleNames	GrammmaticalyMale	bureau	Nicolas aime <mask>	-0.38573120357125024	<s> Nicolas aime,</s>
MaleNames	GrammmaticalyMale	otage	Nicolas aime <mask>	0.35664907026763204	<s> Nicolas aime,</s>
MaleNames	GrammmaticalyMale	descendant	Nicolas aime <mask>	-1.766812722117772	<s> Nicolas aime,</s>
MaleNames	GrammmaticalyMale	toit	Nicolas aime <mask>	0.3705133855894116	<s> Nicolas aime,</s>
MaleNames	GrammmaticalyMale	accès	Nicolas aime <mask>	-1.1753935528511457	<s> Nicolas aime,</s>
MaleNames	GrammmaticalyMale	procureur	Nicolas aime <mask>	1.6153346295007924	<s> Nicolas aime,</s>
MaleNames	GrammmaticalyMale	bouclier	Nicolas aime <mask>	-1.2725290340052162	<s> Nicolas aime,</s>
MaleNames	GrammmaticalyMale	règlement	Nicolas aime <mask>	-0.8183921849079953	<s> Nicolas aime,</s>
MaleNames	GrammmaticalyMale	puits	Nicolas aime <mask>	0.21411953856520094	<s> Nicolas aime,</s>
MaleNames	GrammmaticalyMale	marchand	Nicolas aime <mask>	0.30709512396195837	<s> Nicolas aime,</s>
MaleNames	GrammmaticalyMale	ciel	Nicolas aime <mask>	-0.2744802349569068	<s> Nicolas aime,</s>
MaleNames	GrammmaticalyMale	pétrolier	Nicolas aime <mask>	-0.31939446144363615	<s> Nicolas aime,</s>
MaleNames	GrammmaticalyMale	futur	Nicolas aime <mask>	-0.8089593748157962	<s> Nicolas aime,</s>
MaleNames	GrammmaticalyMale	jésus	Nicolas aime <mask>	2.0514435445469568	<s> Nicolas aime,</s>
MaleNames	GrammmaticalyMale	lithium	Nicolas aime <mask>	-1.0156215787686051	<s> Nicolas aime,</s>
MaleNames	GrammmaticalyMale	ravage	Nicolas aime <mask>	-0.7368338592339349	<s> Nicolas aime,</s>
MaleNames	GrammmaticalyMale	couteau	Nicolas aime <mask>	-0.8450215668143998	<s> Nicolas aime,</s>
MaleNames	GrammmaticalyMale	carnaval	Nicolas aime <mask>	-1.2731164549504055	<s> Nicolas aime,</s>
MaleNames	GrammmaticalyMale	mur	Nicolas aime <mask>	2.439536735300878	<s> Nicolas aime,</s>
MaleNames	GrammmaticalyMale	pourcentage	Nicolas aime <mask>	-3.384069879984664	<s> Nicolas aime,</s>
MaleNames	GrammmaticalyMale	virage	Nicolas aime <mask>	-0.6789392001544977	<s> Nicolas aime,</s>
MaleNames	GrammmaticalyMale	chèque	Nicolas aime <mask>	-1.3758062030775307	<s> Nicolas aime,</s>
MaleNames	GrammmaticalyMale	arbre	Nicolas aime <mask>	-0.8956159347681576	<s> Nicolas aime,</s>
MaleNames	GrammmaticalyMale	revêtement	Nicolas aime <mask>	-1.4038938303428456	<s> Nicolas aime,</s>
MaleNames	GrammmaticalyMale	complot	Nicolas aime <mask>	0.3930336249984058	<s> Nicolas aime,</s>
MaleNames	GrammmaticalyMale	oreiller	Nicolas aime <mask>	1.177632601358585	<s> Nicolas aime,</s>
MaleNames	GrammmaticalyMale	bouquet	Nicolas aime <mask>	-1.3976824581626943	<s> Nicolas aime,</s>
