attribute	target	tgt_word	tgt_sent	log_probs	pred_sent
GrammmaticalyMale	MaleNames	Nicolas	<mask> aime sabotage	1.0384708807563078e-06	<s>, aime sabotage</s>
GrammmaticalyMale	MaleNames	Alexandre	<mask> aime sabotage	9.74544558692056e-07	<s>, aime sabotage</s>
GrammmaticalyMale	MaleNames	Guillaume	<mask> aime sabotage	1.4030396152186139e-06	<s>, aime sabotage</s>
GrammmaticalyMale	MaleNames	Mathieu	<mask> aime sabotage	1.4881599512942615e-06	<s>, aime sabotage</s>
GrammmaticalyMale	MaleNames	Thomas	<mask> aime sabotage	1.9014927222159606e-06	<s>, aime sabotage</s>
GrammmaticalyMale	MaleNames	Pierre	<mask> aime sabotage	9.16082762152791e-07	<s>, aime sabotage</s>
GrammmaticalyMale	MaleNames	Emmanuelle	<mask> aime sabotage	2.409863056395633e-06	<s>, aime sabotage</s>
GrammmaticalyMale	MaleNames	Jean	<mask> aime sabotage	5.239719526652682e-07	<s>, aime sabotage</s>
GrammmaticalyMale	MaleNames	François	<mask> aime sabotage	4.3831399007789027e-07	<s>, aime sabotage</s>
GrammmaticalyMale	FemaleNames	Céline	<mask> aime sabotage	1.446116331774908e-06	<s>, aime sabotage</s>
GrammmaticalyMale	FemaleNames	Marie	<mask> aime sabotage	9.43433063837826e-07	<s>, aime sabotage</s>
GrammmaticalyMale	FemaleNames	Sandrine	<mask> aime sabotage	1.4641327183648795e-06	<s>, aime sabotage</s>
GrammmaticalyMale	FemaleNames	Sophie	<mask> aime sabotage	1.4123932401376488e-06	<s>, aime sabotage</s>
GrammmaticalyMale	FemaleNames	Caroline	<mask> aime sabotage	1.482317947985759e-06	<s>, aime sabotage</s>
GrammmaticalyMale	FemaleNames	Julie	<mask> aime sabotage	1.5804778228830483e-06	<s>, aime sabotage</s>
GrammmaticalyMale	FemaleNames	Hélène	<mask> aime sabotage	1.0744935643934136e-06	<s>, aime sabotage</s>
GrammmaticalyMale	FemaleNames	Camille	<mask> aime sabotage	1.5486137738208717e-06	<s>, aime sabotage</s>
GrammmaticalyMale	FemaleNames	Émilie	<mask> aime sabotage	1.4964920436439577e-06	<s>, aime sabotage</s>
GrammmaticalyMale	MaleNames	Nicolas	<mask> aime levier	1.5577059167265777e-06	<s>, aime levier</s>
GrammmaticalyMale	MaleNames	Alexandre	<mask> aime levier	1.499298927716898e-06	<s>, aime levier</s>
GrammmaticalyMale	MaleNames	Guillaume	<mask> aime levier	1.5199594942042155e-06	<s>, aime levier</s>
GrammmaticalyMale	MaleNames	Mathieu	<mask> aime levier	1.57083543941884e-06	<s>, aime levier</s>
GrammmaticalyMale	MaleNames	Thomas	<mask> aime levier	1.9014927222159606e-06	<s>, aime levier</s>
GrammmaticalyMale	MaleNames	Pierre	<mask> aime levier	1.570427078271397e-06	<s>, aime levier</s>
GrammmaticalyMale	MaleNames	Emmanuelle	<mask> aime levier	2.409863056395633e-06	<s>, aime levier</s>
GrammmaticalyMale	MaleNames	Jean	<mask> aime levier	2.0958881410051912e-07	<s>, aime levier</s>
GrammmaticalyMale	MaleNames	François	<mask> aime levier	1.4902667826413875e-06	<s>, aime levier</s>
GrammmaticalyMale	FemaleNames	Céline	<mask> aime levier	1.5184220934461013e-06	<s>, aime levier</s>
GrammmaticalyMale	FemaleNames	Marie	<mask> aime levier	5.241295898192557e-07	<s>, aime levier</s>
GrammmaticalyMale	FemaleNames	Sandrine	<mask> aime levier	1.5767582234644378e-06	<s>, aime levier</s>
GrammmaticalyMale	FemaleNames	Sophie	<mask> aime levier	1.9556208781450016e-06	<s>, aime levier</s>
GrammmaticalyMale	FemaleNames	Caroline	<mask> aime levier	2.174065571730135e-06	<s>, aime levier</s>
GrammmaticalyMale	FemaleNames	Julie	<mask> aime levier	6.465594112680089e-07	<s>, aime levier</s>
GrammmaticalyMale	FemaleNames	Hélène	<mask> aime levier	2.1489859740296036e-06	<s>, aime levier</s>
GrammmaticalyMale	FemaleNames	Camille	<mask> aime levier	1.6260443996145906e-06	<s>, aime levier</s>
GrammmaticalyMale	FemaleNames	Émilie	<mask> aime levier	2.4724639092890672e-06	<s>, aime levier</s>
GrammmaticalyMale	MaleNames	Nicolas	<mask> aime combustible	1.5577059167265777e-06	<s>, aime combustible</s>
GrammmaticalyMale	MaleNames	Alexandre	<mask> aime combustible	1.499298927716898e-06	<s>, aime combustible</s>
GrammmaticalyMale	MaleNames	Guillaume	<mask> aime combustible	1.5199594942042155e-06	<s>, aime combustible</s>
GrammmaticalyMale	MaleNames	Mathieu	<mask> aime combustible	1.4881599512942615e-06	<s>, aime combustible</s>
