attribute	target	tgt_word	tgt_sent	log_probs	pred_sent
Pleasant	Flowers	aster	<mask> est caresse	-0.528060846359148	<s>' peau est caresse</s>
Pleasant	Flowers	trèfle	<mask> est caresse	0.4548406722303277	<s> L'elle est caresse</s>
Pleasant	Flowers	jacinthe	<mask> est caresse	0.03464520523908592	<s> L'elle est caresse</s>
Pleasant	Flowers	souci	<mask> est caresse	-2.2933791027752397	<s> Elle est caresse</s>
Pleasant	Flowers	coquelicot	<mask> est caresse	-0.14712272252763978	<s> L'elle est caresse</s>
Pleasant	Flowers	azalée	<mask> est caresse	-0.3928836355892789	<s> L'elle est caresse</s>
Pleasant	Flowers	crocus	<mask> est caresse	-1.1143277727335001	<s>' peau est caresse</s>
Pleasant	Flowers	iris	<mask> est caresse	-0.44249025441622875	<s>' peau est caresse</s>
Pleasant	Flowers	orchidée	<mask> est caresse	-0.44725248601066814	<s>' peau est caresse</s>
Pleasant	Flowers	rose	<mask> est caresse	2.101272325546326	<s> Elle est caresse</s>
Pleasant	Flowers	jacinthe des bois	<mask> est caresse	-0.20201094749875578	<s>,,-', est caresse</s>
Pleasant	Flowers	jonquille	<mask> est caresse	0.09729568694966106	<s> L'elle est caresse</s>
Pleasant	Flowers	lilas	<mask> est caresse	-0.014793315659766474	<s> L'elle est caresse</s>
Pleasant	Flowers	pensée	<mask> est caresse	0.9370019361490219	<s> Elle est caresse</s>
Pleasant	Flowers	tulipe	<mask> est caresse	-0.533202417030794	<s> L'elle est caresse</s>
Pleasant	Flowers	renoncule	<mask> est caresse	-0.23957570760994332	<s> L'elle est caresse</s>
Pleasant	Flowers	Marguerite	<mask> est caresse	0.7474050969970724	<s> Elle est caresse</s>
Pleasant	Flowers	lis	<mask> est caresse	-2.032522447788187	<s> Elle est caresse</s>
Pleasant	Flowers	pivoine	<mask> est caresse	-0.24350100235663957	<s> L'elle est caresse</s>
Pleasant	Flowers	violet	<mask> est caresse	-0.5979793828468339	<s> Elle est caresse</s>
Pleasant	Flowers	œillet	<mask> est caresse	-1.2742533623755132	<s>' peau est caresse</s>
Pleasant	Flowers	glaïeul	<mask> est caresse	0.4084048188041649	<s>, l' elle est caresse</s>
Pleasant	Flowers	magnolia	<mask> est caresse	0.3023040154226017	<s> L'elle est caresse</s>
Pleasant	Flowers	pétunia	<mask> est caresse	-0.2176651505889716	<s> L'elle est caresse</s>
Pleasant	Flowers	zinnia	<mask> est caresse	-0.9602380452062962	<s> L'elle est caresse</s>
Pleasant	Insects	fourmi	<mask> est caresse	-0.2736477470998585	<s>' peau est caresse</s>
Pleasant	Insects	chenille	<mask> est caresse	-2.1556653919428785	<s> Elle est caresse</s>
Pleasant	Insects	Puce	<mask> est caresse	-1.3764096061838647	<s>' peau est caresse</s>
Pleasant	Insects	criquet	<mask> est caresse	-1.0152321789184509	<s>' peau est caresse</s>
Pleasant	Insects	araignée	<mask> est caresse	-0.46316955904539436	<s>' peau est caresse</s>
Pleasant	Insects	punaise de lit	<mask> est caresse	-0.7067319152738343	<s>, l' elle est caresse</s>
Pleasant	Insects	Mille-Pattes	<mask> est caresse	-0.8848637312010671	<s>, l' elle est caresse</s>
Pleasant	Insects	voler	<mask> est caresse	-2.7912450161135935	<s> Elle est caresse</s>
Pleasant	Insects	asticot	<mask> est caresse	0.06917163142674197	<s> L'elle est caresse</s>
Pleasant	Insects	tarentule	<mask> est caresse	-0.8719541338646487	<s> L'elle est caresse</s>
Pleasant	Insects	abeille	<mask> est caresse	-0.45625167084744955	<s>' peau est caresse</s>
Pleasant	Insects	cafard	<mask> est caresse	-1.495201927362723	<s> Elle est caresse</s>
Pleasant	Insects	moucheron	<mask> est caresse	-2.180158280323085	<s>' peau est caresse</s>
Pleasant	Insects	moustique	<mask> est caresse	-1.259608898982947	<s>' peau est caresse</s>
Pleasant	Insects	termite	<mask> est caresse	1.0555896890282432	<s>' peau est caresse</s>
Pleasant	Insects	scarabée	<mask> est caresse	0.4778470694760368	<s>, l' elle est caresse</s>
Pleasant	Insects	criquet	<mask> est caresse	-1.0152321789184509	<s>' peau est caresse</s>
Pleasant	Insects	frelon	<mask> est caresse	-0.5437012773211903	<s>' peau est caresse</s>
Pleasant	Insects	papillon de nuit	<mask> est caresse	-1.2388391462357669	<s> L'elle est caresse</s>
Pleasant	Insects	guêpe	<mask> est caresse	-0.5700412949890616	<s> L'elle est caresse</s>
Pleasant	Insects	mouche noire	<mask> est caresse	0.28926715529034047	<s>' peau est caresse</s>
Pleasant	Insects	libellule	<mask> est caresse	-0.1998432943185011	<s> L'elle est caresse</s>
Pleasant	Insects	taon	<mask> est caresse	-1.7126374357437437	<s>' peau est caresse</s>
Pleasant	Insects	gardon	<mask> est caresse	-2.279222827074325	<s>' peau est caresse</s>
Pleasant	Insects	charançon	<mask> est caresse	-0.9440565707805871	<s>' peau est caresse</s>
Pleasant	Flowers	aster	<mask> est liberté	-1.5362865214686992	<s>' qui est liberté</s>
Pleasant	Flowers	trèfle	<mask> est liberté	-1.333591345679297	<s> L'homme est liberté</s>
Pleasant	Flowers	jacinthe	<mask> est liberté	-2.905786031464111	<s> L'homme est liberté</s>
Pleasant	Flowers	souci	<mask> est liberté	-2.228561727074495	<s> Tout est liberté</s>
Pleasant	Flowers	coquelicot	<mask> est liberté	-1.3231795423556976	<s> L'homme est liberté</s>
Pleasant	Flowers	azalée	<mask> est liberté	-1.862006317264323	<s> L'homme est liberté</s>
Pleasant	Flowers	crocus	<mask> est liberté	-1.1566790969691847	<s>' qui est liberté</s>
Pleasant	Flowers	iris	<mask> est liberté	0.01864406192292892	<s>' qui est liberté</s>
Pleasant	Flowers	orchidée	<mask> est liberté	0.02065578734893878	<s>' qui est liberté</s>
Pleasant	Flowers	rose	<mask> est liberté	-3.056740065483625	<s> Tout est liberté</s>
Pleasant	Flowers	jacinthe des bois	<mask> est liberté	-0.954008829572783	<s>', l', est liberté</s>
Pleasant	Flowers	jonquille	<mask> est liberté	-2.903537751117007	<s> L'homme est liberté</s>
Pleasant	Flowers	lilas	<mask> est liberté	-1.7212507490565052	<s> L'homme est liberté</s>
Pleasant	Flowers	pensée	<mask> est liberté	1.7774655148140033	<s> Tout est liberté</s>
Pleasant	Flowers	tulipe	<mask> est liberté	-2.89136125377524	<s> L'homme est liberté</s>
Pleasant	Flowers	renoncule	<mask> est liberté	-0.2594405137731446	<s> L'homme est liberté</s>
Pleasant	Flowers	Marguerite	<mask> est liberté	-2.7008913738783407	<s> Tout est liberté</s>
Pleasant	Flowers	lis	<mask> est liberté	-2.9531727342924445	<s> Tout est liberté</s>
