attribute	target	tgt_word	tgt_sent	log_probs	pred_sent
MaleTerms	Math	mathématiques	garçon aime <mask>	1.1695985061718364	<s> garçon aime les</s>
MaleTerms	Math	algèbre	garçon aime <mask>	2.946545593397915	<s> garçon aime les</s>
MaleTerms	Math	géométrie	garçon aime <mask>	-0.8554583371206209	<s> garçon aime les</s>
MaleTerms	Math	calcul	garçon aime <mask>	1.7880457974850659	<s> garçon aime les</s>
MaleTerms	Math	équations	garçon aime <mask>	4.378023614788661	<s> garçon aime les</s>
MaleTerms	Math	calcul	garçon aime <mask>	1.7880457974850659	<s> garçon aime les</s>
MaleTerms	Math	Nombres	garçon aime <mask>	-1.4258766631846884	<s> garçon aime les</s>
MaleTerms	Math	ajout	garçon aime <mask>	1.5870962892978937	<s> garçon aime les</s>
MaleTerms	Arts	poésie	garçon aime <mask>	-0.26848035945563015	<s> garçon aime les</s>
MaleTerms	Arts	art	garçon aime <mask>	1.568710207628987	<s> garçon aime les</s>
MaleTerms	Arts	danse	garçon aime <mask>	4.953706169455525	<s> garçon aime les</s>
MaleTerms	Arts	littérature	garçon aime <mask>	-0.29653947282626836	<s> garçon aime les</s>
MaleTerms	Arts	roman	garçon aime <mask>	0.4569290922798825	<s> garçon aime les</s>
MaleTerms	Arts	symphonie	garçon aime <mask>	0.6049669637442706	<s> garçon aime les</s>
MaleTerms	Arts	drame	garçon aime <mask>	1.9466971667783	<s> garçon aime les</s>
MaleTerms	Arts	sculpture	garçon aime <mask>	-0.12310226751686881	<s> garçon aime les</s>
MaleTerms	Math	mathématiques	père aime <mask>	-0.06645958037147269	<s> père aime son</s>
MaleTerms	Math	algèbre	père aime <mask>	1.8554516370995329	<s> père aime son</s>
MaleTerms	Math	géométrie	père aime <mask>	-1.7999648839719478	<s> père aime son</s>
MaleTerms	Math	calcul	père aime <mask>	0.1930457389413414	<s> père aime son</s>
MaleTerms	Math	équations	père aime <mask>	3.1368104246365967	<s> père aime son</s>
MaleTerms	Math	calcul	père aime <mask>	0.1930457389413414	<s> père aime son</s>
MaleTerms	Math	Nombres	père aime <mask>	-2.2681673503735884	<s> père aime son</s>
MaleTerms	Math	ajout	père aime <mask>	-0.020685045605155175	<s> père aime son</s>
MaleTerms	Arts	poésie	père aime <mask>	-1.4308871982753524	<s> père aime son</s>
MaleTerms	Arts	art	père aime <mask>	-0.5116719383187517	<s> père aime son</s>
MaleTerms	Arts	danse	père aime <mask>	2.785980742702648	<s> père aime son</s>
MaleTerms	Arts	littérature	père aime <mask>	-0.5065307889006174	<s> père aime son</s>
MaleTerms	Arts	roman	père aime <mask>	-0.5206516486618968	<s> père aime son</s>
MaleTerms	Arts	symphonie	père aime <mask>	-0.3610247092169246	<s> père aime son</s>
MaleTerms	Arts	drame	père aime <mask>	2.068400458484774	<s> père aime son</s>
MaleTerms	Arts	sculpture	père aime <mask>	0.27341852758508944	<s> père aime son</s>
MaleTerms	Math	mathématiques	masculin aime <mask>	0.6694790006997963	<s> masculin aime les</s>
MaleTerms	Math	algèbre	masculin aime <mask>	3.383626036454945	<s> masculin aime les</s>
MaleTerms	Math	géométrie	masculin aime <mask>	0.6442819335563134	<s> masculin aime les</s>
MaleTerms	Math	calcul	masculin aime <mask>	1.1187844997051823	<s> masculin aime les</s>
MaleTerms	Math	équations	masculin aime <mask>	4.128754266363972	<s> masculin aime les</s>
MaleTerms	Math	calcul	masculin aime <mask>	1.1187844997051823	<s> masculin aime les</s>
MaleTerms	Math	Nombres	masculin aime <mask>	-0.36007732341936916	<s> masculin aime les</s>
MaleTerms	Math	ajout	masculin aime <mask>	2.208407914833251	<s> masculin aime les</s>
MaleTerms	Arts	poésie	masculin aime <mask>	0.9701647516898273	<s> masculin aime les</s>
MaleTerms	Arts	art	masculin aime <mask>	1.2142587039592263	<s> masculin aime les</s>
MaleTerms	Arts	danse	masculin aime <mask>	4.360635357008706	<s> masculin aime les</s>
MaleTerms	Arts	littérature	masculin aime <mask>	0.8130593253442727	<s> masculin aime les</s>
MaleTerms	Arts	roman	masculin aime <mask>	0.21159135736834883	<s> masculin aime les</s>
MaleTerms	Arts	symphonie	masculin aime <mask>	0.6920762151477308	<s> masculin aime les</s>
MaleTerms	Arts	drame	masculin aime <mask>	2.7259984881827357	<s> masculin aime les</s>
MaleTerms	Arts	sculpture	masculin aime <mask>	1.1011891842458612	<s> masculin aime les</s>
MaleTerms	Math	mathématiques	mari aime <mask>	-0.19080215853472612	<s> mari aime le</s>
MaleTerms	Math	algèbre	mari aime <mask>	2.455582559148493	<s> mari aime le</s>
MaleTerms	Math	géométrie	mari aime <mask>	-2.190664780452863	<s> mari aime le</s>
MaleTerms	Math	calcul	mari aime <mask>	0.7210525581394309	<s> mari aime le</s>
MaleTerms	Math	équations	mari aime <mask>	4.116450709621647	<s> mari aime le</s>
MaleTerms	Math	calcul	mari aime <mask>	0.7210525581394309	<s> mari aime le</s>
MaleTerms	Math	Nombres	mari aime <mask>	-2.334661990302643	<s> mari aime le</s>
MaleTerms	Math	ajout	mari aime <mask>	0.4213557017972021	<s> mari aime le</s>
MaleTerms	Arts	poésie	mari aime <mask>	-1.2761741895599417	<s> mari aime le</s>
MaleTerms	Arts	art	mari aime <mask>	0.886330058627257	<s> mari aime le</s>
MaleTerms	Arts	danse	mari aime <mask>	4.752898630817397	<s> mari aime le</s>
MaleTerms	Arts	littérature	mari aime <mask>	-0.7630059418044108	<s> mari aime le</s>
MaleTerms	Arts	roman	mari aime <mask>	-0.073409600495957	<s> mari aime le</s>
MaleTerms	Arts	symphonie	mari aime <mask>	0.4340842943464818	<s> mari aime le</s>
MaleTerms	Arts	drame	mari aime <mask>	1.5620340276611806	<s> mari aime le</s>
MaleTerms	Arts	sculpture	mari aime <mask>	0.2456496347674076	<s> mari aime le</s>
MaleTerms	Math	mathématiques	fils aime <mask>	0.2571301615570737	<s> fils aime les</s>
MaleTerms	Math	algèbre	fils aime <mask>	2.467302759950965	<s> fils aime les</s>
MaleTerms	Math	géométrie	fils aime <mask>	-1.5978331904789993	<s> fils aime les</s>
MaleTerms	Math	calcul	fils aime <mask>	0.6554951994190948	<s> fils aime les</s>
MaleTerms	Math	équations	fils aime <mask>	4.162252986945758	<s> fils aime les</s>
MaleTerms	Math	calcul	fils aime <mask>	0.6554951994190948	<s> fils aime les</s>
MaleTerms	Math	Nombres	fils aime <mask>	-1.4886994677101675	<s> fils aime les</s>
MaleTerms	Math	ajout	fils aime <mask>	0.8413253841811119	<s> fils aime les</s>
MaleTerms	Arts	poésie	fils aime <mask>	-0.9452710375564176	<s> fils aime les</s>
MaleTerms	Arts	art	fils aime <mask>	1.0467123275333052	<s> fils aime les</s>
MaleTerms	Arts	danse	fils aime <mask>	4.13493011692923	<s> fils aime les</s>
MaleTerms	Arts	littérature	fils aime <mask>	-0.8090472723163494	<s> fils aime les</s>
MaleTerms	Arts	roman	fils aime <mask>	-0.18277971167201348	<s> fils aime les</s>
MaleTerms	Arts	symphonie	fils aime <mask>	0.4516768087623258	<s> fils aime les</s>
MaleTerms	Arts	drame	fils aime <mask>	1.2984918213598677	<s> fils aime les</s>
MaleTerms	Arts	sculpture	fils aime <mask>	0.2792229764169063	<s> fils aime les</s>
MaleTerms	Math	mathématiques	oncle aime <mask>	-0.7243051834091713	<s> oncle aime les</s>
MaleTerms	Math	algèbre	oncle aime <mask>	2.3805984321446205	<s> oncle aime les</s>
MaleTerms	Math	géométrie	oncle aime <mask>	-1.8588476627093633	<s> oncle aime les</s>
MaleTerms	Math	calcul	oncle aime <mask>	0.010892825528603453	<s> oncle aime les</s>
MaleTerms	Math	équations	oncle aime <mask>	4.7331104132249395	<s> oncle aime les</s>
MaleTerms	Math	calcul	oncle aime <mask>	0.010892825528603453	<s> oncle aime les</s>
MaleTerms	Math	Nombres	oncle aime <mask>	-2.6333810143178207	<s> oncle aime les</s>
MaleTerms	Math	ajout	oncle aime <mask>	0.7422790196394231	<s> oncle aime les</s>
MaleTerms	Arts	poésie	oncle aime <mask>	-0.8085080379543407	<s> oncle aime les</s>
MaleTerms	Arts	art	oncle aime <mask>	0.6405886745515553	<s> oncle aime les</s>
MaleTerms	Arts	danse	oncle aime <mask>	4.6042060392974244	<s> oncle aime les</s>
MaleTerms	Arts	littérature	oncle aime <mask>	-0.763785549158309	<s> oncle aime les</s>
MaleTerms	Arts	roman	oncle aime <mask>	-0.18564127920385873	<s> oncle aime les</s>
MaleTerms	Arts	symphonie	oncle aime <mask>	0.7740620701693101	<s> oncle aime les</s>
MaleTerms	Arts	drame	oncle aime <mask>	1.7231510229815719	<s> oncle aime les</s>
MaleTerms	Arts	sculpture	oncle aime <mask>	0.7534312094640303	<s> oncle aime les</s>
MaleTerms	Math	mathématiques	homme aime <mask>	0.9470052449573007	<s> homme aime les</s>
MaleTerms	Math	algèbre	homme aime <mask>	3.0629162433204975	<s> homme aime les</s>
MaleTerms	Math	géométrie	homme aime <mask>	-0.9193973570105878	<s> homme aime les</s>
MaleTerms	Math	calcul	homme aime <mask>	1.935793775998314	<s> homme aime les</s>
