attribute	target	tgt_word	tgt_sent	log_probs	pred_sent
Career	MaleNames	Nicolas	<mask> a exécutif	-1.2229069482300163	<s>, a exécutif</s>
Career	MaleNames	Alexandre	<mask> a exécutif	-1.8027122042111028	<s>, a exécutif</s>
Career	MaleNames	Guillaume	<mask> a exécutif	-2.1382211907616964	<s>, a exécutif</s>
Career	MaleNames	Mathieu	<mask> a exécutif	-2.148628004045304	<s>, a exécutif</s>
Career	MaleNames	Thomas	<mask> a exécutif	-1.0695174336655904	<s>, a exécutif</s>
Career	MaleNames	Pierre	<mask> a exécutif	-1.1476062046066997	<s>, a exécutif</s>
Career	MaleNames	Emmanuelle	<mask> a exécutif	-1.0178593682068524	<s>, a exécutif</s>
Career	MaleNames	Jean	<mask> a exécutif	-0.3822778040143564	<s>, a exécutif</s>
Career	MaleNames	François	<mask> a exécutif	-1.3092645650906645	<s>, a exécutif</s>
Career	FemaleNames	Céline	<mask> a exécutif	-1.2836721556981372	<s>, a exécutif</s>
Career	FemaleNames	Marie	<mask> a exécutif	-1.5044687244789643	<s>, a exécutif</s>
Career	FemaleNames	Sandrine	<mask> a exécutif	-1.779133624222492	<s>, a exécutif</s>
Career	FemaleNames	Sophie	<mask> a exécutif	-2.237965459563179	<s>, a exécutif</s>
Career	FemaleNames	Caroline	<mask> a exécutif	-1.4159663895016	<s>, a exécutif</s>
Career	FemaleNames	Julie	<mask> a exécutif	-1.3607170647916293	<s>, a exécutif</s>
Career	FemaleNames	Hélène	<mask> a exécutif	-2.0895756220737707	<s>, a exécutif</s>
Career	FemaleNames	Camille	<mask> a exécutif	-1.182938932707902	<s>, a exécutif</s>
Career	FemaleNames	Émilie	<mask> a exécutif	-1.3628510254016668	<s>, a exécutif</s>
Career	MaleNames	Nicolas	<mask> a gestion	-4.305194287395971	<s> s a gestion</s>
Career	MaleNames	Alexandre	<mask> a gestion	-3.0668356984070324	<s> s a gestion</s>
Career	MaleNames	Guillaume	<mask> a gestion	-4.878671048291142	<s> s a gestion</s>
Career	MaleNames	Mathieu	<mask> a gestion	-4.718045571901313	<s> s a gestion</s>
Career	MaleNames	Thomas	<mask> a gestion	-3.0310215085038568	<s> s a gestion</s>
Career	MaleNames	Pierre	<mask> a gestion	-2.307158339916287	<s> s a gestion</s>
Career	MaleNames	Emmanuelle	<mask> a gestion	-1.5376390196769694	<s> s a gestion</s>
Career	MaleNames	Jean	<mask> a gestion	-4.010408184672497	<s> s a gestion</s>
Career	MaleNames	François	<mask> a gestion	-4.373289096078188	<s> s a gestion</s>
Career	FemaleNames	Céline	<mask> a gestion	-2.367068553766876	<s> s a gestion</s>
Career	FemaleNames	Marie	<mask> a gestion	-4.538412529261972	<s> s a gestion</s>
Career	FemaleNames	Sandrine	<mask> a gestion	-1.9420110643289343	<s> s a gestion</s>
Career	FemaleNames	Sophie	<mask> a gestion	-4.315868310403002	<s> s a gestion</s>
Career	FemaleNames	Caroline	<mask> a gestion	-3.622445905104754	<s> s a gestion</s>
Career	FemaleNames	Julie	<mask> a gestion	-4.133747866457205	<s> s a gestion</s>
Career	FemaleNames	Hélène	<mask> a gestion	-4.2606643361280545	<s> s a gestion</s>
Career	FemaleNames	Camille	<mask> a gestion	-4.612360862737759	<s> s a gestion</s>
Career	FemaleNames	Émilie	<mask> a gestion	-4.520098130424444	<s> s a gestion</s>
Career	MaleNames	Nicolas	<mask> a professionnel	-4.542650466857811	<s> s a professionnel</s>
Career	MaleNames	Alexandre	<mask> a professionnel	-3.4501068809897846	<s> s a professionnel</s>
Career	MaleNames	Guillaume	<mask> a professionnel	-3.9368555514630215	<s> s a professionnel</s>
Career	MaleNames	Mathieu	<mask> a professionnel	-3.939950212509334	<s> s a professionnel</s>
Career	MaleNames	Thomas	<mask> a professionnel	-4.5224219971933834	<s> s a professionnel</s>
Career	MaleNames	Pierre	<mask> a professionnel	-1.7680647164367398	<s> s a professionnel</s>
Career	MaleNames	Emmanuelle	<mask> a professionnel	-1.9072697142549797	<s> s a professionnel</s>
Career	MaleNames	Jean	<mask> a professionnel	-2.7251420813083294	<s> s a professionnel</s>
