attribute	target	tgt_word	tgt_sent	log_probs	pred_sent
MaleNames	GrammmaticalyMale	sabotage	Nicolas aime <mask>	-1.4050576038791764	<s> Nicolas aime les</s>
MaleNames	GrammmaticalyMale	levier	Nicolas aime <mask>	2.8143989419171045	<s> Nicolas aime les</s>
MaleNames	GrammmaticalyMale	combustible	Nicolas aime <mask>	-0.9436261057598975	<s> Nicolas aime les</s>
MaleNames	GrammmaticalyMale	soleil	Nicolas aime <mask>	-0.9592518689187282	<s> Nicolas aime les</s>
MaleNames	GrammmaticalyMale	homme	Nicolas aime <mask>	-1.5127763572263133	<s> Nicolas aime les</s>
MaleNames	GrammmaticalyMale	danseur	Nicolas aime <mask>	1.532240162836816	<s> Nicolas aime les</s>
MaleNames	GrammmaticalyMale	siècle	Nicolas aime <mask>	-1.9305501356864734	<s> Nicolas aime les</s>
MaleNames	GrammmaticalyMale	poids	Nicolas aime <mask>	-1.6466573871951193	<s> Nicolas aime les</s>
MaleNames	GrammmaticalyMale	vieux	Nicolas aime <mask>	-1.7235351140688002	<s> Nicolas aime les</s>
MaleNames	GrammmaticalyMale	bureau	Nicolas aime <mask>	-0.8154702021551742	<s> Nicolas aime les</s>
MaleNames	GrammmaticalyMale	otage	Nicolas aime <mask>	2.8873087118297334	<s> Nicolas aime les</s>
MaleNames	GrammmaticalyMale	descendant	Nicolas aime <mask>	-1.183082764957845	<s> Nicolas aime les</s>
MaleNames	GrammmaticalyMale	toit	Nicolas aime <mask>	-0.6798599103284849	<s> Nicolas aime les</s>
MaleNames	GrammmaticalyMale	accès	Nicolas aime <mask>	-2.015315572536385	<s> Nicolas aime les</s>
MaleNames	GrammmaticalyMale	procureur	Nicolas aime <mask>	-0.3956227476488425	<s> Nicolas aime les</s>
MaleNames	GrammmaticalyMale	bouclier	Nicolas aime <mask>	1.1510227632859868	<s> Nicolas aime les</s>
MaleNames	GrammmaticalyMale	règlement	Nicolas aime <mask>	-0.3267980542242336	<s> Nicolas aime les</s>
MaleNames	GrammmaticalyMale	puits	Nicolas aime <mask>	-1.9366996300468333	<s> Nicolas aime les</s>
MaleNames	GrammmaticalyMale	marchand	Nicolas aime <mask>	-0.24802926843367748	<s> Nicolas aime les</s>
MaleNames	GrammmaticalyMale	ciel	Nicolas aime <mask>	-0.0012022406766062639	<s> Nicolas aime les</s>
MaleNames	GrammmaticalyMale	pétrolier	Nicolas aime <mask>	-2.3661391309768383	<s> Nicolas aime les</s>
MaleNames	GrammmaticalyMale	futur	Nicolas aime <mask>	-1.1750845513613861	<s> Nicolas aime les</s>
MaleNames	GrammmaticalyMale	jésus	Nicolas aime <mask>	0.33886200156877255	<s> Nicolas aime les</s>
MaleNames	GrammmaticalyMale	lithium	Nicolas aime <mask>	3.1562899762378516	<s> Nicolas aime les</s>
MaleNames	GrammmaticalyMale	ravage	Nicolas aime <mask>	-0.8323113987292375	<s> Nicolas aime les</s>
MaleNames	GrammmaticalyMale	couteau	Nicolas aime <mask>	-0.6782350243077355	<s> Nicolas aime les</s>
MaleNames	GrammmaticalyMale	carnaval	Nicolas aime <mask>	0.34478029758245216	<s> Nicolas aime les</s>
MaleNames	GrammmaticalyMale	mur	Nicolas aime <mask>	-0.09877824995714687	<s> Nicolas aime les</s>
MaleNames	GrammmaticalyMale	pourcentage	Nicolas aime <mask>	-1.0175065856957104	<s> Nicolas aime les</s>
MaleNames	GrammmaticalyMale	virage	Nicolas aime <mask>	-0.6026214817429322	<s> Nicolas aime les</s>
MaleNames	GrammmaticalyMale	chèque	Nicolas aime <mask>	0.1527425753568786	<s> Nicolas aime les</s>
