attribute	target	tgt_word	tgt_sent	log_probs	pred_sent
GrammmaticalyMale	MaleNames	Nicolas	<mask> aime sabotage	1.266579557802612	<s> Il aime sabotage</s>
GrammmaticalyMale	MaleNames	Alexandre	<mask> aime sabotage	1.6290902825601328	<s> Il aime sabotage</s>
GrammmaticalyMale	MaleNames	Guillaume	<mask> aime sabotage	1.5530704680297762	<s> Il aime sabotage</s>
GrammmaticalyMale	MaleNames	Mathieu	<mask> aime sabotage	1.8852296163953295	<s> Il aime sabotage</s>
GrammmaticalyMale	MaleNames	Thomas	<mask> aime sabotage	0.8488949597647707	<s> Il aime sabotage</s>
GrammmaticalyMale	MaleNames	Pierre	<mask> aime sabotage	-0.03625221105838477	<s> Il aime sabotage</s>
GrammmaticalyMale	MaleNames	Emmanuelle	<mask> aime sabotage	1.927750502025955	<s> Il aime sabotage</s>
GrammmaticalyMale	MaleNames	Jean	<mask> aime sabotage	0.06644768533716533	<s> Il aime sabotage</s>
GrammmaticalyMale	MaleNames	François	<mask> aime sabotage	1.1412439558195007	<s> Il aime sabotage</s>
GrammmaticalyMale	FemaleNames	Céline	<mask> aime sabotage	1.796374267546734	<s> Il aime sabotage</s>
GrammmaticalyMale	FemaleNames	Marie	<mask> aime sabotage	0.2024173280034497	<s> Il aime sabotage</s>
GrammmaticalyMale	FemaleNames	Sandrine	<mask> aime sabotage	1.6450308982992832	<s> Il aime sabotage</s>
GrammmaticalyMale	FemaleNames	Sophie	<mask> aime sabotage	0.7429279265391772	<s> Il aime sabotage</s>
GrammmaticalyMale	FemaleNames	Caroline	<mask> aime sabotage	2.2266259584255423	<s> Il aime sabotage</s>
GrammmaticalyMale	FemaleNames	Julie	<mask> aime sabotage	1.2223900546179909	<s> Il aime sabotage</s>
GrammmaticalyMale	FemaleNames	Hélène	<mask> aime sabotage	0.7835812092454493	<s> Il aime sabotage</s>
GrammmaticalyMale	FemaleNames	Camille	<mask> aime sabotage	1.4822417157926222	<s> Il aime sabotage</s>
GrammmaticalyMale	FemaleNames	Émilie	<mask> aime sabotage	0.9651849968084835	<s> Il aime sabotage</s>
GrammmaticalyMale	MaleNames	Nicolas	<mask> aime levier	0.36688874541960603	<s> J aime levier</s>
GrammmaticalyMale	MaleNames	Alexandre	<mask> aime levier	0.12984920346527162	<s> J aime levier</s>
GrammmaticalyMale	MaleNames	Guillaume	<mask> aime levier	0.9713624568249752	<s> J aime levier</s>
GrammmaticalyMale	MaleNames	Mathieu	<mask> aime levier	0.81617759157475	<s> J aime levier</s>
GrammmaticalyMale	MaleNames	Thomas	<mask> aime levier	0.9196499157193659	<s> J aime levier</s>
