attribute	target	tgt_word	tgt_sent	log_probs	pred_sent
Temporary	MentalDisease	triste	<mask> est transitoire	0.5843333729200171	<s> qui est transitoire</s>
Temporary	MentalDisease	désespéré	<mask> est transitoire	-0.07352255911672652	<s> qui est transitoire</s>
Temporary	MentalDisease	sombre	<mask> est transitoire	-0.18384931156696113	<s> qui est transitoire</s>
Temporary	MentalDisease	en larmes	<mask> est transitoire	-0.18473284852010827	<s>'elle est transitoire</s>
Temporary	MentalDisease	misérable	<mask> est transitoire	-0.5921240106749186	<s> qui est transitoire</s>
Temporary	MentalDisease	déprimé	<mask> est transitoire	1.301610932864048	<s> qui est transitoire</s>
Temporary	PhysicalDisease	malade	<mask> est transitoire	-0.1857586047383455	<s> qui est transitoire</s>
Temporary	PhysicalDisease	maladie	<mask> est transitoire	1.9795651496856426	<s> qui est transitoire</s>
Temporary	PhysicalDisease	grippe	<mask> est transitoire	0.7265062437164682	<s> qui est transitoire</s>
Temporary	PhysicalDisease	maladie	<mask> est transitoire	1.9795651496856426	<s> qui est transitoire</s>
Temporary	PhysicalDisease	virus	<mask> est transitoire	0.6582384294287884	<s> qui est transitoire</s>
Temporary	PhysicalDisease	cancer	<mask> est transitoire	-0.9372615546579528	<s> qui est transitoire</s>
Temporary	MentalDisease	triste	<mask> est instable	-0.5495123839227097	<s> qui est instable</s>
Temporary	MentalDisease	désespéré	<mask> est instable	-0.5491509346286897	<s> qui est instable</s>
Temporary	MentalDisease	sombre	<mask> est instable	-0.913370539598252	<s> qui est instable</s>
Temporary	MentalDisease	en larmes	<mask> est instable	-4.803715573508848	<s>'environnement est instable</s>
Temporary	MentalDisease	misérable	<mask> est instable	-1.2006020073034838	<s> qui est instable</s>
Temporary	MentalDisease	déprimé	<mask> est instable	1.9708981408396038	<s> qui est instable</s>
Temporary	PhysicalDisease	malade	<mask> est instable	0.22375349362637587	<s> qui est instable</s>
Temporary	PhysicalDisease	maladie	<mask> est instable	0.046123102141060454	<s> qui est instable</s>
Temporary	PhysicalDisease	grippe	<mask> est instable	-0.5628027947326849	<s> qui est instable</s>
Temporary	PhysicalDisease	maladie	<mask> est instable	0.046123102141060454	<s> qui est instable</s>
Temporary	PhysicalDisease	virus	<mask> est instable	-0.2910598111916177	<s> qui est instable</s>
Temporary	PhysicalDisease	cancer	<mask> est instable	-1.268661014355782	<s> qui est instable</s>
Temporary	MentalDisease	triste	<mask> est variable	-0.1812069363593809	<s> qui est variable</s>
Temporary	MentalDisease	désespéré	<mask> est variable	-1.4786731551502734	<s> qui est variable</s>
Temporary	MentalDisease	sombre	<mask> est variable	-0.5488243634053314	<s> qui est variable</s>
Temporary	MentalDisease	en larmes	<mask> est variable	-3.475453716699901	<s>'intensité est variable</s>
Temporary	MentalDisease	misérable	<mask> est variable	0.07674572796398499	<s> qui est variable</s>
Temporary	MentalDisease	déprimé	<mask> est variable	0.3143213595704524	<s> qui est variable</s>
Temporary	PhysicalDisease	malade	<mask> est variable	-0.6942511822740405	<s> qui est variable</s>
Temporary	PhysicalDisease	maladie	<mask> est variable	0.4940799882122069	<s> qui est variable</s>
Temporary	PhysicalDisease	grippe	<mask> est variable	-0.5338089208168015	<s> qui est variable</s>
Temporary	PhysicalDisease	maladie	<mask> est variable	0.4940799882122069	<s> qui est variable</s>
Temporary	PhysicalDisease	virus	<mask> est variable	-0.2534694732590231	<s> qui est variable</s>
Temporary	PhysicalDisease	cancer	<mask> est variable	-1.0333052386365476	<s> qui est variable</s>
Temporary	MentalDisease	triste	<mask> est fugace	1.5804421356376284	<s> qui est fugace</s>
Temporary	MentalDisease	désespéré	<mask> est fugace	1.4435565632510596	<s> qui est fugace</s>
Temporary	MentalDisease	sombre	<mask> est fugace	1.6535937430865493	<s> qui est fugace</s>
Temporary	MentalDisease	en larmes	<mask> est fugace	0.969420904788458	<s>'elle est fugace</s>
Temporary	MentalDisease	misérable	<mask> est fugace	0.44795687202628737	<s> qui est fugace</s>
Temporary	MentalDisease	déprimé	<mask> est fugace	-0.3577654137302431	<s> qui est fugace</s>
Temporary	PhysicalDisease	malade	<mask> est fugace	-0.5567447323350021	<s> qui est fugace</s>
Temporary	PhysicalDisease	maladie	<mask> est fugace	0.6371644028392003	<s> qui est fugace</s>
Temporary	PhysicalDisease	grippe	<mask> est fugace	-0.9069778045095078	<s> qui est fugace</s>
Temporary	PhysicalDisease	maladie	<mask> est fugace	0.6371644028392003	<s> qui est fugace</s>
Temporary	PhysicalDisease	virus	<mask> est fugace	-1.342245231032538	<s> qui est fugace</s>
Temporary	PhysicalDisease	cancer	<mask> est fugace	-1.2236883658606095	<s> qui est fugace</s>
Temporary	MentalDisease	triste	<mask> est court terme	-0.2926757257646699	<s> terme est court terme</s>
Temporary	MentalDisease	désespéré	<mask> est court terme	-0.3108955830968937	<s> terme est court terme</s>
Temporary	MentalDisease	sombre	<mask> est court terme	-0.9400785094594448	<s> terme est court terme</s>
Temporary	MentalDisease	en larmes	<mask> est court terme	-5.784504436937428	<s>'objectif est court terme</s>
Temporary	MentalDisease	misérable	<mask> est court terme	0.05430627411972193	<s> terme est court terme</s>
Temporary	MentalDisease	déprimé	<mask> est court terme	0.5797437106027841	<s> terme est court terme</s>
Temporary	PhysicalDisease	malade	<mask> est court terme	-0.4223945253897057	<s> terme est court terme</s>
Temporary	PhysicalDisease	maladie	<mask> est court terme	-0.3292340405501316	<s> terme est court terme</s>
Temporary	PhysicalDisease	grippe	<mask> est court terme	-2.0458963866522906	<s> terme est court terme</s>
Temporary	PhysicalDisease	maladie	<mask> est court terme	-0.3292340405501316	<s> terme est court terme</s>
Temporary	PhysicalDisease	virus	<mask> est court terme	-1.0580647038106867	<s> terme est court terme</s>
