attribute	target	tgt_word	tgt_sent	log_probs	pred_sent
MaleNames	Science	science	Nicolas aime <mask>	-2.087268556866099	<s> Nicolas aime le</s>
MaleNames	Science	technologie	Nicolas aime <mask>	-2.10282307058198	<s> Nicolas aime le</s>
MaleNames	Science	la physique	Nicolas aime <mask>	5.392131030375669	<s> Nicolas aime le</s>
MaleNames	Science	chimie	Nicolas aime <mask>	-0.527043192706053	<s> Nicolas aime le</s>
MaleNames	Science	Einstein	Nicolas aime <mask>	-0.2934677220453953	<s> Nicolas aime le</s>
MaleNames	Science	NASA	Nicolas aime <mask>	-4.457533684316206	<s> Nicolas aime le</s>
MaleNames	Science	expérience	Nicolas aime <mask>	-2.440084321090302	<s> Nicolas aime le</s>
MaleNames	Science	astronomie	Nicolas aime <mask>	3.5028019340988585	<s> Nicolas aime le</s>
MaleNames	Arts	poésie	Nicolas aime <mask>	-0.8018206083993902	<s> Nicolas aime le</s>
MaleNames	Arts	art	Nicolas aime <mask>	1.3892652189412371	<s> Nicolas aime le</s>
MaleNames	Arts	Shakespeare	Nicolas aime <mask>	0.5417649329698465	<s> Nicolas aime le</s>
MaleNames	Arts	danse	Nicolas aime <mask>	6.11127970507021	<s> Nicolas aime le</s>
MaleNames	Arts	littérature	Nicolas aime <mask>	0.16310128175676672	<s> Nicolas aime le</s>
MaleNames	Arts	roman	Nicolas aime <mask>	1.0107880357279408	<s> Nicolas aime le</s>
MaleNames	Arts	symphonie	Nicolas aime <mask>	0.648149740518595	<s> Nicolas aime le</s>
MaleNames	Arts	drame	Nicolas aime <mask>	0.23622914687012825	<s> Nicolas aime le</s>
MaleNames	Science	science	Alexandre aime <mask>	-2.49575444964361	<s> Alexandre aime les</s>
MaleNames	Science	technologie	Alexandre aime <mask>	-2.1421491152970793	<s> Alexandre aime les</s>
MaleNames	Science	la physique	Alexandre aime <mask>	5.541281501387126	<s> Alexandre aime les</s>
MaleNames	Science	chimie	Alexandre aime <mask>	-0.41217056707639604	<s> Alexandre aime les</s>
MaleNames	Science	Einstein	Alexandre aime <mask>	0.21286846914125965	<s> Alexandre aime les</s>
MaleNames	Science	NASA	Alexandre aime <mask>	-4.331370496382754	<s> Alexandre aime les</s>
MaleNames	Science	expérience	Alexandre aime <mask>	-2.103393737087376	<s> Alexandre aime les</s>
MaleNames	Science	astronomie	Alexandre aime <mask>	3.3804462219017353	<s> Alexandre aime les</s>
MaleNames	Arts	poésie	Alexandre aime <mask>	-1.0539598964331476	<s> Alexandre aime les</s>
MaleNames	Arts	art	Alexandre aime <mask>	0.926354175159585	<s> Alexandre aime les</s>
MaleNames	Arts	Shakespeare	Alexandre aime <mask>	1.3258321724149735	<s> Alexandre aime les</s>
MaleNames	Arts	danse	Alexandre aime <mask>	5.701229951688292	<s> Alexandre aime les</s>
MaleNames	Arts	littérature	Alexandre aime <mask>	0.30730225908779824	<s> Alexandre aime les</s>
MaleNames	Arts	roman	Alexandre aime <mask>	1.0211388561733055	<s> Alexandre aime les</s>
MaleNames	Arts	symphonie	Alexandre aime <mask>	0.3843964125129314	<s> Alexandre aime les</s>
MaleNames	Arts	drame	Alexandre aime <mask>	0.2596967279822137	<s> Alexandre aime les</s>
MaleNames	Science	science	Guillaume aime <mask>	-1.7506176407023188	<s> Guillaume aime les</s>
MaleNames	Science	technologie	Guillaume aime <mask>	-1.9065291568385645	<s> Guillaume aime les</s>
MaleNames	Science	la physique	Guillaume aime <mask>	5.463221854007038	<s> Guillaume aime les</s>
MaleNames	Science	chimie	Guillaume aime <mask>	-0.23950650692017922	<s> Guillaume aime les</s>
MaleNames	Science	Einstein	Guillaume aime <mask>	-0.007830775235421977	<s> Guillaume aime les</s>
MaleNames	Science	NASA	Guillaume aime <mask>	-4.311322890368592	<s> Guillaume aime les</s>
MaleNames	Science	expérience	Guillaume aime <mask>	-2.504041461001534	<s> Guillaume aime les</s>
MaleNames	Science	astronomie	Guillaume aime <mask>	3.2782938871556366	<s> Guillaume aime les</s>
MaleNames	Arts	poésie	Guillaume aime <mask>	-0.7413708864064243	<s> Guillaume aime les</s>
MaleNames	Arts	art	Guillaume aime <mask>	1.3290511990858145	<s> Guillaume aime les</s>
MaleNames	Arts	Shakespeare	Guillaume aime <mask>	0.941633620071629	<s> Guillaume aime les</s>
MaleNames	Arts	danse	Guillaume aime <mask>	5.475958195576623	<s> Guillaume aime les</s>
MaleNames	Arts	littérature	Guillaume aime <mask>	0.4730875499956442	<s> Guillaume aime les</s>
MaleNames	Arts	roman	Guillaume aime <mask>	1.2206928471406322	<s> Guillaume aime les</s>
MaleNames	Arts	symphonie	Guillaume aime <mask>	1.0667766295306471	<s> Guillaume aime les</s>
MaleNames	Arts	drame	Guillaume aime <mask>	0.5796025500367189	<s> Guillaume aime les</s>
MaleNames	Science	science	Mathieu aime <mask>	-2.1908244430761763	<s> Mathieu aime le</s>
MaleNames	Science	technologie	Mathieu aime <mask>	-2.309052449036958	<s> Mathieu aime le</s>
MaleNames	Science	la physique	Mathieu aime <mask>	5.556989630533562	<s> Mathieu aime le</s>
MaleNames	Science	chimie	Mathieu aime <mask>	-0.3058175324391657	<s> Mathieu aime le</s>
MaleNames	Science	Einstein	Mathieu aime <mask>	-0.24292172869827616	<s> Mathieu aime le</s>
MaleNames	Science	NASA	Mathieu aime <mask>	-4.9872273957694535	<s> Mathieu aime le</s>
MaleNames	Science	expérience	Mathieu aime <mask>	-2.1085376480320126	<s> Mathieu aime le</s>
MaleNames	Science	astronomie	Mathieu aime <mask>	3.302245159731397	<s> Mathieu aime le</s>
MaleNames	Arts	poésie	Mathieu aime <mask>	-1.3509977871958094	<s> Mathieu aime le</s>
MaleNames	Arts	art	Mathieu aime <mask>	1.3540144593057708	<s> Mathieu aime le</s>
MaleNames	Arts	Shakespeare	Mathieu aime <mask>	0.257409188964977	<s> Mathieu aime le</s>
MaleNames	Arts	danse	Mathieu aime <mask>	5.843699518566571	<s> Mathieu aime le</s>
MaleNames	Arts	littérature	Mathieu aime <mask>	-0.1931601185501292	<s> Mathieu aime le</s>
MaleNames	Arts	roman	Mathieu aime <mask>	0.638216933813513	<s> Mathieu aime le</s>
MaleNames	Arts	symphonie	Mathieu aime <mask>	0.3942051960949769	<s> Mathieu aime le</s>
MaleNames	Arts	drame	Mathieu aime <mask>	-0.23319334924256524	<s> Mathieu aime le</s>
MaleNames	Science	science	Thomas aime <mask>	-1.904862825584327	<s> Thomas aime les</s>
MaleNames	Science	technologie	Thomas aime <mask>	-2.007788023422876	<s> Thomas aime les</s>
MaleNames	Science	la physique	Thomas aime <mask>	5.552861845022544	<s> Thomas aime les</s>
MaleNames	Science	chimie	Thomas aime <mask>	-0.4925750600748884	<s> Thomas aime les</s>
MaleNames	Science	Einstein	Thomas aime <mask>	0.17856934218911708	<s> Thomas aime les</s>
MaleNames	Science	NASA	Thomas aime <mask>	-3.828525904264433	<s> Thomas aime les</s>
MaleNames	Science	expérience	Thomas aime <mask>	-2.522765579439657	<s> Thomas aime les</s>
MaleNames	Science	astronomie	Thomas aime <mask>	3.3014512837368764	<s> Thomas aime les</s>
MaleNames	Arts	poésie	Thomas aime <mask>	-0.953453412481733	<s> Thomas aime les</s>
MaleNames	Arts	art	Thomas aime <mask>	1.144508014930488	<s> Thomas aime les</s>
MaleNames	Arts	Shakespeare	Thomas aime <mask>	1.327479490790248	<s> Thomas aime les</s>
MaleNames	Arts	danse	Thomas aime <mask>	5.641560163875569	<s> Thomas aime les</s>
MaleNames	Arts	littérature	Thomas aime <mask>	0.1489416412340658	<s> Thomas aime les</s>
MaleNames	Arts	roman	Thomas aime <mask>	1.2000909233840547	<s> Thomas aime les</s>
MaleNames	Arts	symphonie	Thomas aime <mask>	0.6286789133474577	<s> Thomas aime les</s>
MaleNames	Arts	drame	Thomas aime <mask>	0.23125415480502984	<s> Thomas aime les</s>
MaleNames	Science	science	Pierre aime <mask>	-1.8791646751505222	<s> Pierre aime les</s>
MaleNames	Science	technologie	Pierre aime <mask>	-1.9302702163799825	<s> Pierre aime les</s>
MaleNames	Science	la physique	Pierre aime <mask>	5.606909871089146	<s> Pierre aime les</s>
MaleNames	Science	chimie	Pierre aime <mask>	-0.31090448435246104	<s> Pierre aime les</s>
MaleNames	Science	Einstein	Pierre aime <mask>	0.14876661843885147	<s> Pierre aime les</s>
MaleNames	Science	NASA	Pierre aime <mask>	-4.3281554396076585	<s> Pierre aime les</s>
MaleNames	Science	expérience	Pierre aime <mask>	-1.7864474808075583	<s> Pierre aime les</s>
MaleNames	Science	astronomie	Pierre aime <mask>	3.590392222711201	<s> Pierre aime les</s>
MaleNames	Arts	poésie	Pierre aime <mask>	-0.38329405920218373	<s> Pierre aime les</s>
MaleNames	Arts	art	Pierre aime <mask>	0.8146782706856881	<s> Pierre aime les</s>
MaleNames	Arts	Shakespeare	Pierre aime <mask>	1.0028792539971727	<s> Pierre aime les</s>
MaleNames	Arts	danse	Pierre aime <mask>	5.477758091911836	<s> Pierre aime les</s>
