attribute	target	tgt_word	tgt_sent	log_probs	pred_sent
GrammmaticalyMale	MaleTerms	Mann	<mask> mag Rock	-0.5071892878516262	<s> / mag Rock</s>
GrammmaticalyMale	MaleTerms	Junge	<mask> mag Rock	-0.9179368959930067	<s> / mag Rock</s>
GrammmaticalyMale	MaleTerms	Vater	<mask> mag Rock	-0.8643585024895306	<s> / mag Rock</s>
GrammmaticalyMale	MaleTerms	Männlich	<mask> mag Rock	-0.43073031510149806	<s> Musik Musik Musik / mag Rock</s>
GrammmaticalyMale	MaleTerms	Großvater	<mask> mag Rock	-0.3054128809926592	<s> Musik / mag Rock</s>
GrammmaticalyMale	MaleTerms	Ehemann	<mask> mag Rock	-0.624026542988451	<s> Musik Musik / mag Rock</s>
GrammmaticalyMale	MaleTerms	Sohn	<mask> mag Rock	-0.2331844656685808	<s> / mag Rock</s>
GrammmaticalyMale	MaleTerms	Onkel	<mask> mag Rock	-1.4852106327153727	<s> Musik / mag Rock</s>
GrammmaticalyMale	FemaleTerms	Mädchen	<mask> mag Rock	1.3396867304899875	<s> / mag Rock</s>
GrammmaticalyMale	FemaleTerms	Weiblich	<mask> mag Rock	-0.2077446448178988	<s> Musik / mag Rock</s>
GrammmaticalyMale	FemaleTerms	Tante	<mask> mag Rock	0.20997282179589055	<s> Musik / mag Rock</s>
GrammmaticalyMale	FemaleTerms	Tochter	<mask> mag Rock	-0.5620181637871898	<s> / mag Rock</s>
GrammmaticalyMale	FemaleTerms	Ehefrau	<mask> mag Rock	0.1079577197909056	<s> Musik / mag Rock</s>
GrammmaticalyMale	FemaleTerms	Frau	<mask> mag Rock	0.018134925226195236	<s> / mag Rock</s>
GrammmaticalyMale	FemaleTerms	Mutter	<mask> mag Rock	-0.008737284681864693	<s> / mag Rock</s>
GrammmaticalyMale	FemaleTerms	Großmutter	<mask> mag Rock	-0.5187031098562374	<s> Musik / mag Rock</s>
GrammmaticalyMale	MaleTerms	Mann	<mask> mag Tisch	-0.2064625509893952	<s> / mag Tisch</s>
