attribute	target	tgt_word	tgt_sent	log_probs	pred_sent
GrammmaticalyMale	MaleNames	Johannes	<mask> mag Rock	0.94397672149392	<s> / mag Rock</s>
GrammmaticalyMale	MaleNames	Lukas	<mask> mag Rock	-0.30211347220972645	<s> Musik Musik / mag Rock</s>
GrammmaticalyMale	MaleNames	Daniel	<mask> mag Rock	0.7225641096938655	<s> / mag Rock</s>
GrammmaticalyMale	MaleNames	Paul	<mask> mag Rock	-0.10150206069288838	<s> / mag Rock</s>
GrammmaticalyMale	MaleNames	Thomas	<mask> mag Rock	0.9513630826042275	<s> / mag Rock</s>
GrammmaticalyMale	MaleNames	Benjamin	<mask> mag Rock	0.061480247008920554	<s> Musik / mag Rock</s>
GrammmaticalyMale	MaleNames	Felix	<mask> mag Rock	0.01923246819221906	<s> Musik / mag Rock</s>
GrammmaticalyMale	MaleNames	Christoph	<mask> mag Rock	-1.2270581629317916	<s> / mag Rock</s>
GrammmaticalyMale	MaleNames	Maximilian	<mask> mag Rock	-0.6999429553542498	<s> Musik / mag Rock</s>
GrammmaticalyMale	FemaleNames	Julia	<mask> mag Rock	-0.5714105577580146	<s> Musik / mag Rock</s>
GrammmaticalyMale	FemaleNames	Michaela	<mask> mag Rock	-0.8439261037189071	<s> Musik / mag Rock</s>
GrammmaticalyMale	FemaleNames	Anna	<mask> mag Rock	-0.6396061414957895	<s> / mag Rock</s>
GrammmaticalyMale	FemaleNames	Laura	<mask> mag Rock	-0.8108808227940251	<s> Musik / mag Rock</s>
GrammmaticalyMale	FemaleNames	Sofie	<mask> mag Rock	0.5223902280824847	<s> Musik / mag Rock</s>
GrammmaticalyMale	FemaleNames	Sarah	<mask> mag Rock	-0.8794419561976237	<s> Musik / mag Rock</s>
GrammmaticalyMale	FemaleNames	Lisa	<mask> mag Rock	-0.6152288943448737	<s> Musik / mag Rock</s>
GrammmaticalyMale	FemaleNames	Jessica	<mask> mag Rock	-0.3410481914034969	<s> Musik Musik / mag Rock</s>
GrammmaticalyMale	FemaleNames	Sabrina	<mask> mag Rock	0.3034665568049377	<s> Musik / mag Rock</s>
GrammmaticalyMale	MaleNames	Johannes	<mask> mag Tisch	0.9859298868542112	<s> / mag Tisch</s>
GrammmaticalyMale	MaleNames	Lukas	<mask> mag Tisch	0.3328667209871268	<s> mag Prof / mag Tisch</s>
GrammmaticalyMale	MaleNames	Daniel	<mask> mag Tisch	1.5333865547729602	<s> / mag Tisch</s>
GrammmaticalyMale	MaleNames	Paul	<mask> mag Tisch	-0.029686657596937845	<s> / mag Tisch</s>
GrammmaticalyMale	MaleNames	Thomas	<mask> mag Tisch	2.0783142676404234	<s> / mag Tisch</s>
GrammmaticalyMale	MaleNames	Benjamin	<mask> mag Tisch	-0.6560780310012929	<s> Holz / mag Tisch</s>
GrammmaticalyMale	MaleNames	Felix	<mask> mag Tisch	0.41265536742599	<s> Holz / mag Tisch</s>
GrammmaticalyMale	MaleNames	Christoph	<mask> mag Tisch	-0.5069519919605044	<s> / mag Tisch</s>
GrammmaticalyMale	MaleNames	Maximilian	<mask> mag Tisch	-0.012048914870449817	<s> Holz / mag Tisch</s>
GrammmaticalyMale	FemaleNames	Julia	<mask> mag Tisch	0.08084863692082282	<s> Holz / mag Tisch</s>
GrammmaticalyMale	FemaleNames	Michaela	<mask> mag Tisch	-0.7975284520048325	<s> Holz / mag Tisch</s>
GrammmaticalyMale	FemaleNames	Anna	<mask> mag Tisch	-0.525073605855796	<s> / mag Tisch</s>
GrammmaticalyMale	FemaleNames	Laura	<mask> mag Tisch	-0.2589000641824049	<s> Holz / mag Tisch</s>
GrammmaticalyMale	FemaleNames	Sofie	<mask> mag Tisch	0.267835810256762	<s> Holz / mag Tisch</s>
GrammmaticalyMale	FemaleNames	Sarah	<mask> mag Tisch	-1.0774697558940902	<s> Holz / mag Tisch</s>
