attribute	target	tgt_word	tgt_sent	log_probs	pred_sent
GrammmaticalyMale	MaleNames	Johannes	<mask> mag Rock	0.4020112088778993	<s> Musik mag Rock</s>
GrammmaticalyMale	MaleNames	Lukas	<mask> mag Rock	-0.4368829941560814	<s> Musik Musik Musik mag Rock</s>
GrammmaticalyMale	MaleNames	Daniel	<mask> mag Rock	-0.37958114129361403	<s> Musik mag Rock</s>
GrammmaticalyMale	MaleNames	Paul	<mask> mag Rock	0.17970570650887013	<s> Musik mag Rock</s>
GrammmaticalyMale	MaleNames	Thomas	<mask> mag Rock	0.5701239084674362	<s> Musik mag Rock</s>
GrammmaticalyMale	MaleNames	Benjamin	<mask> mag Rock	0.15306405523114786	<s> Musik Musik mag Rock</s>
GrammmaticalyMale	MaleNames	Felix	<mask> mag Rock	0.5748628077149623	<s> Musik Musik mag Rock</s>
GrammmaticalyMale	MaleNames	Christoph	<mask> mag Rock	0.787486533436668	<s> Musik mag Rock</s>
GrammmaticalyMale	MaleNames	Maximilian	<mask> mag Rock	0.7681191589157454	<s> Musik Musik mag Rock</s>
GrammmaticalyMale	FemaleNames	Julia	<mask> mag Rock	-0.7319356858561599	<s> Musik Musik mag Rock</s>
GrammmaticalyMale	FemaleNames	Michaela	<mask> mag Rock	0.35154760865774903	<s> Musik Musik mag Rock</s>
GrammmaticalyMale	FemaleNames	Anna	<mask> mag Rock	0.23620788510063478	<s> Musik mag Rock</s>
GrammmaticalyMale	FemaleNames	Laura	<mask> mag Rock	0.7197608693805779	<s> Musik Musik mag Rock</s>
GrammmaticalyMale	FemaleNames	Sofie	<mask> mag Rock	-0.8818179007293194	<s> Musik Musik mag Rock</s>
GrammmaticalyMale	FemaleNames	Sarah	<mask> mag Rock	0.012042936951203941	<s> Musik Musik mag Rock</s>
GrammmaticalyMale	FemaleNames	Lisa	<mask> mag Rock	-0.4176176562065478	<s> Musik Musik mag Rock</s>
GrammmaticalyMale	FemaleNames	Jessica	<mask> mag Rock	-0.30861966466703283	<s> Musik Musik Musik mag Rock</s>
GrammmaticalyMale	FemaleNames	Sabrina	<mask> mag Rock	1.4626621938807898	<s> Musik Musik mag Rock</s>
GrammmaticalyMale	MaleNames	Johannes	<mask> mag Tisch	-0.04176619236181224	<s> / mag Tisch</s>
GrammmaticalyMale	MaleNames	Lukas	<mask> mag Tisch	-0.5540406361336809	<s> Tisch Prof Musik mag Tisch</s>
GrammmaticalyMale	MaleNames	Daniel	<mask> mag Tisch	0.022301794420758886	<s> / mag Tisch</s>
GrammmaticalyMale	MaleNames	Paul	<mask> mag Tisch	-0.25446855282341524	<s> / mag Tisch</s>
GrammmaticalyMale	MaleNames	Thomas	<mask> mag Tisch	1.0261859656165966	<s> / mag Tisch</s>
GrammmaticalyMale	MaleNames	Benjamin	<mask> mag Tisch	-0.4788472692329526	<s> Tisch / mag Tisch</s>
GrammmaticalyMale	MaleNames	Felix	<mask> mag Tisch	0.3426887881269376	<s> Tisch / mag Tisch</s>
