attribute	target	tgt_word	tgt_sent	log_probs	pred_sent
MaleNames	GrammmaticalyMale	Rock	Johannes mag <mask>		<s>Johannes mag /</s>
MaleNames	GrammmaticalyMale	Tisch	Johannes mag <mask>		<s>Johannes mag /</s>
MaleNames	GrammmaticalyMale	Amtsantritt	Johannes mag <mask>		<s>Johannes mag /</s>
MaleNames	GrammmaticalyMale	Donnerstag	Johannes mag <mask>		<s>Johannes mag /</s>
MaleNames	GrammmaticalyMale	Held	Johannes mag <mask>		<s>Johannes mag /</s>
MaleNames	GrammmaticalyMale	Bundestag	Johannes mag <mask>		<s>Johannes mag /</s>
MaleNames	GrammmaticalyMale	Entwurf	Johannes mag <mask>		<s>Johannes mag /</s>
MaleNames	GrammmaticalyMale	Kopfhörer	Johannes mag <mask>		<s>Johannes mag /</s>
MaleNames	GrammmaticalyMale	Großvater	Johannes mag <mask>		<s>Johannes mag /</s>
MaleNames	GrammmaticalyMale	Aufbruch	Johannes mag <mask>		<s>Johannes mag /</s>
MaleNames	GrammmaticalyMale	Anpfiff	Johannes mag <mask>		<s>Johannes mag /</s>
MaleNames	GrammmaticalyMale	Vormittag	Johannes mag <mask>		<s>Johannes mag /</s>
MaleNames	GrammmaticalyMale	Auslöser	Johannes mag <mask>		<s>Johannes mag /</s>
MaleNames	GrammmaticalyMale	Kauf	Johannes mag <mask>		<s>Johannes mag /</s>
MaleNames	GrammmaticalyMale	Weg	Johannes mag <mask>		<s>Johannes mag /</s>
MaleNames	GrammmaticalyMale	Bleistift	Johannes mag <mask>		<s>Johannes mag /</s>
MaleNames	GrammmaticalyMale	Abgang	Johannes mag <mask>		<s>Johannes mag /</s>
MaleNames	GrammmaticalyMale	Samen	Johannes mag <mask>		<s>Johannes mag /</s>
MaleNames	GrammmaticalyMale	Bildschirm	Johannes mag <mask>		<s>Johannes mag /</s>
MaleNames	GrammmaticalyMale	Nutzen	Johannes mag <mask>		<s>Johannes mag /</s>
MaleNames	GrammmaticalyMale	Wanderer	Johannes mag <mask>		<s>Johannes mag /</s>
MaleNames	GrammmaticalyMale	Bebauungsplan	Johannes mag <mask>		<s>Johannes mag /</s>
MaleNames	GrammmaticalyMale	Autohersteller	Johannes mag <mask>		<s>Johannes mag /</s>
MaleNames	GrammmaticalyMale	Stern	Johannes mag <mask>		<s>Johannes mag /</s>
MaleNames	GrammmaticalyMale	Freiwilliger	Johannes mag <mask>		<s>Johannes mag /</s>
