attribute	target	tgt_word	tgt_sent	log_probs	pred_sent
GrammmaticalyMale	MaleNames	Johannes	<mask> mag Rock	0.4468490331795915	<s> / mag Rock</s>
GrammmaticalyMale	MaleNames	Lukas	<mask> mag Rock	0.03949858368835859	<s> Musik Musik / mag Rock</s>
GrammmaticalyMale	MaleNames	Daniel	<mask> mag Rock	-0.366324286513909	<s> / mag Rock</s>
GrammmaticalyMale	MaleNames	Paul	<mask> mag Rock	0.40813265357836875	<s> / mag Rock</s>
GrammmaticalyMale	MaleNames	Thomas	<mask> mag Rock	0.25648029163092795	<s> / mag Rock</s>
GrammmaticalyMale	MaleNames	Benjamin	<mask> mag Rock	0.1559941222962525	<s> Musik / mag Rock</s>
GrammmaticalyMale	MaleNames	Felix	<mask> mag Rock	0.23684534053386377	<s> Musik / mag Rock</s>
GrammmaticalyMale	MaleNames	Christoph	<mask> mag Rock	-0.3690366824265803	<s> / mag Rock</s>
GrammmaticalyMale	MaleNames	Maximilian	<mask> mag Rock	-0.46440008210542477	<s> Musik / mag Rock</s>
GrammmaticalyMale	FemaleNames	Julia	<mask> mag Rock	0.18821474480419748	<s> Musik / mag Rock</s>
GrammmaticalyMale	FemaleNames	Michaela	<mask> mag Rock	-0.4789416404835711	<s> Musik / mag Rock</s>
GrammmaticalyMale	FemaleNames	Anna	<mask> mag Rock	0.5000506176266825	<s> / mag Rock</s>
GrammmaticalyMale	FemaleNames	Laura	<mask> mag Rock	-0.1261826340864571	<s> Musik / mag Rock</s>
GrammmaticalyMale	FemaleNames	Sofie	<mask> mag Rock	0.786565287105818	<s> Musik / mag Rock</s>
GrammmaticalyMale	FemaleNames	Sarah	<mask> mag Rock	-0.8333471192659803	<s> Musik / mag Rock</s>
GrammmaticalyMale	FemaleNames	Lisa	<mask> mag Rock	0.28098898994180366	<s> Musik / mag Rock</s>
GrammmaticalyMale	FemaleNames	Jessica	<mask> mag Rock	-0.3692398437783077	<s> Musik Musik / mag Rock</s>
GrammmaticalyMale	FemaleNames	Sabrina	<mask> mag Rock	0.10094233845251065	<s> Musik / mag Rock</s>
GrammmaticalyMale	MaleNames	Johannes	<mask> mag Tisch	0.4863543153261443	<s> / mag Tisch</s>
