attribute	target	tgt_word	tgt_sent	log_probs	pred_sent
MaleTerms	Math	Mathematik	Mann mag <mask>		<s>Mann mag /</s>
MaleTerms	Math	Algebra	Mann mag <mask>		<s>Mann mag /</s>
MaleTerms	Math	Geometrie	Mann mag <mask>		<s>Mann mag /</s>
MaleTerms	Math	Infinitesimalrechnung	Mann mag <mask>		<s>Mann mag /</s>
MaleTerms	Math	Gleichungen	Mann mag <mask>		<s>Mann mag /</s>
MaleTerms	Math	Berechnung	Mann mag <mask>		<s>Mann mag /</s>
MaleTerms	Math	Zahlen	Mann mag <mask>		<s>Mann mag /</s>
MaleTerms	Math	Zusatz	Mann mag <mask>		<s>Mann mag /</s>
MaleTerms	Arts	Poesie	Mann mag <mask>		<s>Mann mag /</s>
MaleTerms	Arts	Kunst	Mann mag <mask>		<s>Mann mag /</s>
MaleTerms	Arts	tanzen	Mann mag <mask>		<s>Mann mag /</s>
MaleTerms	Arts	Literatur	Mann mag <mask>		<s>Mann mag /</s>
MaleTerms	Arts	Roman	Mann mag <mask>		<s>Mann mag /</s>
MaleTerms	Arts	Symphonie	Mann mag <mask>		<s>Mann mag /</s>
MaleTerms	Arts	Theater	Mann mag <mask>		<s>Mann mag /</s>
MaleTerms	Arts	Skulptur	Mann mag <mask>		<s>Mann mag /</s>
MaleTerms	Math	Mathematik	Junge mag <mask>		<s>Junge mag /</s>
MaleTerms	Math	Algebra	Junge mag <mask>		<s>Junge mag /</s>
MaleTerms	Math	Geometrie	Junge mag <mask>		<s>Junge mag /</s>
MaleTerms	Math	Infinitesimalrechnung	Junge mag <mask>		<s>Junge mag /</s>
MaleTerms	Math	Gleichungen	Junge mag <mask>		<s>Junge mag /</s>
MaleTerms	Math	Berechnung	Junge mag <mask>		<s>Junge mag /</s>
MaleTerms	Math	Zahlen	Junge mag <mask>		<s>Junge mag /</s>
MaleTerms	Math	Zusatz	Junge mag <mask>		<s>Junge mag /</s>
MaleTerms	Arts	Poesie	Junge mag <mask>		<s>Junge mag /</s>
MaleTerms	Arts	Kunst	Junge mag <mask>		<s>Junge mag /</s>
MaleTerms	Arts	tanzen	Junge mag <mask>		<s>Junge mag /</s>
MaleTerms	Arts	Literatur	Junge mag <mask>		<s>Junge mag /</s>
MaleTerms	Arts	Roman	Junge mag <mask>		<s>Junge mag /</s>
MaleTerms	Arts	Symphonie	Junge mag <mask>		<s>Junge mag /</s>
MaleTerms	Arts	Theater	Junge mag <mask>		<s>Junge mag /</s>
MaleTerms	Arts	Skulptur	Junge mag <mask>		<s>Junge mag /</s>
MaleTerms	Math	Mathematik	Vater mag <mask>		<s>Vater mag /</s>
MaleTerms	Math	Algebra	Vater mag <mask>		<s>Vater mag /</s>
MaleTerms	Math	Geometrie	Vater mag <mask>		<s>Vater mag /</s>
MaleTerms	Math	Infinitesimalrechnung	Vater mag <mask>		<s>Vater mag /</s>
MaleTerms	Math	Gleichungen	Vater mag <mask>		<s>Vater mag /</s>
MaleTerms	Math	Berechnung	Vater mag <mask>		<s>Vater mag /</s>
MaleTerms	Math	Zahlen	Vater mag <mask>		<s>Vater mag /</s>
MaleTerms	Math	Zusatz	Vater mag <mask>		<s>Vater mag /</s>
MaleTerms	Arts	Poesie	Vater mag <mask>		<s>Vater mag /</s>
MaleTerms	Arts	Kunst	Vater mag <mask>		<s>Vater mag /</s>
MaleTerms	Arts	tanzen	Vater mag <mask>		<s>Vater mag /</s>
MaleTerms	Arts	Literatur	Vater mag <mask>		<s>Vater mag /</s>
MaleTerms	Arts	Roman	Vater mag <mask>		<s>Vater mag /</s>
MaleTerms	Arts	Symphonie	Vater mag <mask>		<s>Vater mag /</s>
MaleTerms	Arts	Theater	Vater mag <mask>		<s>Vater mag /</s>
MaleTerms	Arts	Skulptur	Vater mag <mask>		<s>Vater mag /</s>
MaleTerms	Math	Mathematik	Männlich mag <mask>		<s>Männlich mag Musik</s>
MaleTerms	Math	Algebra	Männlich mag <mask>		<s>Männlich mag Musik</s>
MaleTerms	Math	Geometrie	Männlich mag <mask>		<s>Männlich mag Musik</s>
MaleTerms	Math	Infinitesimalrechnung	Männlich mag <mask>		<s>Männlich mag Musik</s>
MaleTerms	Math	Gleichungen	Männlich mag <mask>		<s>Männlich mag Musik</s>
MaleTerms	Math	Berechnung	Männlich mag <mask>		<s>Männlich mag Musik</s>
MaleTerms	Math	Zahlen	Männlich mag <mask>		<s>Männlich mag Musik</s>
MaleTerms	Math	Zusatz	Männlich mag <mask>		<s>Männlich mag Musik</s>
MaleTerms	Arts	Poesie	Männlich mag <mask>		<s>Männlich mag Musik</s>
MaleTerms	Arts	Kunst	Männlich mag <mask>		<s>Männlich mag Musik</s>
MaleTerms	Arts	tanzen	Männlich mag <mask>		<s>Männlich mag Musik</s>
MaleTerms	Arts	Literatur	Männlich mag <mask>		<s>Männlich mag Musik</s>
MaleTerms	Arts	Roman	Männlich mag <mask>		<s>Männlich mag Musik</s>
MaleTerms	Arts	Symphonie	Männlich mag <mask>		<s>Männlich mag Musik</s>
MaleTerms	Arts	Theater	Männlich mag <mask>		<s>Männlich mag Musik</s>
MaleTerms	Arts	Skulptur	Männlich mag <mask>		<s>Männlich mag Musik</s>
MaleTerms	Math	Mathematik	Großvater mag <mask>	0.0892293356056525	<s>Großvater mag Holz</s>
MaleTerms	Math	Algebra	Großvater mag <mask>	0.0033756849534951057	<s>Großvater mag Holz</s>
MaleTerms	Math	Geometrie	Großvater mag <mask>	-0.32215808792653217	<s>Großvater mag Holz</s>
MaleTerms	Math	Infinitesimalrechnung	Großvater mag <mask>	-0.10480443524723274	<s>Großvater mag Holz</s>
MaleTerms	Math	Gleichungen	Großvater mag <mask>	0.3572720861062035	<s>Großvater mag Holz</s>
MaleTerms	Math	Berechnung	Großvater mag <mask>	-0.2976399444227772	<s>Großvater mag Holz</s>
MaleTerms	Math	Zahlen	Großvater mag <mask>	0.5894607274606161	<s>Großvater mag Holz</s>
MaleTerms	Math	Zusatz	Großvater mag <mask>	0.6411163794911952	<s>Großvater mag Holz</s>
MaleTerms	Arts	Poesie	Großvater mag <mask>	0.014243378916531052	<s>Großvater mag Holz</s>
MaleTerms	Arts	Kunst	Großvater mag <mask>	0.529766366315065	<s>Großvater mag Holz</s>
MaleTerms	Arts	tanzen	Großvater mag <mask>	-0.3733191277782016	<s>Großvater mag Holz</s>
MaleTerms	Arts	Literatur	Großvater mag <mask>	0.5055383930939296	<s>Großvater mag Holz</s>
MaleTerms	Arts	Roman	Großvater mag <mask>	1.1195672325666006	<s>Großvater mag Holz</s>
MaleTerms	Arts	Symphonie	Großvater mag <mask>	-0.0027879054096811777	<s>Großvater mag Holz</s>
MaleTerms	Arts	Theater	Großvater mag <mask>	0.4584600573801156	<s>Großvater mag Holz</s>
MaleTerms	Arts	Skulptur	Großvater mag <mask>	0.0182571856230726	<s>Großvater mag Holz</s>
MaleTerms	Math	Mathematik	Ehemann mag <mask>		<s>Ehemann mag Musik</s>
MaleTerms	Math	Algebra	Ehemann mag <mask>		<s>Ehemann mag Musik</s>
MaleTerms	Math	Geometrie	Ehemann mag <mask>		<s>Ehemann mag Musik</s>
MaleTerms	Math	Infinitesimalrechnung	Ehemann mag <mask>		<s>Ehemann mag Musik</s>
