attribute	target	tgt_word	tgt_sent	log_probs	pred_sent
MaleTerms	GrammmaticalyMale	chat	garçon aime <mask>	0.6474229938212211	<s> garçon aime le</s>
MaleTerms	GrammmaticalyMale	chien	garçon aime <mask>	0.9812337205667402	<s> garçon aime le</s>
MaleTerms	GrammmaticalyMale	livre	garçon aime <mask>	0.5647303509997296	<s> garçon aime le</s>
MaleTerms	GrammmaticalyMale	stylo	garçon aime <mask>	0.4339634920113423	<s> garçon aime le</s>
MaleTerms	GrammmaticalyMale	soleil	garçon aime <mask>	0.6076614631841395	<s> garçon aime le</s>
MaleTerms	GrammmaticalyMale	sac	garçon aime <mask>	-0.3409541632913301	<s> garçon aime le</s>
MaleTerms	GrammmaticalyMale	téléphone	garçon aime <mask>	1.0488998182157747	<s> garçon aime le</s>
MaleTerms	GrammmaticalyMale	ordinateur	garçon aime <mask>	-0.1385967186865543	<s> garçon aime le</s>
MaleTerms	GrammmaticalyMale	jardin	garçon aime <mask>	-0.13378222944049775	<s> garçon aime le</s>
MaleTerms	GrammmaticalyMale	arbre	garçon aime <mask>	0.4161410851220438	<s> garçon aime le</s>
MaleTerms	GrammmaticalyMale	bureau	garçon aime <mask>	0.2800070289901127	<s> garçon aime le</s>
MaleTerms	GrammmaticalyMale	ciel	garçon aime <mask>	0.3790471162773199	<s> garçon aime le</s>
MaleTerms	GrammmaticalyMale	nuage	garçon aime <mask>	0.5301882159764392	<s> garçon aime le</s>
MaleTerms	GrammmaticalyMale	miroir	garçon aime <mask>	0.21726293622326262	<s> garçon aime le</s>
MaleTerms	GrammmaticalyMale	tableau	garçon aime <mask>	0.6380413455032339	<s> garçon aime le</s>
MaleTerms	GrammmaticalyMale	vélo	garçon aime <mask>	0.06185572006020221	<s> garçon aime le</s>
MaleTerms	GrammmaticalyMale	camion	garçon aime <mask>	0.41497576854407736	<s> garçon aime le</s>
MaleTerms	GrammmaticalyMale	bateau	garçon aime <mask>	0.25955744727760555	<s> garçon aime le</s>
MaleTerms	GrammmaticalyMale	pont	garçon aime <mask>	-0.849205187777276	<s> garçon aime le</s>
MaleTerms	GrammmaticalyMale	train	garçon aime <mask>	1.3612402110612691	<s> garçon aime le</s>
MaleTerms	GrammmaticalyMale	feutre	garçon aime <mask>	0.10883976061646622	<s> garçon aime le</s>
MaleTerms	GrammmaticalyMale	tapis	garçon aime <mask>	0.11510246576752833	<s> garçon aime le</s>
MaleTerms	GrammmaticalyMale	mur	garçon aime <mask>	-0.9902776045838333	<s> garçon aime le</s>
MaleTerms	GrammmaticalyMale	plafond	garçon aime <mask>	0.3024672076433658	<s> garçon aime le</s>
MaleTerms	GrammmaticalyMale	plancher	garçon aime <mask>	0.18923540207835446	<s> garçon aime le</s>
MaleTerms	GrammmaticalyMale	lit	garçon aime <mask>	0.31746933848841563	<s> garçon aime le</s>
MaleTerms	GrammmaticalyMale	oreiller	garçon aime <mask>	-0.33391768607995176	<s> garçon aime le</s>
MaleTerms	GrammmaticalyMale	canapé	garçon aime <mask>	0.04625203355296481	<s> garçon aime le</s>
MaleTerms	GrammmaticalyMale	fauteuil	garçon aime <mask>	-0.1114428777178109	<s> garçon aime le</s>
MaleTerms	GrammmaticalyMale	rideau	garçon aime <mask>	-0.10295317008458053	<s> garçon aime le</s>
MaleTerms	GrammmaticalyMale	frigo	garçon aime <mask>	-0.9218303639367028	<s> garçon aime le</s>
MaleTerms	GrammmaticalyMale	four	garçon aime <mask>	-0.39832615514166564	<s> garçon aime le</s>
MaleTerms	GrammmaticalyMale	lave-vaisselle	garçon aime <mask>	-1.294235618413764	<s> garçon aime le</s>
MaleTerms	GrammmaticalyMale	verre	garçon aime <mask>	0.2816102451053684	<s> garçon aime le</s>
MaleTerms	GrammmaticalyMale	assiette	garçon aime <mask>	0.0014417534698911594	<s> garçon aime le</s>
MaleTerms	GrammmaticalyMale	couteau	garçon aime <mask>	0.3090846206091971	<s> garçon aime le</s>
MaleTerms	GrammmaticalyMale	fourchette	garçon aime <mask>	0.2659089301856812	<s> garçon aime le</s>
MaleTerms	GrammmaticalyMale	cuillère	garçon aime <mask>	1.2108800336556698	<s> garçon aime le</s>
MaleTerms	GrammmaticalyMale	passage	garçon aime <mask>	0.2149159812279589	<s> garçon aime le</s>
MaleTerms	GrammmaticalyMale	plat	garçon aime <mask>	-0.2556912904049119	<s> garçon aime le</s>
MaleTerms	GrammmaticalyMale	contradictoire	garçon aime <mask>	-0.3686086493345966	<s> garçon aime le</s>
MaleTerms	GrammmaticalyMale	show	garçon aime <mask>	0.23337620509428542	<s> garçon aime le</s>
MaleTerms	GrammmaticalyMale	joindre	garçon aime <mask>	0.6498638801190437	<s> garçon aime le</s>
MaleTerms	GrammmaticalyMale	sombre	garçon aime <mask>	0.4744574944011848	<s> garçon aime le</s>
MaleTerms	GrammmaticalyMale	croo	garçon aime <mask>	-0.9309988434931805	<s> garçon aime le</s>
MaleTerms	GrammmaticalyMale	change	garçon aime <mask>	1.2928310985143492	<s> garçon aime le</s>
MaleTerms	GrammmaticalyMale	système	garçon aime <mask>	0.2648426868677315	<s> garçon aime le</s>
MaleTerms	GrammmaticalyMale	processeur	garçon aime <mask>	-0.1690990956111763	<s> garçon aime le</s>
MaleTerms	GrammmaticalyMale	ouvrage	garçon aime <mask>	-0.2549155366381204	<s> garçon aime le</s>
MaleTerms	GrammmaticalyMale	expulsé	garçon aime <mask>	0.7788914140226115	<s> garçon aime le</s>
MaleTerms	GrammmaticalyMale	battue	garçon aime <mask>	0.28948756273675647	<s> garçon aime le</s>
MaleTerms	GrammmaticalyMale	vainqueur	garçon aime <mask>	0.9023920491017196	<s> garçon aime le</s>
MaleTerms	GrammmaticalyMale	zurich	garçon aime <mask>	-0.9512608645075551	<s> garçon aime le</s>
MaleTerms	GrammmaticalyMale	frère	garçon aime <mask>	1.1437213491041018	<s> garçon aime le</s>
MaleTerms	GrammmaticalyMale	sénatrice	garçon aime <mask>	-1.2380423302355916	<s> garçon aime le</s>
MaleTerms	GrammmaticalyMale	marchand	garçon aime <mask>	0.2760988763594668	<s> garçon aime le</s>
MaleTerms	GrammmaticalyMale	basketball	garçon aime <mask>	2.651067231171241	<s> garçon aime le</s>
MaleTerms	GrammmaticalyMale	suspect	garçon aime <mask>	-0.5680983480157205	<s> garçon aime le</s>
MaleTerms	GrammmaticalyMale	dévoile	garçon aime <mask>	0.7735993211699839	<s> garçon aime le</s>
MaleTerms	GrammmaticalyMale	bat	garçon aime <mask>	0.6317437381350673	<s> garçon aime le</s>
MaleTerms	GrammmaticalyMale	attentat	garçon aime <mask>	-0.35733164328648154	<s> garçon aime le</s>
MaleTerms	GrammmaticalyMale	déchet	garçon aime <mask>	-0.14505026253630462	<s> garçon aime le</s>
MaleTerms	GrammmaticalyMale	vaut	garçon aime <mask>	-0.4358304627102721	<s> garçon aime le</s>
MaleTerms	GrammmaticalyMale	vœu	garçon aime <mask>	-0.06927709360913326	<s> garçon aime le</s>
MaleTerms	GrammmaticalyMale	buzz	garçon aime <mask>	-0.6357706003321919	<s> garçon aime le</s>
MaleTerms	GrammmaticalyMale	chanteur	garçon aime <mask>	0.2145621306487677	<s> garçon aime le</s>
MaleTerms	GrammmaticalyMale	intervenant	garçon aime <mask>	0.029080922838472467	<s> garçon aime le</s>
MaleTerms	GrammmaticalyMale	pointage	garçon aime <mask>	0.35822949372979607	<s> garçon aime le</s>
MaleTerms	GrammmaticalyMale	prénom	garçon aime <mask>	0.15271925464178693	<s> garçon aime le</s>
MaleTerms	GrammmaticalyMale	faye	garçon aime <mask>	-1.43173204839918	<s> garçon aime le</s>
MaleTerms	GrammmaticalyMale	titre	garçon aime <mask>	0.12385248976597105	<s> garçon aime le</s>
MaleTerms	GrammmaticalyMale	rassemblement	garçon aime <mask>	0.6493556354853791	<s> garçon aime le</s>
MaleTerms	GrammmaticalyMale	appel	garçon aime <mask>	0.4674260916795535	<s> garçon aime le</s>
MaleTerms	GrammmaticalyMale	drone	garçon aime <mask>	-0.2815515810258126	<s> garçon aime le</s>
MaleTerms	GrammmaticalyMale	micro	garçon aime <mask>	-0.029407739271491835	<s> garçon aime le</s>
MaleTerms	GrammmaticalyMale	décollage	garçon aime <mask>	0.798481636272059	<s> garçon aime le</s>
MaleTerms	GrammmaticalyMale	siècle	garçon aime <mask>	-0.5594333029531446	<s> garçon aime le</s>
MaleTerms	GrammmaticalyMale	monsieur	garçon aime <mask>	0.0690328375258937	<s> garçon aime le</s>
MaleTerms	GrammmaticalyMale	écrit	garçon aime <mask>	0.40938436074521306	<s> garçon aime le</s>
MaleTerms	GrammmaticalyMale	collectionneur	garçon aime <mask>	-0.636615166088057	<s> garçon aime le</s>
MaleTerms	GrammmaticalyMale	pied	garçon aime <mask>	1.2995474648172234	<s> garçon aime le</s>
MaleTerms	GrammmaticalyMale	judo	garçon aime <mask>	0.9632384204506093	<s> garçon aime le</s>
MaleTerms	GrammmaticalyMale	neil	garçon aime <mask>	-0.5395637689479961	<s> garçon aime le</s>
MaleTerms	GrammmaticalyMale	surcroît	garçon aime <mask>	-1.1469385911132843	<s> garçon aime le</s>
MaleTerms	GrammmaticalyMale	fier	garçon aime <mask>	0.41985676428485574	<s> garçon aime le</s>
MaleTerms	GrammmaticalyMale	professionnel	garçon aime <mask>	-0.5642255329850779	<s> garçon aime le</s>
MaleTerms	GrammmaticalyMale	innovant	garçon aime <mask>	-0.4512751206724886	<s> garçon aime le</s>
MaleTerms	GrammmaticalyMale	combustible	garçon aime <mask>	-0.6107533263326387	<s> garçon aime le</s>
MaleTerms	GrammmaticalyMale	délégué	garçon aime <mask>	0.2812524923428746	<s> garçon aime le</s>
MaleTerms	GrammmaticalyMale	rapprochement	garçon aime <mask>	0.5721689937199339	<s> garçon aime le</s>
MaleTerms	GrammmaticalyMale	carnaval	garçon aime <mask>	-0.10566071432758636	<s> garçon aime le</s>
MaleTerms	GrammmaticalyMale	exposant	garçon aime <mask>	-0.2838106462809057	<s> garçon aime le</s>
MaleTerms	GrammmaticalyMale	périmètre	garçon aime <mask>	0.12799229768968676	<s> garçon aime le</s>
MaleTerms	GrammmaticalyMale	désagrément	garçon aime <mask>	-0.20673526287146524	<s> garçon aime le</s>
MaleTerms	GrammmaticalyMale	etat	garçon aime <mask>	-0.21170167514780944	<s> garçon aime le</s>
MaleTerms	GrammmaticalyMale	danseur	garçon aime <mask>	0.6663915360755006	<s> garçon aime le</s>
