attribute	target	tgt_word	tgt_sent	log_probs	pred_sent
MaleNames	GrammmaticalyMale	chat	Nicolas aime <mask>	-0.14187221151272514	<s> Nicolas aime les</s>
MaleNames	GrammmaticalyMale	chien	Nicolas aime <mask>	-0.7753527914071252	<s> Nicolas aime les</s>
MaleNames	GrammmaticalyMale	livre	Nicolas aime <mask>	-0.9490974378537529	<s> Nicolas aime les</s>
MaleNames	GrammmaticalyMale	stylo	Nicolas aime <mask>	-1.3453919969029002	<s> Nicolas aime les</s>
MaleNames	GrammmaticalyMale	soleil	Nicolas aime <mask>	-0.16041782041190797	<s> Nicolas aime les</s>
MaleNames	GrammmaticalyMale	sac	Nicolas aime <mask>	-1.4726632219640539	<s> Nicolas aime les</s>
MaleNames	GrammmaticalyMale	téléphone	Nicolas aime <mask>	-0.25830254434723665	<s> Nicolas aime les</s>
MaleNames	GrammmaticalyMale	ordinateur	Nicolas aime <mask>	-1.212788443930674	<s> Nicolas aime les</s>
MaleNames	GrammmaticalyMale	jardin	Nicolas aime <mask>	0.8927265625262008	<s> Nicolas aime les</s>
MaleNames	GrammmaticalyMale	arbre	Nicolas aime <mask>	-1.5127533379268672	<s> Nicolas aime les</s>
MaleNames	GrammmaticalyMale	bureau	Nicolas aime <mask>	-1.689334744231592	<s> Nicolas aime les</s>
MaleNames	GrammmaticalyMale	ciel	Nicolas aime <mask>	-0.5053108592837674	<s> Nicolas aime les</s>
MaleNames	GrammmaticalyMale	nuage	Nicolas aime <mask>	-1.7546443929948627	<s> Nicolas aime les</s>
MaleNames	GrammmaticalyMale	miroir	Nicolas aime <mask>	-1.7578924285801627	<s> Nicolas aime les</s>
MaleNames	GrammmaticalyMale	tableau	Nicolas aime <mask>	-0.4937923763578472	<s> Nicolas aime les</s>
MaleNames	GrammmaticalyMale	vélo	Nicolas aime <mask>	-0.018172346727216522	<s> Nicolas aime les</s>
MaleNames	GrammmaticalyMale	camion	Nicolas aime <mask>	-0.6193598683778869	<s> Nicolas aime les</s>
MaleNames	GrammmaticalyMale	bateau	Nicolas aime <mask>	0.03977992676942602	<s> Nicolas aime les</s>
MaleNames	GrammmaticalyMale	pont	Nicolas aime <mask>	-1.1786391488382018	<s> Nicolas aime les</s>
MaleNames	GrammmaticalyMale	train	Nicolas aime <mask>	-0.4042050992747405	<s> Nicolas aime les</s>
MaleNames	GrammmaticalyMale	feutre	Nicolas aime <mask>	-0.6311738584028356	<s> Nicolas aime les</s>
MaleNames	GrammmaticalyMale	tapis	Nicolas aime <mask>	-0.24885634257538614	<s> Nicolas aime les</s>
MaleNames	GrammmaticalyMale	mur	Nicolas aime <mask>	-2.6530740769755385	<s> Nicolas aime les</s>
MaleNames	GrammmaticalyMale	plafond	Nicolas aime <mask>	-1.0452154231759192	<s> Nicolas aime les</s>
MaleNames	GrammmaticalyMale	plancher	Nicolas aime <mask>	0.22361296287515883	<s> Nicolas aime les</s>
MaleNames	GrammmaticalyMale	lit	Nicolas aime <mask>	-1.3700870586177831	<s> Nicolas aime les</s>
MaleNames	GrammmaticalyMale	oreiller	Nicolas aime <mask>	-3.5948674873653994	<s> Nicolas aime les</s>
MaleNames	GrammmaticalyMale	canapé	Nicolas aime <mask>	-0.9804914571409024	<s> Nicolas aime les</s>
MaleNames	GrammmaticalyMale	fauteuil	Nicolas aime <mask>	-1.8197011300901287	<s> Nicolas aime les</s>
MaleNames	GrammmaticalyMale	rideau	Nicolas aime <mask>	-1.6156939249831714	<s> Nicolas aime les</s>
MaleNames	GrammmaticalyMale	frigo	Nicolas aime <mask>	-1.6303031654969993	<s> Nicolas aime les</s>
MaleNames	GrammmaticalyMale	four	Nicolas aime <mask>	-0.7997988250994124	<s> Nicolas aime les</s>
MaleNames	GrammmaticalyMale	lave-vaisselle	Nicolas aime <mask>	-6.333628199471777	<s> Nicolas aime les</s>
MaleNames	GrammmaticalyMale	verre	Nicolas aime <mask>	-0.8797205113890056	<s> Nicolas aime les</s>
MaleNames	GrammmaticalyMale	assiette	Nicolas aime <mask>	-1.3771560197779396	<s> Nicolas aime les</s>
MaleNames	GrammmaticalyMale	couteau	Nicolas aime <mask>	0.03511356649057504	<s> Nicolas aime les</s>
MaleNames	GrammmaticalyMale	fourchette	Nicolas aime <mask>	-0.26296682787242254	<s> Nicolas aime les</s>
MaleNames	GrammmaticalyMale	cuillère	Nicolas aime <mask>	-0.5245073580990673	<s> Nicolas aime les</s>
MaleNames	GrammmaticalyMale	passage	Nicolas aime <mask>	-1.3420484017346914	<s> Nicolas aime les</s>
MaleNames	GrammmaticalyMale	plat	Nicolas aime <mask>	0.09423894477568406	<s> Nicolas aime les</s>
MaleNames	GrammmaticalyMale	contradictoire	Nicolas aime <mask>	-1.4678095265662972	<s> Nicolas aime les</s>
MaleNames	GrammmaticalyMale	show	Nicolas aime <mask>	-0.9603155029257762	<s> Nicolas aime les</s>
MaleNames	GrammmaticalyMale	joindre	Nicolas aime <mask>	1.028731491377563	<s> Nicolas aime les</s>
MaleNames	GrammmaticalyMale	sombre	Nicolas aime <mask>	0.1278411562223363	<s> Nicolas aime les</s>
MaleNames	GrammmaticalyMale	croo	Nicolas aime <mask>	-3.480613219331956	<s> Nicolas aime les</s>
MaleNames	GrammmaticalyMale	change	Nicolas aime <mask>	-0.8329371542481392	<s> Nicolas aime les</s>
MaleNames	GrammmaticalyMale	système	Nicolas aime <mask>	-1.4411581994832752	<s> Nicolas aime les</s>
MaleNames	GrammmaticalyMale	processeur	Nicolas aime <mask>	-0.8110522210732177	<s> Nicolas aime les</s>
MaleNames	GrammmaticalyMale	ouvrage	Nicolas aime <mask>	-0.8789222564539093	<s> Nicolas aime les</s>
MaleNames	GrammmaticalyMale	expulsé	Nicolas aime <mask>	-2.2854774673616958	<s> Nicolas aime les</s>
MaleNames	GrammmaticalyMale	battue	Nicolas aime <mask>	-0.5499246834618063	<s> Nicolas aime les</s>
MaleNames	GrammmaticalyMale	vainqueur	Nicolas aime <mask>	0.2200290286620456	<s> Nicolas aime les</s>
